Freq_GHz	Rm60_Rs5_dBm	Open_Rs5_dBm	Rm60_Rs15_dBm	Open_Rs15_dBm	Rm60_Rs25_dBm	Open_Rs25_dBm	Rm60_Rs35_dBm	Open_Rs35_dBm	Rm60_Rs45_dBm	Open_Rs45_dBm
3.55308	-21.3382	-16.0885	-21.3657	-16.1324	-21.4003	-16.1831	-21.4419	-16.2402	-21.4902	-16.3035
3.57304	-21.3388	-16.0893	-21.3666	-16.1337	-21.4016	-16.1849	-21.4437	-16.2426	-21.4925	-16.3066
3.593	-21.3394	-16.0901	-21.3675	-16.135	-21.4029	-16.1867	-21.4454	-16.2451	-21.4948	-16.3098
3.61296	-21.34	-16.0909	-21.3684	-16.1363	-21.4042	-16.1886	-21.4472	-16.2475	-21.4971	-16.3129
3.63292	-21.3406	-16.0917	-21.3694	-16.1375	-21.4055	-16.1904	-21.449	-16.25	-21.4994	-16.3161
3.65288	-21.3412	-16.0925	-21.3703	-16.1388	-21.4069	-16.1923	-21.4508	-16.2525	-21.5017	-16.3192
3.67284	-21.3418	-16.0933	-21.3712	-16.1401	-21.4082	-16.1941	-21.4525	-16.255	-21.5041	-16.3224
3.6928	-21.3424	-16.0941	-21.3722	-16.1414	-21.4095	-16.196	-21.4544	-16.2575	-21.5064	-16.3256
3.71276	-21.3431	-16.0949	-21.3731	-16.1428	-21.4109	-16.1979	-21.4562	-16.26	-21.5088	-16.3289
3.73272	-21.3437	-16.0957	-21.374	-16.1441	-21.4122	-16.1998	-21.458	-16.2626	-21.5111	-16.3321
3.75268	-21.3443	-16.0965	-21.375	-16.1454	-21.4136	-16.2017	-21.4598	-16.2651	-21.5135	-16.3354
3.77264	-21.3449	-16.0973	-21.376	-16.1467	-21.4149	-16.2036	-21.4617	-16.2677	-21.5159	-16.3386
3.7926	-21.3456	-16.0982	-21.3769	-16.1481	-21.4163	-16.2056	-21.4635	-16.2703	-21.5183	-16.3419
3.81256	-21.3462	-16.099	-21.3779	-16.1494	-21.4177	-16.2075	-21.4654	-16.2729	-21.5207	-16.3452
3.83252	-21.3469	-16.0998	-21.3789	-16.1508	-21.4191	-16.2094	-21.4672	-16.2755	-21.5232	-16.3485
3.85248	-21.3475	-16.1007	-21.3798	-16.1522	-21.4204	-16.2114	-21.4691	-16.2781	-21.5256	-16.3519
3.87244	-21.3482	-16.1015	-21.3808	-16.1535	-21.4218	-16.2134	-21.471	-16.2807	-21.5281	-16.3552
3.8924	-21.3488	-16.1024	-21.3818	-16.1549	-21.4232	-16.2154	-21.4729	-16.2834	-21.5305	-16.3586
3.91236	-21.3495	-16.1032	-21.3828	-16.1563	-21.4247	-16.2173	-21.4748	-16.286	-21.533	-16.362
3.93232	-21.3501	-16.1041	-21.3838	-16.1577	-21.4261	-16.2193	-21.4767	-16.2887	-21.5355	-16.3653
3.95228	-21.3508	-16.105	-21.3848	-16.1591	-21.4275	-16.2213	-21.4787	-16.2914	-21.538	-16.3688
3.97224	-21.3515	-16.1058	-21.3858	-16.1605	-21.4289	-16.2234	-21.4806	-16.2941	-21.5405	-16.3722
3.9922	-21.3521	-16.1067	-21.3868	-16.1619	-21.4304	-16.2254	-21.4825	-16.2968	-21.543	-16.3756
4.01216	-21.3528	-16.1076	-21.3878	-16.1633	-21.4318	-16.2274	-21.4845	-16.2995	-21.5456	-16.3791
4.03212	-21.3535	-16.1085	-21.3889	-16.1648	-21.4333	-16.2295	-21.4865	-16.3022	-21.5481	-16.3825
