f,median,std,count,fam
9.5,0.4499999999999993,1.5557159006215198e-15,13,A_Cal.s2p
9.67,0.46000000000000085,1.3252136879092019e-15,13,A_Cal.s2p
9.83,0.46999999999999886,2.8062276369502464e-16,10,A_Cal.s2p
10.0,0.4700000000000024,1.4878268922057461e-15,12,A_Cal.s2p
10.17,0.4800000000000004,1.387677847745145e-15,12,A_Cal.s2p
10.33,0.4899999999999991,1.6942622311438525e-15,14,A_Cal.s2p
10.5,0.5,0.0,13,A_Cal.s2p
10.67,0.5199999999999996,3.183499858928491e-16,10,A_Cal.s2p
10.83,0.5300000000000011,1.6554364728171875e-15,13,A_Cal.s2p
11.0,0.5399999999999991,1.3801883203169686e-15,12,A_Cal.s2p
11.17,0.5500000000000007,1.015331361609779e-15,12,A_Cal.s2p
11.33,0.56,1.7266555979440257e-15,17,A_Cal.s2p
11.5,0.5700000000000003,1.6806835668167716e-15,13,A_Cal.s2p
11.67,0.5800000000000018,1.5577778178957092e-15,9,A_Cal.s2p
11.83,0.5899999999999999,2.837772907427788e-16,16,A_Cal.s2p
12.0,0.5999999999999979,1.7666156787147078e-15,16,A_Cal.s2p
12.17,0.6099999999999994,4.1043229949538597e-16,7,A_Cal.s2p
12.33,0.620000000000001,1.2803716525534355e-15,15,A_Cal.s2p
12.5,0.629999999999999,1.2426848578700576e-15,15,A_Cal.s2p
12.67,0.6400000000000001,1.557707168773566e-15,8,A_Cal.s2p
12.83,0.6499999999999999,1.641103419724397e-15,9,A_Cal.s2p
13.0,0.6600000000000001,0.0,22,A_Cal.s2p
13.17,0.6799999999999997,3.568867705432764e-16,7,A_Cal.s2p
13.25,0.6899999999999977,,1,A_Cal.s2p
13.33,0.7000000000000002,,1,A_Cal.s2p
13.5,0.7199999999999989,1.7255717160298919e-15,15,A_Cal.s2p
13.67,0.7399999999999993,1.7340367547598438e-15,20,A_Cal.s2p
13.83,0.75,0.0,8,A_Cal.s2p
14.0,0.7600000000000016,1.5635367204116223e-15,13,A_Cal.s2p
14.17,0.7800000000000011,1.2564010269621833e-15,16,A_Cal.s2p
14.33,0.8000000000000007,1.4802973661668755e-15,10,A_Cal.s2p
14.5,0.8099999999999987,1.245515578754035e-15,15,A_Cal.s2p
14.67,0.8300000000000001,1.7696945725838957e-15,13,A_Cal.s2p
14.83,0.8500000000000005,1.5782488380292966e-15,13,A_Cal.s2p
15.0,0.870000000000001,1.4895204919483639e-15,14,A_Cal.s2p
15.17,0.879999999999999,1.7342238036525468e-15,14,A_Cal.s2p
15.33,0.8900000000000006,1.0706603116298291e-15,11,A_Cal.s2p
15.5,0.8900000000000006,4.902612130890298e-16,13,A_Cal.s2p
15.67,0.8999999999999986,1.4873284076230524e-15,18,A_Cal.s2p
15.83,0.9199999999999999,1.640298496883664e-15,8,A_Cal.s2p
16.0,0.9399999999999986,1.644586866285194e-15,8,A_Cal.s2p
16.17,0.9499999999999993,1.32697032177375e-16,15,A_Cal.s2p
16.33,0.9699999999999998,1.3276336411462306e-15,12,A_Cal.s2p
16.5,0.9700000000000006,1.6576509860377813e-15,15,A_Cal.s2p
16.67,0.9499999999999993,1.5258555995074125e-16,10,A_Cal.s2p
16.83,0.9400000000000013,1.529665482091057e-15,13,A_Cal.s2p
17.0,0.94,1.5700924586837751e-15,8,A_Cal.s2p
17.17,0.9400000000000013,1.5081218629048491e-15,22,A_Cal.s2p
17.33,0.9600000000000009,1.6306084308169078e-15,8,A_Cal.s2p
17.5,0.9600000000000009,1.3481534026112438e-15,12,A_Cal.s2p
17.67,0.9499999999999993,0.0,14,A_Cal.s2p
17.83,0.9499999999999993,1.3970000036909087e-16,13,A_Cal.s2p
18.0,0.9499999999999993,3.060673659425244e-16,11,A_Cal.s2p
18.17,0.9500000000000002,1.5216826406487833e-15,15,A_Cal.s2p
18.33,0.9600000000000009,1.1120718569210611e-15,19,A_Cal.s2p
18.5,0.9699999999999989,1.9484335006297032e-15,5,A_Cal.s2p
18.67,0.9800000000000004,1.2242694637700976e-15,16,A_Cal.s2p
18.83,0.9899999999999984,1.508625440021514e-15,18,A_Cal.s2p
19.0,1.0,0.0,11,A_Cal.s2p
19.17,1.009999999999999,9.203961322527087e-16,12,A_Cal.s2p
19.33,1.0300000000000011,1.5499806545685393e-15,12,A_Cal.s2p
19.5,1.0500000000000003,1.8069332127940082e-15,10,A_Cal.s2p
19.67,1.0599999999999996,1.5374796308561895e-15,19,A_Cal.s2p
19.83,1.0700000000000003,5.874748045952207e-16,11,A_Cal.s2p
20.0,1.0700000000000003,1.2391373631705177e-15,8,A_Cal.s2p
20.17,1.0700000000000003,2.293266818639604e-16,16,A_Cal.s2p
20.33,1.0899999999999999,2.8665835232995054e-16,13,A_Cal.s2p
20.5,1.0999999999999979,1.5443677162933551e-15,9,A_Cal.s2p
20.67,1.100000000000001,1.5265734803278897e-15,16,A_Cal.s2p
20.83,1.1000000000000014,6.568167990716596e-16,9,A_Cal.s2p
21.0,1.0899999999999999,0.0,12,A_Cal.s2p
21.17,1.0800000000000018,1.6641004985786145e-15,13,A_Cal.s2p
21.33,1.0600000000000014,9.930136612989092e-16,6,A_Cal.s2p
21.5,1.0500000000000007,1.6186862418282535e-15,8,A_Cal.s2p
21.67,1.0500000000000007,1.560248521776408e-15,9,A_Cal.s2p
21.83,1.0499999999999998,1.6764000044290905e-15,5,A_Cal.s2p
22.0,1.0600000000000023,1.595016118833212e-15,11,A_Cal.s2p
22.17,1.0700000000000003,1.4113375874265713e-15,11,A_Cal.s2p
22.33,1.080000000000001,9.729507111180987e-16,6,A_Cal.s2p
22.5,1.0800000000000003,1.6178949016480681e-15,12,A_Cal.s2p
22.67,1.0800000000000018,1.5740127955196998e-15,9,A_Cal.s2p
22.83,1.0799999999999992,1.0255800994045674e-15,4,A_Cal.s2p
23.0,1.0800000000000018,1.3925814369968891e-15,7,A_Cal.s2p
23.17,1.0899999999999999,3.9720546451956367e-16,6,A_Cal.s2p
23.33,1.0999999999999996,1.6129860343558435e-15,14,A_Cal.s2p
23.5,1.1099999999999994,0.0,4,A_Cal.s2p
23.67,1.120000000000001,8.406473066991232e-16,7,A_Cal.s2p
23.83,1.129999999999999,1.6252000960812471e-15,8,A_Cal.s2p
24.0,1.1500000000000012,1.6467268631127714e-15,10,A_Cal.s2p
24.17,1.1600000000000001,0.0,5,A_Cal.s2p
24.33,1.1799999999999997,1.3243137218683708e-15,15,A_Cal.s2p
24.5,1.1900000000000013,0.0,3,A_Cal.s2p
24.67,1.1900000000000013,7.971645280375756e-16,10,A_Cal.s2p
24.83,1.1999999999999993,5.484097192022683e-16,11,A_Cal.s2p
25.0,1.1999999999999993,0.0,9,A_Cal.s2p
