D,V,lab,camp,Rm,Cpd_fF,fmax_GHz,L1,Lm,L2,rms,flags,ms_L1,ms_Lm,ms_L2,ms_rms,ms_flags,n_minima,minima,f_RC,f_peak,e_peak,f50,f80,rms_mag,rms_phase_deg,rms_le5,rms_le20,rms_0_10,frac_0_10,rms_10_20,frac_10_20,rms_20_30,frac_20_30,rms_30_40,frac_30_40,rms_40_50,frac_40_50
40,-5,140,40,140.73580789173042,274.6000000000001,50.0,186.6424023794689,6.079390004272301e-16,66.26753826987179,0.13255147708099782,Lm@0,186.64269350333606,1.630135372592381e-19,66.26729122358688,0.13255147708039036,Lm@0,1,"0.1326:(187,0,66)",15.658197976315325,50.0,0.5151929634679748,45.38564029090956,48.83306512980985,0.019311252593500097,9.88243636959248,0.012070575570823052,0.06899337441718352,0.015044635035242542,0.002563646286363241,0.09640451433203581,0.10526634231698077,0.125065998766713,0.17716311267359044,0.05451860200699151,0.033665433603756144,0.2422551855391426,0.6813414651193093
40,-3,140,40,138.91058057424596,390.4,50.0,187.92220946849807,4.856740144363569e-13,77.83615772375512,0.13798629415227867,Lm@0,187.92127258195282,7.5125976103237e-20,77.83655405995685,0.13798629414227032,Lm@0,1,"0.1380:(188,0,78)",10.795457311337499,50.0,0.48610357085716616,44.6729741944047,48.60284251534231,0.023847132777554972,10.26007918684701,0.01642349291966169,0.08857630521160306,0.03249185826925365,0.011034207128607665,0.12097852220989003,0.15297081554013134,0.11938032513350086,0.14895584395273523,0.05581638324030848,0.03256232566715505,0.247166257727468,0.6544768077113707
40,-7,WO,40,13943.63029034255,227.60000000000002,50.0,98.10480893194757,0.0,163.16124516946275,0.1673174419666527,,139.96409261410298,0.0,121.30199438104334,0.16731744196665235,,11,"0.1673:(140,0,121) | 0.1673:(98,0,163) | 0.1673:(172,0,89) | 0.1673:(145,0,116)",13.776150578400145,49.75005,0.40688682521357444,44.04438049585811,48.159736755982586,0.08623051210183012,9.9709520386859,0.018301976398761438,0.07888289663634437,0.029093541718684272,0.006016926252404704,0.10769674365431649,0.08244923786835802,0.13923184081414314,0.13780298705835858,0.130921765303868,0.12184429698670418,0.29911164927566825,0.6518865518341747
40,-5,WO,40,58279.610725825885,274.6000000000001,50.0,102.58304509071287,0.0,167.23591095469465,0.17007112644299635,,102.58304509071287,0.0,167.23591095469465,0.17007112644299635,,11,"0.1701:(103,0,167) | 0.1701:(150,0,120) | 0.1701:(218,0,52) | 0.1701:(110,0,159)",11.35764488114961,49.75005,0.40867232138399495,43.86453346020442,48.11371446853638,0.08533025910881724,10.215233599054246,0.02030826020124139,0.08842632738060599,0.035731659720021104,0.008784339989944056,0.11984022380526849,0.09881161107575927,0.13769106591159008,0.13044104860641392,0.12976235423719734,0.11585110750885261,0.30268476073719136,0.6461118928190299
40,-3,WO,40,51943.97070552814,390.4,50.0,109.78275872530494,0.0,173.3296406928188,0.1747755397085931,,151.52326689669678,0.0,131.58931486133065,0.17477553970762277,,12,"0.1748:(152,0,132) | 0.1748:(121,0,162) | 0.1748:(117,0,166) | 0.1748:(186,0,97)",7.802318404289658,50.0,0.412055788239452,43.551820929156165,48.03584847338337,0.08436933426863133,10.609004854349326,0.02594460721858128,0.10729755272415549,0.05151125280667652,0.017286491425439837,0.14273093734531597,0.13272076182890852,0.13111993965647573,0.1120056966179176,0.1282161282991522,0.10709962423469924,0.3073708570531506,0.6308874258930348
30,-7,38,Mar,38.1533546432172,133.5,40.0,33.25555743266062,46.98174627914251,146.98843466070275,0.05578986074311354,,33.25510065909718,46.98098360008911,146.9885083299675,0.05578986073278541,,1,"0.0558:(33,47,147)",41.38099554888399,40.0,0.16186968401237353,34.14545138813948,38.936992046868355,0.016472329295106874,7.4094071863524755,0.008096209708245952,0.038070691086771795,0.01778209143834034,0.02527138654066796,0.050818818007971354,0.20640133954527065,0.05468212759412634,0.23897595190396537,0.08058240390613258,0.529351322010096,,
30,-5,38,Mar,35.6820204098825,161.10000000000002,40.0,42.91289331545756,59.80370251164416,151.14072268117118,0.06341210076141596,,42.91278554138843,59.803502937055555,151.14075393261768,0.06341210075849979,,1,"0.0634:(43,60,151)",37.78499636498908,40.0,0.17781548301633276,34.830536649830385,38.831796323945774,0.027677673684713616,7.2366051083495435,0.011815456083711002,0.04478545010278382,0.024088861102005754,0.03589733432385205,0.05857644452018366,0.21226367518839387,0.05470605473470355,0.18514008389691688,0.0947679026204588,0.5666989065908373,,
30,-3,38,Mar,34.5030854206378,230.80000000000004,40.0,61.722424082935696,92.25609857147751,152.91998872422997,0.07551689547647009,,61.72658253883732,92.26131399423772,152.9175373115551,0.07551689542842634,,1,"0.0755:(62,92,153)",29.75347219816549,40.0,0.1987754565714103,34.91756485335784,38.661925635878816,0.05167655557917452,6.063925269928847,0.020274632008643486,0.05094861202094025,0.037002850846863326,0.05972498679266704,0.06182484260332071,0.16672922478162494,0.05203940295779207,0.11812730685318992,0.1213714135051805,0.6554184815725181,,
30,-7,60,Mar,60.34761941247577,133.5,40.0,34.04916314944211,68.069865722206,151.5860075712676,0.05915893423211917,,34.048214434894405,68.06694982554951,151.58631399336002,0.05915893420754924,,1,"0.0592:(34,68,152)",34.91455567190063,40.0,0.16472582470856956,34.25032120970395,38.78913164907424,0.0368017650752275,5.336710011305283,0.010420023529388438,0.04245568528877537,0.02176855360609762,0.03368157656374018,0.055956237369729656,0.22255136996469393,0.05301205687220507,0.1997480622070683,0.08662441452549813,0.5440189912644975,,
30,-5,60,Mar,57.513546476748324,161.10000000000002,40.0,40.735810721819504,90.7794553363563,155.929251967232,0.06564214507680403,,40.73507156630396,90.77710082439602,155.92957995300992,0.0656421450569862,,1,"0.0656:(41,91,156)",31.350217549344876,40.0,0.17876892818573692,34.79732622271044,38.747892437196136,0.044295943098535434,5.190438720862932,0.014119579007689327,0.04751212271137584,0.027352793891471612,0.04319284430994603,0.06137286269526902,0.21745088530976758,0.051996395425260696,0.15608274473803407,0.09952492006676354,0.5832735256422523,,
30,-3,60,Mar,55.51473859107779,230.80000000000004,40.0,55.826072991438885,147.99038781156077,158.3768399923339,0.07863145900195852,,55.825172060787004,147.98865405375506,158.37748875607602,0.07863145898083851,,1,"0.0786:(56,148,158)",24.447424819296582,40.0,0.20356711335658673,34.78925608853884,38.5933666114043,0.061137728126857784,4.397771101415763,0.02350020586888712,0.054583873362099515,0.04153822540808601,0.06941880870371774,0.06506438574494092,0.17032090153460874,0.05199369153244015,0.10876335246668663,0.12599852578915158,0.6514969372949867,,
30,-7,200,Mar,205.54287676184447,133.5,40.0,4.379565801168443e-10,6.1277056371033764e-18,195.5102580717894,0.061734202013468215,"L1@0,Lm@0",1.1793096185624289e-14,3.645772353112662e-24,195.5102576337809,0.06173420201345352,"L1@0,Lm@0",1,"0.0617:(0,0,196)",24.628981260503316,40.0,0.1334277628099273,16.89922476402419,37.30386067778621,0.040351452802800274,4.171516573957046,0.034918800248532354,0.0653041545064342,0.05871635154847128,0.22502998616487888,0.07128572965493722,0.3316862497002595,0.038267491084984055,0.09558335026796697,0.07226722578678495,0.3477004138668948,,
30,-5,200,Mar,202.2638390681768,161.10000000000002,40.0,1.3706995209749357,1.5358322863291178e-19,201.2194897278105,0.06502231598147994,Lm@0,1.3705521392572544,5.426888047224737e-12,201.21961899462372,0.06502231598104047,Lm@0,2,"0.0650:(1,0,201) | 0.0873:(218,0,0)",21.043604569983927,40.0,0.1577884055718113,23.450807113901554,38.152622055237856,0.04509182415286041,3.9709301951557796,0.03407220495558046,0.06123283965704089,0.055462664765158126,0.18098831727341855,0.0665042413841211,0.2602242503220151,0.04595750046452872,0.12426873543248776,0.08509021267988907,0.43451869697207857,,
30,-3,200,Mar,199.89518933883642,230.80000000000004,40.0,1.9032135832890464,2.6044775005212175e-16,213.24605375965038,0.0770162016068752,Lm@0,221.35233018193063,9.961762785842661e-23,9.513813027856257,0.06401657798472436,Lm@0,2,"0.0640:(221,0,10) | 0.0770:(2,0,213)",17.226963286723247,40.0,0.14796238362431596,22.895674508724376,37.93894410337483,0.04095282454289495,3.89006328138138,0.026777007260551784,0.0548770885850163,0.03941169180970145,0.0942842591076861,0.066855876718749,0.27131150674467636,0.06971052959238765,0.2949754014040014,0.07404227616870783,0.33942883274363617,,
30,-7,WO,Mar,26901.931935539636,133.5,40.0,59.18460862487122,0.0,128.23438168028082,0.06999549770549533,,32.11345125199406,0.0,155.30549724080805,0.06999549770534472,,12,"0.0700:(32,0,155) | 0.0700:(94,0,94) | 0.0700:(80,0,107) | 0.0700:(0,0,187)",21.96423308948995,40.0,0.19616012504855787,36.12760955394152,38.84380218639097,0.05183448845470856,3.3340992104126603,0.007816499232605988,0.029391109109601393,0.011511210508714492,0.006727841123295689,0.039939537078051486,0.08099156458730718,0.055539798256657384,0.15661823693960628,0.12079443894760845,0.7556623573497908,,
30,-5,WO,Mar,41794.21570574908,161.10000000000002,40.0,63.74897202168411,0.0,133.27380871588994,0.0772079559984279,,84.44454308415852,0.0,112.57833308426355,0.07720795599758754,,12,"0.0772:(84,0,113) | 0.0772:(38,0,160) | 0.0772:(130,0,67) | 0.0772:(98,0,99)",18.51962386353122,40.0,0.20976342207806473,35.76764545496545,38.76117882079829,0.05449958225658444,3.898874422235366,0.008781849984573896,0.038848279013929815,0.013492883240377883,0.007597301489799632,0.053257109070525124,0.11836001540475606,0.060072357396992015,0.15059105886194443,0.13037062386680348,0.7234516242435,,
30,-3,WO,Mar,7898.118832654097,230.80000000000004,40.0,72.33660254776743,0.0,140.67337507155042,0.08959890851623863,,7.233939882542523,0.0,205.77605550166027,0.0895989085162139,,12,"0.0896:(7,0,206) | 0.0896:(80,0,133) | 0.0896:(114,0,99) | 0.0896:(118,0,95)",13.01488343847753,40.0,0.2304433031728326,34.8471827946267,38.58538860911796,0.0576233555465564,4.923044114197746,0.010403624161386045,0.0580697835248556,0.018688833071661474,0.010822631675684464,0.07996828768747494,0.19815457429319655,0.06432589707615848,0.12821540590689764,0.1448135933842419,0.6628073881242212,,
30,-7,38,Jan,37.938294147860866,133.5,40.0,24.610012917371627,24.793085888797023,162.3463977621658,0.06341344116199855,,24.608149111838607,24.790645121542344,162.34673756121938,0.06341344111328859,,1,"0.0634:(25,25,162)",37.948510432085094,40.0,0.18186145545798163,31.548782301102797,38.765817494856485,0.0148831469411478,8.287664494578463,0.008518079651745303,0.044871466417677676,0.019482243501698034,0.023479521381770792,0.06039320479231166,0.22562512404437055,0.06307212221915252,0.24608559584534734,0.08944542507079652,0.5048097587285113,,
