D,V,lab,camp,Rm,rms_base,f_RC_base,rms_delay,tau_ps,L1,Lm,L2,f_RC_delay,f3,ok,x_base,x_delay,y,fT_dev_base,fT_dev_delay
30,-7,76,Jan,73.29008493398887,0.0659210624679072,32.685155862555895,0.009745489257495951,3.9994213492835198,2.226634332626033e-12,374.402482450125,8.341071279566485,36.18725279697444,31.35848904239999,False,0.936049637515108,0.7636401800368828,1.016926916291922,111.19537781107286,62.83386520924972
30,-7,120,Jan,115.01047892837558,0.0629153463350578,28.7869027208974,0.00715223356598275,3.020080592457682,6.365932237882664,599.9999999999999,54.22091007948762,31.417134593284846,27.05063993643161,False,1.2067300275915225,1.013133917508985,1.36661100187694,79.08636357375721,53.18869904715179
30,-7,WO,Jan,16549.095614389116,0.0753694947813539,22.254327291311935,0.06877795192731764,0.5240866051881924,27.271120872793873,0.0,148.69566125892626,21.723130339963785,19.39331773856102,False,2.01916150675574,2.1191182125631998,2.658861858394869,39.537727628935166,43.04336649148397
40,-7,38,40V1,42.52385943293988,0.2213445528585845,30.719945911571838,0.20379928926873728,1.2378633506896248,2.264518987336919e-21,208.57509249992387,85.76926814508181,30.965454847664308,16.895448297291118,True,1.0596418607408122,1.042905775693509,3.5031647377159456,20.2298096017877,20.16088483231309
40,-7,100,40V1,107.54213960347053,0.1194001613053699,20.12582315959839,0.028018193015203436,2.621814140513869,93.01432525454904,91.88117802323247,2.0298378197102035e-17,18.136064608193532,14.764084398614465,True,2.46883857959343,3.040282162517237,4.587614974606138,21.72488254179233,25.421907399509003
40,-7,140,40V1,142.52653410946385,0.1290991892621853,18.774953516667725,0.03450712867525092,2.6683987150703072,77.86055491095378,599.9999999999999,3.4788549392632553,17.3514321998727,14.472617014306902,False,2.836888449881013,3.3214624333857126,4.774257739062414,22.719239744208387,26.23600989732593
40,-7,WO,40V1,13943.63029034255,0.1673174419666527,13.776150237855298,0.056679894894614155,1.9971579570969886,1.3813897616932362,0.0,131.43310568054304,12.076762852291187,10.166999677072,True,5.269194856322574,6.856443845099404,9.674184828566442,15.067026008729782,18.838636470960047
40,-5,WO,40V2,58279.610725825885,0.1700711264429963,11.35764488114961,0.04366215629857189,2.1047519412283187,2.588927905076606,0.0,127.26581022433044,9.95624675327639,10.027380830211536,True,7.752172517984086,10.088084166202352,9.94546243422983,21.352659715774376,
40,-7,80,40V2,80.34907342646851,0.1319312007274774,21.816071129337598,0.039344922905324736,3.600740976875918,38.015872020731194,245.27292537653636,1.0529104528943345e-16,19.72885907535583,16.11721434233676,True,2.1011009453942813,2.5691890286305896,3.849639277621185,23.914561456919746,27.945935061426987
40,-5,80,40V2,77.17008451359483,0.1356207567542432,18.703225406116925,0.031235064804962357,2.512908527602175,102.6033764136211,17.972478870567468,2.506687010051873e-19,17.055371585299703,15.967454416582614,False,2.858689484995669,3.437776419742514,3.9221900170061534,30.664165078902705,45.43513653381991
