Freq_GHz	Model_dBohm
4.9003779	31.826994
4.9103579	31.826116
4.9203379	31.825235
4.9303178	31.824353
4.9402978	31.823469
4.9502778	31.822583
4.9602578	31.821696
4.9702378	31.820806
4.9802178	31.819915
4.9901978	31.819022
5.0001778	31.818127
5.0101578	31.81723
5.0201378	31.816332
5.0301178	31.815431
5.0400978	31.814529
5.0500778	31.813625
5.0600578	31.812719
5.0700378	31.811811
5.0800178	31.810902
5.0899978	31.80999
5.0999778	31.809077
5.1099578	31.808162
5.1199378	31.807245
5.1299178	31.806327
5.1398978	31.805406
5.1498778	31.804484
5.1598577	31.803559
5.1698377	31.802633
5.1798177	31.801706
5.1897977	31.800776
5.1997777	31.799844
5.2097577	31.798911
5.2197377	31.797976
5.2297177	31.797039
5.2396977	31.7961
5.2496777	31.795159
5.2596577	31.794217
5.2696377	31.793272
5.2796177	31.792326
5.2895977	31.791378
5.2995777	31.790428
5.3095577	31.789477
5.3195377	31.788523
5.3295177	31.787568
5.3394977	31.78661
5.3494777	31.785651
5.3594577	31.784691
5.3694377	31.783728
5.3794176	31.782763
5.3893976	31.781797
5.3993776	31.780829
5.4093576	31.779859
5.4193376	31.778887
5.4293176	31.777913
5.4392976	31.776937
5.4492776	31.77596
5.4592576	31.774981
5.4692376	31.774
5.4792176	31.773017
5.4891976	31.772032
5.4991776	31.771045
5.5091576	31.770057
5.5191376	31.769067
5.5291176	31.768075
5.5390976	31.767081
5.5490776	31.766085
5.5590576	31.765087
5.5690376	31.764088
5.5790176	31.763087
5.5889976	31.762083
5.5989776	31.761078
5.6089575	31.760072
5.6189375	31.759063
5.6289175	31.758052
5.6388975	31.75704
5.6488775	31.756026
5.6588575	31.75501
5.6688375	31.753992
5.6788175	31.752972
5.6887975	31.751951
5.6987775	31.750927
5.7087575	31.749902
5.7187375	31.748875
5.7287175	31.747846
5.7386975	31.746815
5.7486775	31.745783
5.7586575	31.744748
5.7686375	31.743712
5.7786175	31.742674
5.7885975	31.741634
5.7985775	31.740592
5.8085575	31.739548
5.8185375	31.738503
5.8285174	31.737456
5.8384974	31.736406
5.8484774	31.735355
5.8584574	31.734302
5.8684374	31.733248
5.8784174	31.732191
5.8883974	31.731133
5.8983774	31.730072
5.9083574	31.72901
5.9183374	31.727946
5.9283174	31.72688
5.9382974	31.725813
5.9482774	31.724743
5.9582574	31.723672
5.9682374	31.722599
5.9782174	31.721523
5.9881974	31.720447
5.9981774	31.719368
6.0081574	31.718287
6.0181374	31.717205
6.0281174	31.71612
6.0380974	31.715034
6.0480774	31.713946
6.0580573	31.712856
6.0680373	31.711765
6.0780173	31.710671
6.0879973	31.709576
6.0979773	31.708478
6.1079573	31.707379
6.1179373	31.706278
6.1279173	31.705176
6.1378973	31.704071
6.1478773	31.702964
6.1578573	31.701856
6.1678373	31.700746
6.1778173	31.699634
6.1877973	31.69852
6.1977773	31.697404
6.2077573	31.696286
6.2177373	31.695167
6.2277173	31.694046
6.2376973	31.692922
6.2476773	31.691797
6.2576573	31.69067
6.2676373	31.689542
6.2776172	31.688411
6.2875972	31.687279
6.2975772	31.686144
6.3075572	31.685008
6.3175372	31.68387
6.3275172	31.68273
6.3374972	31.681589
6.3474772	31.680445
6.3574572	31.6793
6.3674372	31.678152
6.3774172	31.677003
6.3873972	31.675852
6.3973772	31.674699
6.4073572	31.673544
6.4173372	31.672388
6.4273172	31.671229
6.4372972	31.670069
6.4472772	31.668907
6.4572572	31.667743
6.4672372	31.666577
6.4772172	31.665409
6.4871972	31.66424
6.4971772	31.663068
6.5071571	31.661895
6.5171371	31.66072
6.5271171	31.659543
6.5370971	31.658364
6.5470771	31.657183
6.5570571	31.656001
6.5670371	31.654816
6.5770171	31.65363
6.5869971	31.652442
6.5969771	31.651252
6.6069571	31.65006
6.6169371	31.648866
6.6269171	31.64767
6.6368971	31.646473
6.6468771	31.645273
6.6568571	31.644072
6.6668371	31.642869
6.6768171	31.641664
6.6867971	31.640457
6.6967771	31.639249
6.7067571	31.638038
6.7167371	31.636826
6.726717	31.635612
6.736697	31.634395
6.746677	31.633177
6.756657	31.631958
6.766637	31.630736
6.776617	31.629512
6.786597	31.628287
6.796577	31.62706
6.806557	31.62583
6.816537	31.624599
6.826517	31.623367
6.836497	31.622132
6.846477	31.620895
6.856457	31.619657
6.866437	31.618416
6.876417	31.617174
6.886397	31.61593
6.896377	31.614684
6.906357	31.613436
6.916337	31.612187
6.926317	31.610935
6.936297	31.609682
6.946277	31.608426
6.9562569	31.607169
6.9662369	31.60591
6.9762169	31.604649
6.9861969	31.603386
6.9961769	31.602122
7.0061569	31.600855
7.0161369	31.599587
7.0261169	31.598317
7.0360969	31.597045
7.0460769	31.595771
7.0560569	31.594495
7.0660369	31.593217
7.0760169	31.591938
7.0859969	31.590656
7.0959769	31.589373
7.1059569	31.588088
7.1159369	31.586801
7.1259169	31.585512
7.1358969	31.584221
7.1458769	31.582928
7.1558569	31.581634
7.1658369	31.580337
7.1758168	31.579039
7.1857968	31.577739
7.1957768	31.576437
7.2057568	31.575133
7.2157368	31.573827
7.2257168	31.572519
7.2356968	31.57121
7.2456768	31.569898
7.2556568	31.568585
7.2656368	31.56727
7.2756168	31.565953
7.2855968	31.564634
7.2955768	31.563313
7.3055568	31.561991
7.3155368	31.560666
7.3255168	31.55934
7.3354968	31.558012
7.3454768	31.556682
7.3554568	31.55535
7.3654368	31.554016
7.3754168	31.55268
7.3853968	31.551342
7.3953768	31.550003
7.4053567	31.548661
7.4153367	31.547318
7.4253167	31.545973
7.4352967	31.544626
7.4452767	31.543277
7.4552567	31.541926
7.4652367	31.540574
7.4752167	31.539219
7.4851967	31.537863
7.4951767	31.536505
7.5051567	31.535144
7.5151367	31.533782
7.5251167	31.532419
7.5350967	31.531053
7.5450767	31.529685
7.5550567	31.528316
7.5650367	31.526944
7.5750167	31.525571
7.5849967	31.524196
7.5949767	31.522819
7.6049567	31.52144
7.6149367	31.520059
7.6249166	31.518676
7.6348966	31.517292
7.6448766	31.515905
7.6548566	31.514517
7.6648366	31.513127
7.6748166	31.511735
7.6847966	31.510341
7.6947766	31.508945
7.7047566	31.507547
7.7147366	31.506148
7.7247166	31.504746
7.7346966	31.503343
7.7446766	31.501938
7.7546566	31.50053
7.7646366	31.499121
7.7746166	31.497711
7.7845966	31.496298
7.7945766	31.494883
7.8045566	31.493467
7.8145366	31.492048
7.8245166	31.490628
7.8344966	31.489206
7.8444766	31.487782
7.8544565	31.486356
7.8644365	31.484928
7.8744165	31.483498
7.8843965	31.482067
7.8943765	31.480633
7.9043565	31.479198
7.9143365	31.47776
7.9243165	31.476321
7.9342965	31.47488
7.9442765	31.473437
7.9542565	31.471993
7.9642365	31.470546
7.9742165	31.469097
7.9841965	31.467647
7.9941765	31.466195
8.0041565	31.464741
8.0141365	31.463284
8.0241165	31.461826
8.0340965	31.460367
8.0440765	31.458905
8.0540565	31.457441
8.0640365	31.455976
8.0740164	31.454508
8.0839964	31.453039
8.0939764	31.451568
8.1039564	31.450095
8.1139364	31.44862
8.1239164	31.447143
8.1338964	31.445664
8.1438764	31.444184
8.1538564	31.442701
8.1638364	31.441217
8.1738164	31.439731
8.1837964	31.438242
8.1937764	31.436752
8.2037564	31.43526
8.2137364	31.433767
8.2237164	31.432271
8.2336964	31.430773
8.2436764	31.429274
8.2536564	31.427772
8.2636364	31.426269
8.2736164	31.424764
8.2835964	31.423257
8.2935764	31.421748
8.3035563	31.420237
8.3135363	31.418725
8.3235163	31.41721
8.3334963	31.415694
8.3434763	31.414175
8.3534563	31.412655
8.3634363	31.411133
8.3734163	31.409609
8.3833963	31.408083
8.3933763	31.406555
8.4033563	31.405025
8.4133363	31.403494
8.4233163	31.40196
8.4332963	31.400425
8.4432763	31.398888
8.4532563	31.397348
8.4632363	31.395807
8.4732163	31.394264
8.4831963	31.39272
8.4931763	31.391173
8.5031563	31.389624
8.5131363	31.388074
8.5231162	31.386521
8.5330962	31.384967
8.5430762	31.383411
8.5530562	31.381853
8.5630362	31.380293
8.5730162	31.378731
8.5829962	31.377167
8.5929762	31.375602
8.6029562	31.374034
8.6129362	31.372465
8.6229162	31.370893
8.6328962	31.36932
8.6428762	31.367745
8.6528562	31.366168
8.6628362	31.364589
8.6728162	31.363008
8.6827962	31.361426
8.6927762	31.359841
8.7027562	31.358255
8.7127362	31.356666
8.7227162	31.355076
8.7326962	31.353484
8.7426762	31.35189
8.7526561	31.350294
8.7626361	31.348696
8.7726161	31.347096
8.7825961	31.345495
8.7925761	31.343891
8.8025561	31.342286
8.8125361	31.340678
8.8225161	31.339069
8.8324961	31.337458
8.8424761	31.335845
8.8524561	31.33423
8.8624361	31.332614
8.8724161	31.330995
8.8823961	31.329374
8.8923761	31.327752
8.9023561	31.326127
8.9123361	31.324501
8.9223161	31.322873
8.9322961	31.321243
8.9422761	31.319611
8.9522561	31.317977
8.9622361	31.316342
8.972216	31.314704
8.982196	31.313064
8.992176	31.311423
9.002156	31.30978
9.012136	31.308134
9.022116	31.306487
9.032096	31.304838
9.042076	31.303187
9.052056	31.301535
9.062036	31.29988
9.072016	31.298223
9.081996	31.296565
9.091976	31.294904
9.101956	31.293242
9.111936	31.291578
9.121916	31.289912
9.131896	31.288244
9.141876	31.286574
9.151856	31.284902
9.161836	31.283229
9.171816	31.281553
9.181796	31.279876
9.191776	31.278196
9.2017559	31.276515
9.2117359	31.274832
9.2217159	31.273147
9.2316959	31.27146
9.2416759	31.269771
9.2516559	31.26808
9.2616359	31.266388
9.2716159	31.264693
9.2815959	31.262997
9.2915759	31.261298
9.3015559	31.259598
9.3115359	31.257896
9.3215159	31.256192
9.3314959	31.254486
9.3414759	31.252778
9.3514559	31.251068
9.3614359	31.249357
9.3714159	31.247643
9.3813959	31.245928
9.3913759	31.244211
9.4013559	31.242491
9.4113359	31.24077
9.4213158	31.239047
9.4312958	31.237322
9.4412758	31.235595
9.4512558	31.233867
9.4612358	31.232136
9.4712158	31.230404
9.4811958	31.228669
9.4911758	31.226933
9.5011558	31.225195
9.5111358	31.223455
9.5211158	31.221712
9.5310958	31.219969
9.5410758	31.218223
9.5510558	31.216475
9.5610358	31.214725
9.5710158	31.212974
9.5809958	31.211221
9.5909758	31.209465
9.6009558	31.207708
9.6109358	31.205949
9.6209158	31.204188
9.6308958	31.202425
9.6408758	31.20066
9.6508557	31.198893
9.6608357	31.197125
9.6708157	31.195354
9.6807957	31.193582
9.6907757	31.191808
9.7007557	31.190031
9.7107357	31.188253
9.7207157	31.186473
9.7306957	31.184691
9.7406757	31.182908
9.7506557	31.181122
9.7606357	31.179334
9.7706157	31.177545
9.7805957	31.175753
9.7905757	31.17396
9.8005557	31.172165
9.8105357	31.170368
9.8205157	31.168569
9.8304957	31.166768
9.8404757	31.164965
9.8504557	31.16316
9.8604357	31.161354
9.8704156	31.159545
9.8803956	31.157735
9.8903756	31.155922
9.9003556	31.154108
9.9103356	31.152292
9.9203156	31.150474
9.9302956	31.148654
9.9402756	31.146832
9.9502556	31.145009
9.9602356	31.143183
9.9702156	31.141355
9.9801956	31.139526
9.9901756	31.137695
10.000156	31.135862
10.010136	31.134026
10.020116	31.132189
10.030096	31.13035
10.040076	31.12851
10.050056	31.126667
10.060036	31.124822
10.070016	31.122976
10.079996	31.121127
10.089976	31.119277
10.099956	31.117425
10.109936	31.115571
10.119916	31.113715
10.129896	31.111857
10.139876	31.109997
10.149856	31.108135
10.159836	31.106272
10.169816	31.104406
10.179796	31.102539
10.189776	31.100669
10.199756	31.098798
10.209735	31.096925
10.219715	31.09505
10.229695	31.093173
10.239675	31.091294
10.249655	31.089413
10.259635	31.087531
10.269615	31.085646
10.279595	31.08376
10.289575	31.081871
10.299555	31.079981
