Freq_GHz	Model_dBm
3.9522783	-9.3898381
3.9622583	-9.3901167
3.9722383	-9.3903961
3.9822183	-9.3906763
3.9921983	-9.3909571
4.0021783	-9.3912387
4.0121583	-9.391521
4.0221383	-9.391804
4.0321182	-9.3920878
4.0420982	-9.3923723
4.0520782	-9.3926575
4.0620582	-9.3929434
4.0720382	-9.3932301
4.0820182	-9.3935175
4.0919982	-9.3938056
4.1019782	-9.3940945
4.1119582	-9.3943841
4.1219382	-9.3946744
4.1319182	-9.3949654
4.1418982	-9.3952572
4.1518782	-9.3955497
4.1618582	-9.3958429
4.1718382	-9.3961369
4.1818182	-9.3964316
4.1917982	-9.396727
4.2017782	-9.3970231
4.2117582	-9.39732
4.2217382	-9.3976176
4.2317182	-9.397916
4.2416982	-9.398215
4.2516782	-9.3985148
4.2616581	-9.3988154
4.2716381	-9.3991166
4.2816181	-9.3994186
4.2915981	-9.3997214
4.3015781	-9.4000248
4.3115581	-9.400329
4.3215381	-9.4006339
4.3315181	-9.4009396
4.3414981	-9.401246
4.3514781	-9.4015531
4.3614581	-9.401861
4.3714381	-9.4021696
4.3814181	-9.4024789
4.3913981	-9.4027889
4.4013781	-9.4030997
4.4113581	-9.4034113
4.4213381	-9.4037235
4.4313181	-9.4040365
4.4412981	-9.4043503
4.4512781	-9.4046647
4.4612581	-9.4049799
4.4712381	-9.4052959
4.481218	-9.4056125
4.491198	-9.4059299
4.501178	-9.4062481
4.511158	-9.406567
4.521138	-9.4068866
4.531118	-9.4072069
4.541098	-9.407528
4.551078	-9.4078498
4.561058	-9.4081724
4.571038	-9.4084957
4.581018	-9.4088197
4.590998	-9.4091445
4.600978	-9.40947
4.610958	-9.4097963
4.620938	-9.4101233
4.630918	-9.410451
4.640898	-9.4107795
4.650878	-9.4111087
4.660858	-9.4114386
4.670838	-9.4117693
4.680818	-9.4121007
4.690798	-9.4124329
4.700778	-9.4127658
4.7107579	-9.4130995
4.7207379	-9.4134338
4.7307179	-9.413769
4.7406979	-9.4141048
4.7506779	-9.4144415
4.7606579	-9.4147788
4.7706379	-9.4151169
4.7806179	-9.4154557
4.7905979	-9.4157953
4.8005779	-9.4161356
4.8105579	-9.4164767
4.8205379	-9.4168185
4.8305179	-9.417161
4.8404979	-9.4175043
4.8504779	-9.4178484
4.8604579	-9.4181931
4.8704379	-9.4185387
4.8804179	-9.4188849
4.8903979	-9.4192319
4.9003779	-9.4195797
4.9103579	-9.4199282
4.9203379	-9.4202774
4.9303178	-9.4206274
4.9402978	-9.4209781
4.9502778	-9.4213296
4.9602578	-9.4216818
4.9702378	-9.4220348
4.9802178	-9.4223885
4.9901978	-9.422743
5.0001778	-9.4230982
5.0101578	-9.4234541
5.0201378	-9.4238108
5.0301178	-9.4241683
5.0400978	-9.4245265
5.0500778	-9.4248854
5.0600578	-9.4252451
5.0700378	-9.4256056
5.0800178	-9.4259667
5.0899978	-9.4263287
