Freq_GHz	Model_dBm
3.8824183	-2.2073078
3.8923983	-2.2081631
3.9023783	-2.2090206
3.9123583	-2.2098803
3.9223383	-2.2107423
3.9323183	-2.2116064
3.9422983	-2.2124727
3.9522783	-2.2133412
3.9622583	-2.2142119
3.9722383	-2.2150848
3.9822183	-2.2159599
3.9921983	-2.2168372
4.0021783	-2.2177167
4.0121583	-2.2185984
4.0221383	-2.2194822
4.0321182	-2.2203683
4.0420982	-2.2212566
4.0520782	-2.2221471
4.0620582	-2.2230397
4.0720382	-2.2239346
4.0820182	-2.2248317
4.0919982	-2.2257309
4.1019782	-2.2266324
4.1119582	-2.2275361
4.1219382	-2.2284419
4.1319182	-2.22935
4.1418982	-2.2302602
4.1518782	-2.2311726
4.1618582	-2.2320873
4.1718382	-2.2330041
4.1818182	-2.2339231
4.1917982	-2.2348444
4.2017782	-2.2357678
4.2117582	-2.2366934
4.2217382	-2.2376212
4.2317182	-2.2385512
4.2416982	-2.2394835
4.2516782	-2.2404179
4.2616581	-2.2413545
4.2716381	-2.2422933
4.2816181	-2.2432343
4.2915981	-2.2441775
4.3015781	-2.2451228
4.3115581	-2.2460704
4.3215381	-2.2470202
4.3315181	-2.2479722
4.3414981	-2.2489264
4.3514781	-2.2498827
4.3614581	-2.2508413
4.3714381	-2.2518021
4.3814181	-2.252765
4.3913981	-2.2537302
4.4013781	-2.2546975
4.4113581	-2.2556671
4.4213381	-2.2566388
4.4313181	-2.2576127
4.4412981	-2.2585889
4.4512781	-2.2595672
4.4612581	-2.2605477
4.4712381	-2.2615304
4.481218	-2.2625154
4.491198	-2.2635025
4.501178	-2.2644918
4.511158	-2.2654833
4.521138	-2.266477
4.531118	-2.2674729
4.541098	-2.268471
4.551078	-2.2694713
4.561058	-2.2704737
4.571038	-2.2714784
4.581018	-2.2724853
4.590998	-2.2734944
4.600978	-2.2745056
4.610958	-2.2755191
4.620938	-2.2765347
4.630918	-2.2775526
4.640898	-2.2785726
4.650878	-2.2795949
4.660858	-2.2806193
4.670838	-2.2816459
4.680818	-2.2826748
4.690798	-2.2837058
4.700778	-2.284739
4.7107579	-2.2857744
4.7207379	-2.286812
4.7307179	-2.2878518
4.7406979	-2.2888938
4.7506779	-2.289938
4.7606579	-2.2909844
4.7706379	-2.292033
4.7806179	-2.2930837
4.7905979	-2.2941367
4.8005779	-2.2951919
4.8105579	-2.2962492
4.8205379	-2.2973088
4.8305179	-2.2983705
4.8404979	-2.2994345
4.8504779	-2.3005006
4.8604579	-2.3015689
4.8704379	-2.3026394
4.8804179	-2.3037122
4.8903979	-2.3047871
4.9003779	-2.3058642
4.9103579	-2.3069435
4.9203379	-2.308025
4.9303178	-2.3091087
4.9402978	-2.3101945
4.9502778	-2.3112826
4.9602578	-2.3123729
4.9702378	-2.3134653
4.9802178	-2.31456
4.9901978	-2.3156569
5.0001778	-2.3167559
5.0101578	-2.3178571
5.0201378	-2.3189606
5.0301178	-2.3200662
5.0400978	-2.321174
5.0500778	-2.322284
5.0600578	-2.3233962
5.0700378	-2.3245106
5.0800178	-2.3256272
5.0899978	-2.326746
5.0999778	-2.327867
5.1099578	-2.3289901
5.1199378	-2.3301155
5.1299178	-2.3312431
5.1398978	-2.3323728
5.1498778	-2.3335048
5.1598577	-2.3346389
5.1698377	-2.3357752
5.1798177	-2.3369137
5.1897977	-2.3380544
5.1997777	-2.3391974
5.2097577	-2.3403425
5.2197377	-2.3414897
5.2297177	-2.3426392
5.2396977	-2.3437909
5.2496777	-2.3449448
5.2596577	-2.3461008
5.2696377	-2.3472591
5.2796177	-2.3484195
5.2895977	-2.3495821
5.2995777	-2.350747
5.3095577	-2.351914
5.3195377	-2.3530832
5.3295177	-2.3542546
5.3394977	-2.3554282
5.3494777	-2.356604
5.3594577	-2.3577819
5.3694377	-2.3589621
5.3794176	-2.3601445
5.3893976	-2.361329
5.3993776	-2.3625157
5.4093576	-2.3637047
5.4193376	-2.3648958
5.4293176	-2.3660891
5.4392976	-2.3672846
5.4492776	-2.3684823
5.4592576	-2.3696822
5.4692376	-2.3708843
5.4792176	-2.3720885
5.4891976	-2.373295
5.4991776	-2.3745036
5.5091576	-2.3757145
5.5191376	-2.3769275
5.5291176	-2.3781427
5.5390976	-2.3793601
5.5490776	-2.3805797
5.5590576	-2.3818015
5.5690376	-2.3830254
5.5790176	-2.3842516
5.5889976	-2.38548
5.5989776	-2.3867105
5.6089575	-2.3879432
5.6189375	-2.3891782
5.6289175	-2.3904153
5.6388975	-2.3916546
5.6488775	-2.3928961
5.6588575	-2.3941397
5.6688375	-2.3953856
5.6788175	-2.3966337
5.6887975	-2.3978839
5.6987775	-2.3991363
5.7087575	-2.4003909
5.7187375	-2.4016478
5.7287175	-2.4029068
5.7386975	-2.4041679
5.7486775	-2.4054313
5.7586575	-2.4066969
5.7686375	-2.4079646
5.7786175	-2.4092346
5.7885975	-2.4105067
5.7985775	-2.411781
5.8085575	-2.4130575
5.8185375	-2.4143362
5.8285174	-2.4156171
5.8384974	-2.4169001
5.8484774	-2.4181854
5.8584574	-2.4194728
5.8684374	-2.4207624
5.8784174	-2.4220542
5.8883974	-2.4233482
5.8983774	-2.4246444
5.9083574	-2.4259428
5.9183374	-2.4272433
5.9283174	-2.4285461
5.9382974	-2.429851
5.9482774	-2.4311581
5.9582574	-2.4324674
5.9682374	-2.4337789
5.9782174	-2.4350926
