Freq_GHz	Model_dBm
8.2835964	-16.666324
8.2935764	-16.667905
8.3035563	-16.669488
8.3135363	-16.671073
8.3235163	-16.67266
8.3334963	-16.674249
8.3434763	-16.67584
8.3534563	-16.677433
8.3634363	-16.679028
8.3734163	-16.680625
8.3833963	-16.682224
8.3933763	-16.683824
8.4033563	-16.685427
8.4133363	-16.687032
8.4233163	-16.688639
8.4332963	-16.690248
8.4432763	-16.691859
8.4532563	-16.693472
8.4632363	-16.695087
8.4732163	-16.696704
8.4831963	-16.698323
8.4931763	-16.699944
8.5031563	-16.701567
8.5131363	-16.703192
8.5231162	-16.704819
8.5330962	-16.706448
8.5430762	-16.708079
8.5530562	-16.709712
8.5630362	-16.711347
8.5730162	-16.712984
8.5829962	-16.714623
8.5929762	-16.716264
8.6029562	-16.717907
8.6129362	-16.719552
8.6229162	-16.721199
8.6328962	-16.722848
8.6428762	-16.724499
8.6528562	-16.726152
8.6628362	-16.727807
8.6728162	-16.729464
8.6827962	-16.731123
8.6927762	-16.732784
8.7027562	-16.734447
8.7127362	-16.736112
8.7227162	-16.737779
8.7326962	-16.739448
8.7426762	-16.741119
8.7526561	-16.742792
8.7626361	-16.744467
8.7726161	-16.746144
8.7825961	-16.747823
8.7925761	-16.749504
8.8025561	-16.751187
8.8125361	-16.752872
8.8225161	-16.754559
8.8324961	-16.756249
8.8424761	-16.75794
8.8524561	-16.759633
8.8624361	-16.761328
8.8724161	-16.763025
8.8823961	-16.764724
8.8923761	-16.766425
8.9023561	-16.768129
8.9123361	-16.769834
8.9223161	-16.771541
8.9322961	-16.77325
8.9422761	-16.774961
8.9522561	-16.776675
8.9622361	-16.77839
8.972216	-16.780107
8.982196	-16.781826
8.992176	-16.783548
9.002156	-16.785271
9.012136	-16.786996
9.022116	-16.788724
9.032096	-16.790453
9.042076	-16.792184
9.052056	-16.793917
9.062036	-16.795653
9.072016	-16.79739
9.081996	-16.79913
9.091976	-16.800871
9.101956	-16.802614
9.111936	-16.80436
9.121916	-16.806107
9.131896	-16.807857
9.141876	-16.809608
9.151856	-16.811361
9.161836	-16.813117
9.171816	-16.814874
9.181796	-16.816634
9.191776	-16.818395
9.2017559	-16.820159
9.2117359	-16.821924
9.2217159	-16.823692
9.2316959	-16.825461
9.2416759	-16.827233
9.2516559	-16.829007
9.2616359	-16.830782
9.2716159	-16.83256
9.2815959	-16.834339
9.2915759	-16.836121
9.3015559	-16.837905
9.3115359	-16.83969
9.3215159	-16.841478
9.3314959	-16.843268
9.3414759	-16.84506
9.3514559	-16.846853
9.3614359	-16.848649
9.3714159	-16.850447
9.3813959	-16.852247
9.3913759	-16.854048
9.4013559	-16.855852
9.4113359	-16.857658
9.4213158	-16.859466
9.4312958	-16.861276
9.4412758	-16.863088
9.4512558	-16.864901
9.4612358	-16.866717
9.4712158	-16.868535
9.4811958	-16.870355
9.4911758	-16.872177
9.5011558	-16.874001
9.5111358	-16.875827
9.5211158	-16.877655
9.5310958	-16.879485
9.5410758	-16.881317
9.5510558	-16.883151
9.5610358	-16.884987
9.5710158	-16.886825
9.5809958	-16.888666
9.5909758	-16.890508
9.6009558	-16.892352
9.6109358	-16.894198
9.6209158	-16.896046
9.6308958	-16.897896
9.6408758	-16.899749
9.6508557	-16.901603
9.6608357	-16.903459
9.6708157	-16.905317
9.6807957	-16.907178
9.6907757	-16.90904
9.7007557	-16.910904
9.7107357	-16.912771
9.7207157	-16.914639
9.7306957	-16.916509
9.7406757	-16.918382
9.7506557	-16.920256
9.7606357	-16.922133
9.7706157	-16.924011
9.7805957	-16.925892
9.7905757	-16.927774
9.8005557	-16.929659
9.8105357	-16.931545
9.8205157	-16.933434
9.8304957	-16.935324
9.8404757	-16.937217
9.8504557	-16.939112
9.8604357	-16.941008
9.8704156	-16.942907
9.8803956	-16.944808
9.8903756	-16.94671
9.9003556	-16.948615
9.9103356	-16.950522
9.9203156	-16.952431
9.9302956	-16.954341
9.9402756	-16.956254
9.9502556	-16.958169
9.9602356	-16.960086
9.9702156	-16.962005
9.9801956	-16.963926
9.9901756	-16.965849
10.000156	-16.967774
10.010136	-16.969701
10.020116	-16.97163
10.030096	-16.973561
10.040076	-16.975494
10.050056	-16.977429
10.060036	-16.979366
10.070016	-16.981305
10.079996	-16.983246
10.089976	-16.985189
10.099956	-16.987134
10.109936	-16.989082
10.119916	-16.991031
10.129896	-16.992982
10.139876	-16.994935
10.149856	-16.99689
10.159836	-16.998848
10.169816	-17.000807
10.179796	-17.002768
10.189776	-17.004732
10.199756	-17.006697
10.209735	-17.008665
10.219715	-17.010634
10.229695	-17.012606
10.239675	-17.014579
10.249655	-17.016554
10.259635	-17.018532
10.269615	-17.020512
10.279595	-17.022493
10.289575	-17.024477
10.299555	-17.026462
10.309535	-17.02845
10.319515	-17.03044
10.329495	-17.032431
10.339475	-17.034425
10.349455	-17.036421
10.359435	-17.038419
10.369415	-17.040418
10.379395	-17.04242
10.389375	-17.044424
10.399355	-17.04643
10.409335	-17.048438
10.419315	-17.050448
10.429295	-17.05246
10.439275	-17.054474
10.449255	-17.056489
10.459235	-17.058507
10.469215	-17.060527
10.479195	-17.06255
10.489175	-17.064574
