Freq_GHz	Model_dBm
6.896377	-18.270404
6.906357	-18.271328
6.916337	-18.272254
6.926317	-18.273182
6.936297	-18.274111
6.946277	-18.275041
6.9562569	-18.275973
6.9662369	-18.276906
6.9762169	-18.277841
6.9861969	-18.278777
6.9961769	-18.279714
7.0061569	-18.280654
7.0161369	-18.281594
7.0261169	-18.282536
7.0360969	-18.28348
7.0460769	-18.284425
7.0560569	-18.285371
7.0660369	-18.286319
7.0760169	-18.287268
7.0859969	-18.288219
7.0959769	-18.289171
7.1059569	-18.290125
7.1159369	-18.29108
7.1259169	-18.292037
7.1358969	-18.292995
7.1458769	-18.293955
7.1558569	-18.294916
7.1658369	-18.295878
7.1758168	-18.296843
7.1857968	-18.297808
7.1957768	-18.298775
7.2057568	-18.299743
7.2157368	-18.300713
7.2257168	-18.301685
7.2356968	-18.302658
7.2456768	-18.303632
7.2556568	-18.304608
7.2656368	-18.305585
7.2756168	-18.306564
7.2855968	-18.307544
7.2955768	-18.308526
7.3055568	-18.309509
7.3155368	-18.310494
7.3255168	-18.31148
7.3354968	-18.312468
7.3454768	-18.313457
7.3554568	-18.314447
7.3654368	-18.315439
7.3754168	-18.316433
7.3853968	-18.317428
7.3953768	-18.318424
7.4053567	-18.319422
7.4153367	-18.320422
7.4253167	-18.321423
7.4352967	-18.322425
7.4452767	-18.323429
7.4552567	-18.324435
7.4652367	-18.325442
7.4752167	-18.32645
7.4851967	-18.32746
7.4951767	-18.328471
7.5051567	-18.329484
7.5151367	-18.330498
7.5251167	-18.331514
7.5350967	-18.332532
7.5450767	-18.33355
7.5550567	-18.334571
7.5650367	-18.335592
7.5750167	-18.336616
7.5849967	-18.33764
7.5949767	-18.338667
7.6049567	-18.339694
7.6149367	-18.340724
7.6249166	-18.341754
7.6348966	-18.342787
7.6448766	-18.34382
7.6548566	-18.344856
7.6648366	-18.345892
7.6748166	-18.34693
7.6847966	-18.34797
7.6947766	-18.349011
7.7047566	-18.350054
7.7147366	-18.351098
7.7247166	-18.352144
7.7346966	-18.353191
7.7446766	-18.35424
7.7546566	-18.35529
7.7646366	-18.356342
7.7746166	-18.357395
7.7845966	-18.358449
7.7945766	-18.359506
7.8045566	-18.360563
7.8145366	-18.361623
7.8245166	-18.362683
7.8344966	-18.363745
7.8444766	-18.364809
7.8544565	-18.365874
7.8644365	-18.366941
7.8744165	-18.368009
7.8843965	-18.369079
7.8943765	-18.37015
7.9043565	-18.371223
7.9143365	-18.372297
7.9243165	-18.373373
7.9342965	-18.37445
7.9442765	-18.375529
7.9542565	-18.376609
7.9642365	-18.377691
7.9742165	-18.378774
7.9841965	-18.379859
7.9941765	-18.380945
8.0041565	-18.382033
8.0141365	-18.383122
8.0241165	-18.384213
8.0340965	-18.385306
8.0440765	-18.3864
8.0540565	-18.387495
8.0640365	-18.388592
8.0740164	-18.38969
8.0839964	-18.39079
8.0939764	-18.391892
8.1039564	-18.392995
8.1139364	-18.394099
8.1239164	-18.395205
8.1338964	-18.396313
8.1438764	-18.397422
8.1538564	-18.398532
8.1638364	-18.399644
8.1738164	-18.400758
8.1837964	-18.401873
8.1937764	-18.40299
8.2037564	-18.404108
8.2137364	-18.405228
8.2237164	-18.406349
8.2336964	-18.407471
8.2436764	-18.408596
8.2536564	-18.409722
8.2636364	-18.410849
8.2736164	-18.411978
8.2835964	-18.413108
8.2935764	-18.41424
8.3035563	-18.415373
8.3135363	-18.416508
8.3235163	-18.417645
8.3334963	-18.418783
8.3434763	-18.419922
