Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
1.00213	1.1942	-0.0632237	59.7102	-3.16119	0.0892639	-0.0262419	-20.6265	-16.3824
1.01257	1.19408	-0.063874	59.7042	-3.1937	0.0892294	-0.0265143	-20.6224	-16.5492
1.02302	1.19396	-0.0645241	59.6981	-3.2262	0.0891946	-0.0267867	-20.6182	-16.7159
1.03346	1.19384	-0.0651739	59.6919	-3.25869	0.0891595	-0.027059	-20.614	-16.8825
1.0439	1.19371	-0.0658234	59.6857	-3.29117	0.089124	-0.0273312	-20.6098	-17.049
1.05435	1.19359	-0.0664726	59.6794	-3.32363	0.0890881	-0.0276035	-20.6055	-17.2153
1.06479	1.19346	-0.0671216	59.673	-3.35608	0.0890519	-0.0278757	-20.6012	-17.3816
1.07524	1.19333	-0.0677702	59.6666	-3.38851	0.0890153	-0.0281479	-20.5968	-17.5477
1.08568	1.1932	-0.0684186	59.6602	-3.42093	0.0889784	-0.02842	-20.5924	-17.7137
1.09612	1.19307	-0.0690667	59.6536	-3.45334	0.0889411	-0.0286921	-20.588	-17.8795
1.10657	1.19294	-0.0697146	59.647	-3.48573	0.0889034	-0.0289642	-20.5835	-18.0453
1.11701	1.19281	-0.0703621	59.6404	-3.51811	0.0888654	-0.0292362	-20.579	-18.2109
1.12745	1.19267	-0.0710094	59.6337	-3.55047	0.088827	-0.0295082	-20.5745	-18.3764
1.1379	1.19254	-0.0716563	59.6269	-3.58282	0.0887883	-0.0297801	-20.5699	-18.5418
1.14834	1.1924	-0.072303	59.6201	-3.61515	0.0887493	-0.030052	-20.5653	-18.707
1.15878	1.19226	-0.0729493	59.6132	-3.64747	0.0887098	-0.0303239	-20.5606	-18.8721
1.16923	1.19212	-0.0735954	59.6062	-3.67977	0.08867	-0.0305958	-20.5559	-19.0371
1.17967	1.19198	-0.0742412	59.5992	-3.71206	0.0886299	-0.0308676	-20.5512	-19.2019
1.19011	1.19184	-0.0748866	59.5921	-3.74433	0.0885894	-0.0311393	-20.5464	-19.3667
1.20056	1.1917	-0.0755318	59.585	-3.77659	0.0885486	-0.031411	-20.5416	-19.5312
1.211	1.19156	-0.0761766	59.5778	-3.80883	0.0885073	-0.0316827	-20.5368	-19.6957
1.22144	1.19141	-0.0768211	59.5705	-3.84106	0.0884658	-0.0319543	-20.5319	-19.86
1.23189	1.19126	-0.0774653	59.5632	-3.87327	0.0884239	-0.0322259	-20.527	-20.0242
1.24233	1.19112	-0.0781092	59.5558	-3.90546	0.0883816	-0.0324975	-20.522	-20.1882
1.25277	1.19097	-0.0787527	59.5484	-3.93764	0.088339	-0.032769	-20.5171	-20.3521
1.26322	1.19082	-0.079396	59.5409	-3.9698	0.088296	-0.0330405	-20.512	-20.5159
1.27366	1.19067	-0.0800389	59.5333	-4.00194	0.0882526	-0.0333119	-20.507	-20.6795
1.2841	1.19051	-0.0806815	59.5257	-4.03407	0.0882089	-0.0335833	-20.5019	-20.843
1.29455	1.19036	-0.0813237	59.518	-4.06618	0.0881649	-0.0338546	-20.4967	-21.0064
1.30499	1.1902	-0.0819656	59.5102	-4.09828	0.0881205	-0.0341259	-20.4916	-21.1696
1.31544	1.19005	-0.0826072	59.5024	-4.13036	0.0880757	-0.0343972	-20.4864	-21.3327
1.32588	1.18989	-0.0832484	59.4946	-4.16242	0.0880306	-0.0346684	-20.4811	-21.4956
1.33632	1.18973	-0.0838893	59.4866	-4.19447	0.0879851	-0.0349396	-20.4759	-21.6584
1.34677	1.18957	-0.0845298	59.4787	-4.22649	0.0879393	-0.0352107	-20.4706	-21.821
1.35721	1.18941	-0.08517	59.4706	-4.2585	0.0878931	-0.0354817	-20.4652	-21.9835
1.36765	1.18925	-0.0858099	59.4625	-4.29049	0.0878466	-0.0357528	-20.4599	-22.1459
1.3781	1.18909	-0.0864494	59.4543	-4.32247	0.0877997	-0.0360238	-20.4544	-22.3081
1.38854	1.18892	-0.0870885	59.4461	-4.35443	0.0877525	-0.0362947	-20.449	-22.4701
1.39898	1.18876	-0.0877273	59.4378	-4.38637	0.0877049	-0.0365656	-20.4435	-22.6321
1.40943	1.18859	-0.0883657	59.4295	-4.41829	0.0876569	-0.0368364	-20.438	-22.7938
