Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
7.89	0.0971167	-2.09658	4.85583	-104.829	0.608126	-0.74887	-0.312264	-50.9214
7.9	0.0971166	-2.09348	4.85583	-104.674	0.607215	-0.749501	-0.313016	-50.987
7.91	0.0971166	-2.09039	4.85583	-104.52	0.606303	-0.750131	-0.31377	-51.0527
7.92	0.0971165	-2.08731	4.85583	-104.365	0.605391	-0.75076	-0.314524	-51.1183
7.93	0.0971165	-2.08423	4.85582	-104.211	0.604477	-0.751388	-0.315279	-51.184
7.94	0.0971164	-2.08116	4.85582	-104.058	0.603563	-0.752015	-0.316034	-51.2497
7.95	0.0971163	-2.0781	4.85582	-103.905	0.602649	-0.752641	-0.31679	-51.3153
7.96	0.0971163	-2.07504	4.85581	-103.752	0.601733	-0.753265	-0.317547	-51.381
7.97	0.0971162	-2.07199	4.85581	-103.6	0.600817	-0.753889	-0.318305	-51.4467
7.98	0.0971162	-2.06895	4.85581	-103.447	0.5999	-0.754511	-0.319064	-51.5123
7.99	0.0971161	-2.06591	4.85581	-103.296	0.598982	-0.755132	-0.319823	-51.578
8	0.0971161	-2.06289	4.8558	-103.144	0.598064	-0.755752	-0.320583	-51.6437
8.01	0.097116	-2.05986	4.8558	-102.993	0.597145	-0.756371	-0.321343	-51.7094
8.02	0.0971159	-2.05685	4.8558	-102.843	0.596225	-0.756989	-0.322105	-51.7751
8.03	0.0971159	-2.05384	4.85579	-102.692	0.595305	-0.757605	-0.322867	-51.8407
8.04	0.0971158	-2.05084	4.85579	-102.542	0.594383	-0.758221	-0.32363	-51.9064
8.05	0.0971158	-2.04785	4.85579	-102.392	0.593461	-0.758835	-0.324393	-51.9721
8.06	0.0971157	-2.04486	4.85579	-102.243	0.592539	-0.759448	-0.325158	-52.0378
8.07	0.0971156	-2.04188	4.85578	-102.094	0.591615	-0.76006	-0.325923	-52.1035
8.08	0.0971156	-2.03891	4.85578	-101.946	0.590691	-0.760671	-0.326689	-52.1692
8.09	0.0971155	-2.03595	4.85578	-101.797	0.589766	-0.761281	-0.327455	-52.235
8.1	0.0971155	-2.03299	4.85577	-101.649	0.588841	-0.76189	-0.328222	-52.3007
8.11	0.0971154	-2.03003	4.85577	-101.502	0.587915	-0.762497	-0.32899	-52.3664
8.12	0.0971154	-2.02709	4.85577	-101.354	0.586988	-0.763103	-0.329759	-52.4321
8.13	0.0971153	-2.02415	4.85576	-101.207	0.58606	-0.763709	-0.330528	-52.4978
8.14	0.0971152	-2.02122	4.85576	-101.061	0.585132	-0.764313	-0.331298	-52.5636
8.15	0.0971152	-2.01829	4.85576	-100.915	0.584203	-0.764915	-0.332069	-52.6293
8.16	0.0971151	-2.01537	4.85576	-100.769	0.583273	-0.765517	-0.332841	-52.695
8.17	0.0971151	-2.01246	4.85575	-100.623	0.582342	-0.766118	-0.333613	-52.7608
8.18	0.097115	-2.00955	4.85575	-100.478	0.581411	-0.766717	-0.334386	-52.8265
8.19	0.0971149	-2.00665	4.85575	-100.333	0.580479	-0.767316	-0.33516	-52.8923
8.2	0.0971149	-2.00376	4.85574	-100.188	0.579547	-0.767913	-0.335934	-52.958
8.21	0.0971148	-2.00088	4.85574	-100.044	0.578613	-0.768509	-0.336709	-53.0238
8.22	0.0971148	-1.998	4.85574	-99.8998	0.577679	-0.769104	-0.337485	-53.0895
8.23	0.0971147	-1.99512	4.85574	-99.7561	0.576745	-0.769697	-0.338262	-53.1553
8.24	0.0971147	-1.99226	4.85573	-99.6128	0.575809	-0.77029	-0.339039	-53.221
8.25	0.0971146	-1.9894	4.85573	-99.4698	0.574873	-0.770881	-0.339817	-53.2868
8.26	0.0971145	-1.98654	4.85573	-99.3271	0.573937	-0.771471	-0.340596	-53.3526
8.27	0.0971145	-1.98369	4.85572	-99.1847	0.572999	-0.77206	-0.341375	-53.4183
8.28	0.0971144	-1.98085	4.85572	-99.0426	0.572061	-0.772648	-0.342155	-53.4841
8.29	0.0971144	-1.97802	4.85572	-98.9009	0.571122	-0.773235	-0.342936	-53.5499
8.3	0.0971143	-1.97519	4.85571	-98.7594	0.570183	-0.773821	-0.343718	-53.6157
8.31	0.0971142	-1.97237	4.85571	-98.6183	0.569243	-0.774405	-0.3445	-53.6815
8.32	0.0971142	-1.96955	4.85571	-98.4775	0.568302	-0.774988	-0.345283	-53.7473
8.33	0.0971141	-1.96674	4.85571	-98.337	0.56736	-0.77557	-0.346066	-53.8131
8.34	0.0971141	-1.96394	4.8557	-98.1968	0.566418	-0.776151	-0.346851	-53.8789
8.35	0.097114	-1.96114	4.8557	-98.0569	0.565475	-0.776731	-0.347636	-53.9447
8.36	0.0971139	-1.95835	4.8557	-97.9173	0.564532	-0.77731	-0.348422	-54.0105
8.37	0.0971139	-1.95556	4.85569	-97.7781	0.563588	-0.777887	-0.349208	-54.0763
8.38	0.0971138	-1.95278	4.85569	-97.6391	0.562643	-0.778463	-0.349995	-54.1421
8.39	0.0971138	-1.95001	4.85569	-97.5004	0.561697	-0.779039	-0.350783	-54.2079
8.4	0.0971137	-1.94724	4.85568	-97.3621	0.560751	-0.779613	-0.351572	-54.2737
8.41	0.0971136	-1.94448	4.85568	-97.224	0.559804	-0.780185	-0.352361	-54.3395
8.42	0.0971136	-1.94173	4.85568	-97.0863	0.558857	-0.780757	-0.353151	-54.4053
8.43	0.0971135	-1.93898	4.85568	-96.9488	0.557909	-0.781327	-0.353941	-54.4712
8.44	0.0971135	-1.93623	4.85567	-96.8117	0.55696	-0.781897	-0.354733	-54.537
8.45	0.0971134	-1.9335	4.85567	-96.6748	0.55601	-0.782465	-0.355525	-54.6028
8.46	0.0971133	-1.93077	4.85567	-96.5383	0.55506	-0.783032	-0.356317	-54.6687
8.47	0.0971133	-1.92804	4.85566	-96.402	0.554109	-0.783597	-0.357111	-54.7345
8.48	0.0971132	-1.92532	4.85566	-96.2661	0.553158	-0.784162	-0.357905	-54.8004
8.49	0.0971131	-1.92261	4.85566	-96.1304	0.552206	-0.784725	-0.3587	-54.8662
8.5	0.0971131	-1.9199	4.85565	-95.995	0.551253	-0.785288	-0.359495	-54.9321
8.51	0.097113	-1.9172	4.85565	-95.8599	0.5503	-0.785849	-0.360291	-54.9979
8.52	0.097113	-1.9145	4.85565	-95.7251	0.549346	-0.786408	-0.361088	-55.0638
8.53	0.0971129	-1.91181	4.85565	-95.5906	0.548391	-0.786967	-0.361885	-55.1296
