Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
19.542	0.0970019	-0.481829	4.85009	-24.0914	-0.528313	-0.671271	-1.36844	-128.204
19.552	0.0970018	-0.481135	4.85009	-24.0567	-0.529025	-0.670616	-1.36919	-128.269
19.562	0.0970016	-0.480441	4.85008	-24.0221	-0.529736	-0.669961	-1.36994	-128.333
19.572	0.0970015	-0.479748	4.85007	-23.9874	-0.530446	-0.669305	-1.37068	-128.398
19.5821	0.0970013	-0.479056	4.85007	-23.9528	-0.531156	-0.668649	-1.37143	-128.463
19.5921	0.0970012	-0.478363	4.85006	-23.9182	-0.531864	-0.667992	-1.37217	-128.527
19.6021	0.0970011	-0.477672	4.85005	-23.8836	-0.532572	-0.667334	-1.37291	-128.592
19.6122	0.0970009	-0.476981	4.85005	-23.849	-0.533279	-0.666676	-1.37366	-128.657
19.6222	0.0970008	-0.47629	4.85004	-23.8145	-0.533985	-0.666017	-1.3744	-128.721
19.6322	0.0970006	-0.4756	4.85003	-23.78	-0.53469	-0.665358	-1.37514	-128.786
19.6422	0.0970005	-0.47491	4.85002	-23.7455	-0.535394	-0.664698	-1.37588	-128.85
19.6523	0.0970003	-0.474221	4.85002	-23.711	-0.536098	-0.664037	-1.37662	-128.915
19.6623	0.0970002	-0.473532	4.85001	-23.6766	-0.5368	-0.663376	-1.37736	-128.98
19.6723	0.0970001	-0.472843	4.85	-23.6422	-0.537502	-0.662714	-1.3781	-129.044
19.6823	0.0969999	-0.472156	4.85	-23.6078	-0.538203	-0.662052	-1.37883	-129.109
19.6924	0.0969998	-0.471468	4.84999	-23.5734	-0.538903	-0.661389	-1.37957	-129.173
19.7024	0.0969996	-0.470781	4.84998	-23.5391	-0.539602	-0.660726	-1.38031	-129.238
19.7124	0.0969995	-0.470095	4.84997	-23.5047	-0.5403	-0.660062	-1.38104	-129.302
19.7224	0.0969994	-0.469409	4.84997	-23.4704	-0.540997	-0.659397	-1.38177	-129.367
19.7325	0.0969992	-0.468723	4.84996	-23.4362	-0.541694	-0.658732	-1.38251	-129.431
19.7425	0.0969991	-0.468038	4.84995	-23.4019	-0.54239	-0.658066	-1.38324	-129.496
19.7525	0.0969989	-0.467354	4.84995	-23.3677	-0.543084	-0.657399	-1.38397	-129.56
19.7626	0.0969988	-0.46667	4.84994	-23.3335	-0.543778	-0.656732	-1.3847	-129.625
