Freq_GHz	r_fit	x_fit	R_fit_ohm	X_fit_ohm	Re_S11	Im_S11	S11_dB	S11_deg
34.6014	0.222192	0.325911	11.1096	16.2955	-0.527768	0.407396	-3.52118	142.335
34.8013	0.220466	0.332302	11.0233	16.6151	-0.525619	0.415387	-3.47926	141.681
35.0013	0.218769	0.33869	10.9385	16.9345	-0.523357	0.423333	-3.43793	141.031
35.2012	0.217103	0.345067	10.8551	17.2534	-0.520988	0.431223	-3.39721	140.385
35.4012	0.215465	0.35144	10.7732	17.572	-0.51851	0.439063	-3.35707	139.743
35.6011	0.213856	0.357803	10.6928	17.8902	-0.515928	0.446844	-3.31753	139.104
35.8011	0.212274	0.364162	10.6137	18.2081	-0.51324	0.454571	-3.27856	138.469
36.001	0.210722	0.370511	10.5361	18.5255	-0.510452	0.462235	-3.24017	137.838
36.201	0.209195	0.376855	10.4598	18.8427	-0.507563	0.469843	-3.20234	137.21
36.4009	0.207697	0.383188	10.3848	19.1594	-0.504576	0.477385	-3.16509	136.586
36.6009	0.206224	0.389517	10.3112	19.4759	-0.501492	0.484866	-3.12837	135.966
36.8008	0.204778	0.395836	10.2389	19.7918	-0.498316	0.492279	-3.09222	135.349
37.0008	0.203358	0.40215	10.1679	20.1075	-0.495045	0.499629	-3.05659	134.736
37.2007	0.201963	0.408453	10.0982	20.4227	-0.491686	0.506908	-3.02151	134.127
37.4007	0.200593	0.414752	10.0297	20.7376	-0.488237	0.514121	-2.98695	133.521
37.6006	0.199249	0.421041	9.96244	21.052	-0.484703	0.52126	-2.95293	132.919
37.8006	0.197928	0.427324	9.8964	21.3662	-0.481083	0.528331	-2.9194	132.32
38.0005	0.196632	0.433597	9.83161	21.6799	-0.477383	0.535327	-2.88641	131.725
38.2005	0.195359	0.439866	9.76797	21.9933	-0.4736	0.542252	-2.8539	131.134
38.4004	0.194111	0.446123	9.70554	22.3062	-0.469741	0.5491	-2.8219	130.546
38.6004	0.192885	0.452376	9.64423	22.6188	-0.465804	0.555875	-2.79038	129.962
38.8003	0.191682	0.458618	9.5841	22.9309	-0.461795	0.562571	-2.75937	129.381
39.0003	0.190501	0.464856	9.52506	23.2428	-0.457711	0.569194	-2.72881	128.804
39.2002	0.189343	0.471083	9.46717	23.5541	-0.453559	0.575735	-2.69875	128.231
39.4002	0.188207	0.477305	9.41034	23.8653	-0.449337	0.582202	-2.66913	127.661
39.6001	0.187093	0.483517	9.35463	24.1758	-0.445051	0.588586	-2.63999	127.094
39.8001	0.185999	0.489723	9.29995	24.4862	-0.440698	0.594894	-2.61129	126.531
40	0.184927	0.49592	9.24636	24.796	-0.436285	0.601119	-2.58306	125.972
