Freq_GHz	r_meas	x_meas	r_fit	x_fit	R_meas_ohm	X_meas_ohm	R_fit_ohm	X_fit_ohm
6.0085	1.03566	-0.315931	1.02204	-0.306611	51.7828	-15.7965	51.1019	-15.3305
6.20845	1.02695	-0.322906	1.01191	-0.312406	51.3477	-16.1453	50.5953	-15.6203
6.4084	1.01593	-0.329796	1.00166	-0.317862	50.7964	-16.4898	50.0828	-15.8931
6.60835	1.00832	-0.335434	0.991299	-0.322982	50.4161	-16.7717	49.5649	-16.1491
6.8083	0.995462	-0.340495	0.980849	-0.327767	49.7731	-17.0247	49.0424	-16.3883
7.00825	0.98664	-0.346276	0.970319	-0.332219	49.332	-17.3138	48.5159	-16.6109
7.2082	0.975994	-0.352167	0.959721	-0.336341	48.7997	-17.6084	47.986	-16.817
7.40815	0.965434	-0.355623	0.949067	-0.340136	48.2717	-17.7811	47.4534	-17.0068
7.6081	0.954997	-0.36024	0.93837	-0.343609	47.7498	-18.012	46.9185	-17.1804
7.80805	0.943684	-0.364321	0.92764	-0.346763	47.1842	-18.2161	46.382	-17.3381
8.008	0.934586	-0.368189	0.916888	-0.349603	46.7293	-18.4095	45.8444	-17.4802
8.20795	0.922703	-0.371816	0.906125	-0.352134	46.1352	-18.5908	45.3062	-17.6067
8.4079	0.912896	-0.374276	0.895359	-0.354362	45.6448	-18.7138	44.768	-17.7181
8.60785	0.90079	-0.378374	0.884601	-0.356291	45.0395	-18.9187	44.2301	-17.8145
8.8078	0.890404	-0.379771	0.87386	-0.357928	44.5202	-18.9886	43.693	-17.8964
9.00775	0.879724	-0.383427	0.863144	-0.359278	43.9862	-19.1713	43.1572	-17.9639
9.2077	0.869908	-0.38404	0.852461	-0.360348	43.4954	-19.202	42.6231	-18.0174
9.40765	0.858271	-0.386331	0.841819	-0.361143	42.9136	-19.3166	42.0909	-18.0572
9.6076	0.848022	-0.387396	0.831224	-0.361672	42.4011	-19.3698	41.5612	-18.0836
9.80755	0.837484	-0.387495	0.820684	-0.361939	41.8742	-19.3747	41.0342	-18.0969
10.0075	0.826875	-0.390439	0.810204	-0.361951	41.3438	-19.5219	40.5102	-18.0976
10.2075	0.81695	-0.387965	0.799789	-0.361716	40.8475	-19.3983	39.9895	-18.0858
10.4074	0.804974	-0.39052	0.789451	-0.36124	40.2487	-19.526	39.4726	-18.062
10.6074	0.794594	-0.389042	0.779186	-0.36053	39.7297	-19.4521	38.9593	-18.0265
10.8073	0.784453	-0.390699	0.769007	-0.359592	39.2226	-19.535	38.4503	-17.9796
11.0073	0.774287	-0.389452	0.758909	-0.358433	38.7144	-19.4726	37.9455	-17.9216
11.2072	0.764518	-0.388087	0.748907	-0.35706	38.2259	-19.4044	37.4454	-17.853
11.4072	0.753747	-0.387335	0.738994	-0.355479	37.6873	-19.3667	36.9497	-17.774
11.6071	0.742299	-0.385309	0.729183	-0.353698	37.1149	-19.2654	36.4592	-17.6849
11.8071	0.733935	-0.386042	0.719468	-0.351722	36.6967	-19.3021	35.9734	-17.5861
12.007	0.721314	-0.382323	0.709861	-0.349559	36.0657	-19.1161	35.493	-17.478
12.207	0.714167	-0.382816	0.700354	-0.347213	35.7083	-19.1408	35.0177	-17.3607
12.4069	0.701324	-0.379206	0.69096	-0.344693	35.0662	-18.9603	34.548	-17.2347
12.6069	0.695795	-0.379497	0.68167	-0.342002	34.7898	-18.9748	34.0835	-17.1001
12.8068	0.682601	-0.373659	0.672497	-0.33915	34.1301	-18.6829	33.6248	-16.9575
13.0068	0.674567	-0.372855	0.663432	-0.336139	33.7284	-18.6428	33.1716	-16.8069
13.2067	0.664438	-0.368987	0.654485	-0.332978	33.2219	-18.4493	32.7243	-16.6489
13.4067	0.654714	-0.367061	0.645649	-0.329669	32.7357	-18.353	32.2824	-16.4835
13.6066	0.647465	-0.362949	0.636933	-0.326222	32.3732	-18.1475	31.8466	-16.3111
