Freq_GHz	S11_meas_dB	S11_meas_deg	S11_model_dB	S11_model_deg
36.4009	-2.63785	122.59	-1.51365	128.673
36.6009	-2.70447	121.573	-1.50495	127.998
36.8008	-2.65276	120.454	-1.49626	127.329
37.0007	-2.69486	119.224	-1.48757	126.666
37.2007	-2.66129	118.738	-1.47889	126.01
37.4006	-2.68225	117.394	-1.47021	125.359
37.6006	-2.73862	116.739	-1.46155	124.715
37.8006	-2.6232	115.605	-1.4529	124.076
38.0005	-2.69266	114.822	-1.44426	123.443
38.2004	-2.60697	114.016	-1.43564	122.816
38.4004	-2.6571	113.111	-1.42704	122.195
38.6003	-2.66271	112.49	-1.41845	121.579
38.8003	-2.63383	110.788	-1.40989	120.969
39.0003	-2.6588	110.828	-1.40136	120.365
39.2002	-2.61201	108.622	-1.39285	119.766
39.4001	-2.66495	108.401	-1.38436	119.172
39.6001	-2.67331	106.95	-1.3759	118.584
39.8	-2.65066	106.297	-1.36748	118.001
40	-2.68662	105.341	-1.35908	117.423
