Freq_GHz	S11_meas_dB	S11_meas_deg	S11_model_dB	S11_model_deg
32.8018	-3.29351	135.527	-3.16337	141.309
33.0018	-3.35423	134.75	-3.12768	140.65
33.2017	-3.21206	133.501	-3.09255	139.995
33.4016	-3.28325	132.839	-3.05796	139.344
33.6016	-3.14017	132.187	-3.02392	138.697
33.8015	-3.25288	130.982	-2.99042	138.054
34.0015	-3.09389	130.764	-2.95744	137.415
34.2015	-3.10279	129.035	-2.92499	136.781
34.4014	-3.01404	129.481	-2.89304	136.15
34.6013	-3.06973	127.94	-2.86161	135.523
34.8013	-3.09603	127.103	-2.83068	134.901
35.0012	-2.96882	126.047	-2.80024	134.282
35.2012	-2.98313	124.951	-2.77028	133.668
35.4012	-2.84229	125.593	-2.74081	133.057
35.6011	-3.11916	123.798	-2.71181	132.45
35.801	-2.89264	123.117	-2.68327	131.847
36.001	-2.91976	121.13	-2.6552	131.248
36.2009	-2.89241	121.078	-2.62757	130.653
36.4009	-2.86472	119.683	-2.6004	130.062
36.6009	-2.96033	118.723	-2.57366	129.475
36.8008	-2.84047	117.785	-2.54736	128.892
37.0007	-2.89041	116.629	-2.52148	128.312
37.2007	-2.84361	116.351	-2.49603	127.736
37.4006	-2.8338	115.168	-2.47099	127.164
37.6006	-2.91055	114.475	-2.44636	126.596
37.8006	-2.7195	113.494	-2.42213	126.031
38.0005	-2.83854	112.844	-2.39829	125.471
38.2004	-2.68607	112.079	-2.37485	124.913
38.4004	-2.75283	111.394	-2.35179	124.36
38.6003	-2.74704	111.099	-2.32912	123.81
38.8003	-2.68764	109.162	-2.30681	123.264
39.0003	-2.74774	109.565	-2.28487	122.722
39.2002	-2.67941	107.014	-2.26329	122.183
39.4001	-2.73335	107.354	-2.24207	121.648
39.6001	-2.72113	105.759	-2.2212	121.116
39.8	-2.68898	105.094	-2.20068	120.588
40	-2.7347	104.461	-2.18049	120.064
