Freq_GHz	r_meas	x_meas	r_fit	x_fit	R_meas_ohm	X_meas_ohm	R_fit_ohm	X_fit_ohm
5.2087	0.680856	-0.0607552	0.725616	-0.0473293	34.0428	-3.03776	36.2808	-2.36647
5.40865	0.678619	-0.0633061	0.723026	-0.0486169	33.931	-3.1653	36.1513	-2.43084
5.6086	0.675803	-0.064424	0.720353	-0.0498474	33.7901	-3.2212	36.0177	-2.49237
5.80855	0.674334	-0.0668847	0.717599	-0.0510194	33.7167	-3.34423	35.88	-2.55097
6.0085	0.670284	-0.0680289	0.714766	-0.0521312	33.5142	-3.40145	35.7383	-2.60656
6.20845	0.66876	-0.0700882	0.711854	-0.0531814	33.438	-3.50441	35.5927	-2.65907
6.4084	0.665324	-0.0718595	0.708867	-0.0541684	33.2662	-3.59298	35.4433	-2.70842
6.60835	0.664296	-0.0728591	0.705804	-0.055091	33.2148	-3.64296	35.2902	-2.75455
6.8083	0.65951	-0.0743128	0.702669	-0.0559477	32.9755	-3.71564	35.1334	-2.79738
7.00825	0.657318	-0.0759812	0.699462	-0.0567372	32.8659	-3.79906	34.9731	-2.83686
7.2082	0.654627	-0.0780347	0.696186	-0.0574583	32.7313	-3.90173	34.8093	-2.87292
7.40815	0.651033	-0.0784881	0.692842	-0.0581099	32.5516	-3.92441	34.6421	-2.90549
7.6081	0.648479	-0.0799208	0.689433	-0.0586907	32.424	-3.99604	34.4716	-2.93453
7.80805	0.644038	-0.0811471	0.685959	-0.0591997	32.2019	-4.05736	34.2979	-2.95999
8.008	0.642402	-0.0824249	0.682423	-0.0596359	32.1201	-4.12125	34.1211	-2.98179
8.20795	0.63791	-0.0837311	0.678826	-0.0599982	31.8955	-4.18655	33.9413	-2.99991
8.4079	0.635546	-0.084311	0.675171	-0.0602859	31.7773	-4.21555	33.7586	-3.01429
8.60785	0.63123	-0.0858871	0.67146	-0.0604979	31.5615	-4.29435	33.573	-3.0249
8.8078	0.628018	-0.085911	0.667693	-0.0606336	31.4009	-4.29555	33.3847	-3.03168
9.00775	0.624478	-0.0883357	0.663874	-0.0606921	31.2239	-4.41679	33.1937	-3.03461
9.2077	0.621163	-0.0877584	0.660003	-0.0606728	31.0581	-4.38792	33.0002	-3.03364
9.40765	0.617021	-0.0882879	0.656083	-0.060575	30.851	-4.41439	32.8042	-3.02875
9.6076	0.613431	-0.0893946	0.652117	-0.0603981	30.6715	-4.46973	32.6058	-3.01991
9.80755	0.60943	-0.0886989	0.648104	-0.0601416	30.4715	-4.43495	32.4052	-3.00708
10.0075	0.606413	-0.0907873	0.644049	-0.059805	30.3207	-4.53937	32.2024	-2.99025
10.2074	0.601953	-0.0885907	0.639952	-0.0593879	30.0976	-4.42954	31.9976	-2.9694
10.4074	0.598501	-0.0906883	0.635815	-0.0588899	29.925	-4.53441	31.7908	-2.94449
10.6074	0.59369	-0.0894191	0.631641	-0.0583106	29.6845	-4.47095	31.582	-2.91553
10.8073	0.590969	-0.0914049	0.62743	-0.0576499	29.5484	-4.57024	31.3715	-2.88249
11.0073	0.586281	-0.0902704	0.623186	-0.0569074	29.314	-4.51352	31.1593	-2.84537
11.2072	0.582663	-0.0895757	0.61891	-0.0560829	29.1332	-4.47878	30.9455	-2.80415
11.4071	0.577785	-0.0896467	0.614603	-0.0551765	28.8893	-4.48234	30.7302	-2.75882
11.6071	0.572346	-0.0892857	0.610268	-0.0541879	28.6173	-4.46429	30.5134	-2.7094
11.8071	0.570595	-0.0903317	0.605907	-0.0531172	28.5297	-4.51659	30.2953	-2.65586
12.007	0.563205	-0.088577	0.601521	-0.0519643	28.1602	-4.42885	30.076	-2.59822
12.207	0.562471	-0.0893153	0.597111	-0.0507293	28.1235	-4.46577	29.8556	-2.53647
12.4069	0.554405	-0.0879947	0.592681	-0.0494124	27.7202	-4.39973	29.634	-2.47062
12.6068	0.555096	-0.0880705	0.588231	-0.0480136	27.7548	-4.40353	29.4116	-2.40068
12.8068	0.546616	-0.0848791	0.583764	-0.0465331	27.3308	-4.24396	29.1882	-2.32666
13.0068	0.544004	-0.0850135	0.57928	-0.0449712	27.2002	-4.25067	28.964	-2.24856
13.2067	0.538486	-0.0831597	0.574783	-0.0433281	26.9243	-4.15798	28.7391	-2.16641
13.4067	0.534527	-0.0822858	0.570272	-0.0416042	26.7264	-4.11429	28.5136	-2.08021
13.6066	0.531554	-0.0804839	0.565751	-0.0397998	26.5777	-4.0242	28.2876	-1.98999
13.8065	0.525516	-0.0793173	0.561221	-0.0379151	26.2758	-3.96587	28.061	-1.89576
14.0065	0.523027	-0.076575	0.556683	-0.0359508	26.1514	-3.82875	27.8341	-1.79754
14.2065	0.515901	-0.0766159	0.552138	-0.0339072	25.795	-3.83079	27.6069	-1.69536
14.4064	0.514283	-0.0739831	0.54759	-0.0317847	25.7141	-3.69915	27.3795	-1.58924
14.6064	0.508562	-0.0729067	0.543038	-0.029584	25.4281	-3.64534	27.1519	-1.4792
14.8063	0.505045	-0.0691825	0.538484	-0.0273055	25.2522	-3.45913	26.9242	-1.36528
15.0062	0.499329	-0.0687233	0.533931	-0.0249499	24.9665	-3.43616	26.6965	-1.24749
15.2062	0.494504	-0.0658286	0.529379	-0.0225177	24.7252	-3.29143	26.4689	-1.12588
15.4062	0.49087	-0.064246	0.52483	-0.0200095	24.5435	-3.2123	26.2415	-1.00047
15.6061	0.48634	-0.0612291	0.520285	-0.017426	24.317	-3.06146	26.0142	-0.8713
15.8061	0.482496	-0.058538	0.515745	-0.0147679	24.1248	-2.9269	25.7873	-0.738396
16.006	0.477233	-0.0568133	0.511212	-0.0120359	23.8616	-2.84067	25.5606	-0.601796
16.206	0.474007	-0.0531511	0.506688	-0.00923073	23.7003	-2.65755	25.3344	-0.461536
16.4059	0.467714	-0.0514566	0.502173	-0.0063531	23.3857	-2.57283	25.1086	-0.317655
16.6059	0.46497	-0.0485381	0.497668	-0.0034038	23.2485	-2.42691	24.8834	-0.17019
16.8058	0.460254	-0.0455192	0.493175	-0.00038361	23.0127	-2.27596	24.6588	-0.0191805
17.0057	0.455116	-0.0417139	0.488695	0.00270666	22.7558	-2.08569	24.4348	0.135333
17.2057	0.451091	-0.039638	0.48423	0.00586619	22.5545	-1.9819	24.2115	0.29331
17.4057	0.446814	-0.0375742	0.479779	0.00909415	22.3407	-1.87871	23.989	0.454708
17.6056	0.443592	-0.0324831	0.475345	0.0123897	22.1796	-1.62416	23.7673	0.619484
17.8056	0.438414	-0.0303704	0.470929	0.0157519	21.9207	-1.51852	23.5464	0.787596
18.0055	0.434233	-0.0265301	0.46653	0.01918	21.7117	-1.3265	23.3265	0.958999
18.2054	0.430509	-0.0242824	0.462151	0.022673	21.5255	-1.21412	23.1076	1.13365
18.4054	0.4259	-0.01935	0.457793	0.02623	21.295	-0.967501	22.8896	1.3115
18.6054	0.421318	-0.0168452	0.453455	0.0298502	21.0659	-0.842259	22.6728	1.49251
18.8053	0.416383	-0.0132144	0.44914	0.0335325	20.8192	-0.66072	22.457	1.67663
19.0053	0.413701	-0.00912908	0.444847	0.0372761	20.6851	-0.456454	22.2424	1.86381
19.2052	0.408593	-0.0058275	0.440579	0.0410801	20.4296	-0.291375	22.0289	2.05401
19.4051	0.404127	-0.000789357	0.436334	0.0449435	20.2064	-0.0394679	21.8167	2.24717
19.6051	0.400656	0.00122817	0.432116	0.0488653	20.0328	0.0614086	21.6058	2.44326
19.8051	0.395102	0.00785664	0.427923	0.0528446	19.7551	0.392832	21.3962	2.64223
20.005	0.392463	0.00829648	0.423757	0.0568804	19.6232	0.414824	21.1879	2.84402
20.205	0.387764	0.0157813	0.419619	0.0609719	19.3882	0.789064	20.981	3.04859
20.4049	0.384029	0.0185601	0.415509	0.0651179	19.2014	0.928007	20.7754	3.2559
20.6048	0.37992	0.0238796	0.411428	0.0693176	18.996	1.19398	20.5714	3.46588
20.8048	0.375838	0.0272854	0.407376	0.07357	18.7919	1.36427	20.3688	3.6785
21.0048	0.374409	0.0327151	0.403354	0.0778742	18.7204	1.63575	20.1677	3.89371
21.2047	0.367702	0.0388699	0.399362	0.0822291	18.3851	1.9435	19.9681	4.11145
21.4047	0.365399	0.0428298	0.395401	0.0866338	18.27	2.14149	19.7701	4.33169
21.6046	0.358701	0.045706	0.391472	0.0910873	17.935	2.2853	19.5736	4.55437
21.8045	0.360499	0.053772	0.387575	0.0955888	18.025	2.6886	19.3788	4.77944
22.0045	0.352246	0.0568739	0.383711	0.100137	17.6123	2.8437	19.1855	5.00686
22.2045	0.351986	0.0642927	0.379879	0.104732	17.5993	3.21464	18.9939	5.23658
22.4044	0.345151	0.0655919	0.37608	0.109371	17.2575	3.27959	18.804	5.46855
22.6044	0.344394	0.0747589	0.372315	0.114054	17.2197	3.73794	18.6158	5.70272
22.8043	0.339323	0.0763304	0.368584	0.118781	16.9661	3.81652	18.4292	5.93906
23.0042	0.334811	0.0845043	0.364887	0.12355	16.7406	4.22521	18.2444	6.1775
23.2042	0.332704	0.0892325	0.361225	0.12836	16.6352	4.46162	18.0612	6.41801
23.4042	0.328311	0.0926977	0.357598	0.133211	16.4155	4.63489	17.8799	6.66054
23.6041	0.327613	0.100194	0.354005	0.138101	16.3807	5.00972	17.7003	6.90504
23.8041	0.322833	0.104618	0.350448	0.143029	16.1416	5.23089	17.5224	7.15147
24.004	0.319939	0.11182	0.346927	0.147996	15.997	5.59101	17.3463	7.39979
24.2039	0.317076	0.115879	0.343441	0.152999	15.8538	5.79396	17.1721	7.64994
24.4039	0.312988	0.122591	0.339991	0.158038	15.6494	6.12956	16.9996	7.90189
24.6039	0.311483	0.128756	0.336578	0.163112	15.5741	6.43778	16.8289	8.15559
24.8038	0.305496	0.134391	0.3332	0.16822	15.2748	6.71953	16.66	8.41099
25.0038	0.304679	0.140518	0.329859	0.173361	15.234	7.0259	16.493	8.66807
25.2037	0.302217	0.145988	0.326555	0.178535	15.1109	7.29939	16.3277	8.92676
25.4036	0.298624	0.154952	0.323287	0.183741	14.9312	7.7476	16.1643	9.18704
25.6036	0.296285	0.158698	0.320056	0.188977	14.8143	7.9349	16.0028	9.44886
25.8036	0.291082	0.168057	0.316861	0.194244	14.5541	8.40286	15.843	9.71218
26.0035	0.291006	0.17029	0.313703	0.199539	14.5503	8.51451	15.6852	9.97695
26.2035	0.286505	0.180246	0.310582	0.204863	14.3253	9.01231	15.5291	10.2431
26.4034	0.285795	0.185525	0.307498	0.210214	14.2898	9.27623	15.3749	10.5107
26.6033	0.281093	0.193622	0.30445	0.215593	14.0547	9.6811	15.2225	10.7796
26.8033	0.279864	0.199658	0.301439	0.220997	13.9932	9.98289	15.072	11.0499
27.0033	0.277069	0.203338	0.298465	0.226427	13.8535	10.1669	14.9233	11.3213
27.2032	0.276161	0.21459	0.295528	0.231881	13.808	10.7295	14.7764	11.5941
