Freq_GHz	r_meas	x_meas	r_fit	x_fit	R_meas_ohm	X_meas_ohm	R_fit_ohm	X_fit_ohm
34.6013	0.183067	0.433129	0.106847	0.435505	9.15337	21.6564	5.34234	21.7752
34.8013	0.186189	0.442885	0.106841	0.44313	9.30943	22.1442	5.34204	22.1565
35.0012	0.183554	0.456312	0.106835	0.450727	9.17768	22.8156	5.34174	22.5363
35.2012	0.184055	0.467005	0.106829	0.458294	9.20276	23.3502	5.34143	22.9147
35.4012	0.17999	0.468014	0.106823	0.465834	8.9995	23.4007	5.34113	23.2917
35.6011	0.194489	0.482546	0.106816	0.473346	9.72443	24.1273	5.34082	23.6673
35.801	0.187772	0.491949	0.10681	0.480831	9.38861	24.5975	5.34051	24.0416
36.001	0.193398	0.511941	0.106804	0.488289	9.66989	25.597	5.34019	24.4145
36.2009	0.192532	0.516146	0.106798	0.495721	9.62658	25.8073	5.33988	24.7861
36.4009	0.194553	0.531544	0.106791	0.503127	9.72763	26.5772	5.33956	25.1564
36.6009	0.201227	0.541811	0.106785	0.510508	10.0613	27.0905	5.33925	25.5254
36.8008	0.199621	0.554776	0.106779	0.517863	9.98103	27.7388	5.33893	25.8932
37.0007	0.205147	0.567902	0.106772	0.525194	10.2574	28.3951	5.33861	26.2597
37.2007	0.203656	0.5738	0.106766	0.532501	10.1828	28.69	5.33829	26.6251
37.4006	0.208025	0.5887	0.106759	0.539784	10.4013	29.435	5.33796	26.9892
37.6006	0.213689	0.595355	0.106753	0.547044	10.6845	29.7678	5.33764	27.3522
37.8006	0.207438	0.610092	0.106746	0.55428	10.3719	30.5046	5.33731	27.714
38.0005	0.214539	0.618172	0.10674	0.561494	10.727	30.9086	5.33698	28.0747
38.2004	0.209771	0.628927	0.106733	0.568685	10.4886	31.4464	5.33665	28.4343
38.4004	0.215815	0.638853	0.106726	0.575855	10.7907	31.9427	5.33632	28.7927
38.6003	0.217767	0.646176	0.10672	0.583002	10.8884	32.3088	5.33598	29.1501
38.8003	0.219733	0.667193	0.106713	0.590129	10.9867	33.3597	5.33565	29.5064
39.0003	0.221637	0.666282	0.106706	0.597234	11.0818	33.3141	5.33531	29.8617
39.2002	0.223663	0.694313	0.106699	0.604319	11.1831	34.7156	5.33497	30.216
39.4001	0.228633	0.69611	0.106693	0.611384	11.4316	34.8055	5.33463	30.5692
39.6001	0.233453	0.714239	0.106686	0.618428	11.6727	35.7119	5.33428	30.9214
39.8	0.23346	0.723006	0.106679	0.625453	11.673	36.1503	5.33394	31.2726
40	0.239387	0.734596	0.106672	0.632458	11.9694	36.7298	5.33359	31.6229
