Freq_GHz	Model_dBm_5mA	Model_Norm_dB
2.27509	-2.09812	-0.0568074
2.28507	-2.09862	-0.0573082
2.29505	-2.09912	-0.0578112
2.30503	-2.09963	-0.0583163
2.315	-2.10013	-0.0588237
2.32498	-2.10064	-0.0593333
2.33496	-2.10115	-0.059845
2.34494	-2.10167	-0.060359
2.35491	-2.10218	-0.0608752
2.36489	-2.1027	-0.0613935
2.37487	-2.10322	-0.0619141
2.38485	-2.10375	-0.0624369
2.39482	-2.10427	-0.0629618
2.4048	-2.1048	-0.063489
2.41478	-2.10533	-0.0640183
2.42476	-2.10586	-0.0645499
2.43473	-2.10639	-0.0650837
2.44471	-2.10693	-0.0656196
2.45469	-2.10747	-0.0661578
2.46467	-2.10801	-0.0666982
2.47464	-2.10855	-0.0672407
2.48462	-2.1091	-0.0677855
2.4946	-2.10964	-0.0683325
2.50458	-2.11019	-0.0688817
2.51455	-2.11074	-0.069433
2.52453	-2.1113	-0.0699866
2.53451	-2.11185	-0.0705424
2.54449	-2.11241	-0.0711003
2.55446	-2.11297	-0.0716605
2.56444	-2.11353	-0.0722229
2.57442	-2.1141	-0.0727875
2.5844	-2.11466	-0.0733543
2.59437	-2.11523	-0.0739233
2.60435	-2.1158	-0.0744944
2.61433	-2.11638	-0.0750678
2.62431	-2.11695	-0.0756434
2.63428	-2.11753	-0.0762212
2.64426	-2.11811	-0.0768012
2.65424	-2.11869	-0.0773834
2.66422	-2.11928	-0.0779678
2.67419	-2.11986	-0.0785544
2.68417	-2.12045	-0.0791432
2.69415	-2.12104	-0.0797342
2.70413	-2.12164	-0.0803274
2.7141	-2.12223	-0.0809229
2.72408	-2.12283	-0.0815205
2.73406	-2.12343	-0.0821203
2.74404	-2.12403	-0.0827223
2.75401	-2.12464	-0.0833266
2.76399	-2.12524	-0.083933
2.77397	-2.12585	-0.0845416
2.78395	-2.12646	-0.0851525
2.79392	-2.12708	-0.0857655
2.8039	-2.12769	-0.0863808
2.81388	-2.12831	-0.0869982
2.82386	-2.12893	-0.0876179
2.83383	-2.12955	-0.0882397
2.84381	-2.13017	-0.0888638
2.85379	-2.1308	-0.0894901
2.86377	-2.13143	-0.0901186
2.87374	-2.13206	-0.0907492
2.88372	-2.13269	-0.0913821
2.8937	-2.13333	-0.0920172
2.90368	-2.13396	-0.0926545
2.91365	-2.1346	-0.093294
2.92363	-2.13525	-0.0939357
2.93361	-2.13589	-0.0945796
2.94359	-2.13654	-0.0952258
2.95356	-2.13718	-0.0958741
2.96354	-2.13783	-0.0965246
2.97352	-2.13849	-0.0971774
2.9835	-2.13914	-0.0978323
2.99347	-2.1398	-0.0984895
3.00345	-2.14046	-0.0991488
3.01343	-2.14112	-0.0998104
3.02341	-2.14178	-0.100474
3.03338	-2.14245	-0.10114
3.04336	-2.14312	-0.101808
3.05334	-2.14379	-0.102479
3.06332	-2.14446	-0.103151
3.07329	-2.14514	-0.103826
3.08327	-2.14581	-0.104503
3.09325	-2.14649	-0.105182
3.10323	-2.14717	-0.105864
3.1132	-2.14786	-0.106547
3.12318	-2.14854	-0.107233
3.13316	-2.14923	-0.107921
3.14314	-2.14992	-0.108612
3.15311	-2.15061	-0.109304
3.16309	-2.15131	-0.109999
3.17307	-2.15201	-0.110696
3.18305	-2.1527	-0.111395
3.19302	-2.15341	-0.112096
3.203	-2.15411	-0.112799
3.21298	-2.15481	-0.113505
3.22296	-2.15552	-0.114213
3.23293	-2.15623	-0.114923
3.24291	-2.15695	-0.115636
3.25289	-2.15766	-0.11635
3.26287	-2.15838	-0.117067
3.27284	-2.1591	-0.117786
3.28282	-2.15982	-0.118507
3.2928	-2.16054	-0.11923
3.30278	-2.16127	-0.119956
3.31275	-2.16199	-0.120684
3.32273	-2.16272	-0.121414
3.33271	-2.16346	-0.122146
3.34269	-2.16419	-0.12288
3.35266	-2.16493	-0.123617
3.36264	-2.16567	-0.124356
3.37262	-2.16641	-0.125097
3.3826	-2.16715	-0.12584
3.39257	-2.1679	-0.126586
3.40255	-2.16864	-0.127333
3.41253	-2.16939	-0.128083
3.42251	-2.17015	-0.128836
3.43248	-2.1709	-0.12959
3.44246	-2.17166	-0.130346
3.45244	-2.17241	-0.131105
3.46242	-2.17318	-0.131866
3.47239	-2.17394	-0.132629
3.48237	-2.1747	-0.133395
3.49235	-2.17547	-0.134162
3.50233	-2.17624	-0.134932
3.5123	-2.17701	-0.135704
3.52228	-2.17779	-0.136478
3.53226	-2.17856	-0.137255
3.54224	-2.17934	-0.138034
3.55221	-2.18012	-0.138814
3.56219	-2.18091	-0.139597
