Freq_GHz	r_meas	x_meas	r_model	x_model	R_meas_ohm	X_meas_ohm	R_model_ohm	X_model_ohm
31.6021	0.221792	0.337153	0.210671	0.299267	11.0896	16.8576	10.5335	14.9633
31.8021	0.21607	0.351596	0.209066	0.305807	10.8035	17.5798	10.4533	15.2904
32.002	0.219527	0.348408	0.207493	0.312337	10.9764	17.4204	10.3746	15.6168
32.2019	0.220251	0.368652	0.205951	0.318855	11.0125	18.4326	10.2975	15.9427
32.4019	0.218491	0.374931	0.204439	0.325362	10.9245	18.7466	10.222	16.2681
32.6018	0.218306	0.383045	0.202958	0.331858	10.9153	19.1522	10.1479	16.5929
32.8018	0.217391	0.392189	0.201507	0.338343	10.8695	19.6095	10.0753	16.9171
33.0018	0.222444	0.399095	0.200084	0.344817	11.1222	19.9547	10.0042	17.2408
33.2017	0.215239	0.412716	0.198691	0.351279	10.7619	20.6358	9.93454	17.564
33.4016	0.220897	0.418475	0.197325	0.357731	11.0449	20.9237	9.86627	17.8865
33.6016	0.21262	0.426423	0.195988	0.364171	10.631	21.3211	9.79939	18.2086
33.8015	0.221985	0.437184	0.194677	0.370601	11.0993	21.8592	9.73387	18.53
34.0015	0.211861	0.441103	0.193394	0.377019	10.593	22.0552	9.6697	18.851
34.2015	0.215352	0.458459	0.192137	0.383427	10.7676	22.923	9.60685	19.1713
34.4014	0.208654	0.454919	0.190906	0.389824	10.4327	22.746	9.54529	19.4912
34.6013	0.215037	0.470016	0.1897	0.396209	10.7519	23.5008	9.48502	19.8105
34.8013	0.218321	0.47831	0.18852	0.402584	10.9161	23.9155	9.42601	20.1292
35.0012	0.211537	0.490788	0.187365	0.408948	10.5769	24.5394	9.36823	20.4474
35.2012	0.214549	0.502099	0.186233	0.415301	10.7274	25.1049	9.31167	20.7651
35.4012	0.203602	0.497033	0.185126	0.421644	10.1801	24.8517	9.25632	21.0822
35.6011	0.226264	0.512504	0.184043	0.427976	11.3132	25.6252	9.20214	21.3988
35.801	0.211703	0.522711	0.182983	0.434297	10.5852	26.1356	9.14913	21.7148
36.001	0.217607	0.543835	0.181945	0.440608	10.8804	27.1917	9.09727	22.0304
36.2009	0.215747	0.544771	0.180931	0.446908	10.7874	27.2385	9.04653	22.3454
36.4009	0.21665	0.560475	0.179938	0.453197	10.8325	28.0238	8.99691	22.6599
36.6009	0.225737	0.569744	0.178968	0.459477	11.2868	28.4872	8.94838	22.9738
36.8008	0.218985	0.582	0.178018	0.465746	10.9493	29.1	8.90092	23.2873
37.0007	0.22535	0.594329	0.177091	0.472004	11.2675	29.7165	8.85453	23.6002
37.2007	0.22248	0.598214	0.176184	0.478253	11.124	29.9107	8.80918	23.9126
37.4006	0.22453	0.611961	0.175297	0.484491	11.2265	30.598	8.76487	24.2245
37.6006	0.232089	0.618738	0.174431	0.490719	11.6045	30.9369	8.72156	24.536
37.8006	0.219764	0.633322	0.173585	0.496937	10.9882	31.6661	8.67926	24.8469
38.0005	0.230668	0.639045	0.172759	0.503145	11.5334	31.9522	8.63795	25.1573
38.2004	0.220632	0.650714	0.171952	0.509344	11.0316	32.5357	8.59761	25.4672
38.4004	0.227679	0.657815	0.171164	0.515532	11.3839	32.8908	8.55822	25.7766
38.6003	0.227994	0.661487	0.170396	0.521711	11.3997	33.0744	8.51978	26.0855
38.8003	0.228396	0.686228	0.169645	0.52788	11.4198	34.3114	8.48227	26.394
39.0003	0.232181	0.680169	0.168914	0.534039	11.609	34.0085	8.44568	26.702
39.2002	0.233778	0.713308	0.1682	0.540189	11.6889	35.6654	8.40999	27.0094
39.4001	0.237287	0.707971	0.167504	0.546329	11.8643	35.3985	8.3752	27.3165
39.6001	0.241041	0.728511	0.166826	0.55246	12.0521	36.4255	8.34129	27.623
39.8	0.240352	0.737753	0.166165	0.558582	12.0176	36.8876	8.30824	27.9291
40	0.246267	0.745039	0.165521	0.564694	12.3134	37.2519	8.27605	28.2347
