Freq_GHz	Model_dBm_5mA	Model_Norm_dB
12.2526	-7.92941	-0.623345
12.2626	-7.93049	-0.624423
12.2725	-7.93157	-0.625503
12.2825	-7.93265	-0.626584
12.2925	-7.93373	-0.627666
12.3025	-7.93482	-0.628749
12.3125	-7.9359	-0.629833
12.3224	-7.93699	-0.630918
12.3324	-7.93807	-0.632004
12.3424	-7.93916	-0.633092
12.3524	-7.94025	-0.63418
12.3623	-7.94134	-0.635269
12.3723	-7.94243	-0.63636
12.3823	-7.94352	-0.637451
12.3923	-7.94461	-0.638544
12.4023	-7.9457	-0.639638
12.4122	-7.9468	-0.640732
12.4222	-7.9479	-0.641828
12.4322	-7.94899	-0.642925
12.4422	-7.95009	-0.644023
12.4521	-7.95119	-0.645122
12.4621	-7.95229	-0.646222
12.4721	-7.95339	-0.647323
12.4821	-7.95449	-0.648425
12.492	-7.9556	-0.649528
12.502	-7.9567	-0.650633
12.512	-7.95781	-0.651738
12.522	-7.95891	-0.652845
12.532	-7.96002	-0.653952
12.5419	-7.96113	-0.655061
12.5519	-7.96224	-0.656171
12.5619	-7.96335	-0.657281
12.5719	-7.96446	-0.658393
12.5818	-7.96557	-0.659506
12.5918	-7.96669	-0.66062
12.6018	-7.9678	-0.661735
12.6118	-7.96892	-0.662851
12.6218	-7.97004	-0.663969
12.6317	-7.97115	-0.665087
12.6417	-7.97227	-0.666206
12.6517	-7.97339	-0.667327
12.6617	-7.97452	-0.668448
12.6716	-7.97564	-0.669571
12.6816	-7.97676	-0.670695
12.6916	-7.97789	-0.671819
12.7016	-7.97901	-0.672945
12.7116	-7.98014	-0.674072
12.7215	-7.98127	-0.6752
12.7315	-7.9824	-0.676329
12.7415	-7.98353	-0.677459
12.7515	-7.98466	-0.678591
12.7614	-7.98579	-0.679723
12.7714	-7.98692	-0.680856
12.7814	-7.98806	-0.681991
12.7914	-7.98919	-0.683126
12.8014	-7.99033	-0.684263
12.8113	-7.99147	-0.685401
12.8213	-7.99261	-0.68654
12.8313	-7.99375	-0.687679
12.8413	-7.99489	-0.68882
12.8512	-7.99603	-0.689963
12.8612	-7.99717	-0.691106
12.8712	-7.99832	-0.69225
12.8812	-7.99946	-0.693395
12.8911	-8.00061	-0.694542
12.9011	-8.00176	-0.695689
12.9111	-8.0029	-0.696838
12.9211	-8.00405	-0.697987
12.9311	-8.00521	-0.699138
12.941	-8.00636	-0.70029
12.951	-8.00751	-0.701443
12.961	-8.00866	-0.702597
12.971	-8.00982	-0.703752
12.9809	-8.01098	-0.704908
12.9909	-8.01213	-0.706065
13.0009	-8.01329	-0.707224
13.0109	-8.01445	-0.708383
13.0209	-8.01561	-0.709544
13.0308	-8.01677	-0.710705
13.0408	-8.01794	-0.711868
13.0508	-8.0191	-0.713032
13.0608	-8.02026	-0.714197
13.0707	-8.02143	-0.715363
13.0807	-8.0226	-0.71653
13.0907	-8.02376	-0.717698
13.1007	-8.02493	-0.718867
13.1107	-8.0261	-0.720037
13.1206	-8.02728	-0.721209
13.1306	-8.02845	-0.722381
13.1406	-8.02962	-0.723555
13.1506	-8.0308	-0.72473
13.1605	-8.03197	-0.725905
13.1705	-8.03315	-0.727082
13.1805	-8.03433	-0.72826
13.1905	-8.03551	-0.729439
13.2005	-8.03669	-0.73062
13.2104	-8.03787	-0.731801
13.2204	-8.03905	-0.732983
13.2304	-8.04023	-0.734167
13.2404	-8.04142	-0.735351
13.2503	-8.0426	-0.736537
13.2603	-8.04379	-0.737724
13.2703	-8.04498	-0.738912
13.2803	-8.04617	-0.740101
13.2902	-8.04736	-0.741291
13.3002	-8.04855	-0.742482
13.3102	-8.04974	-0.743674
13.3202	-8.05093	-0.744867
13.3302	-8.05213	-0.746062
13.3401	-8.05332	-0.747257
13.3501	-8.05452	-0.748454
13.3601	-8.05572	-0.749652
13.3701	-8.05692	-0.750851
13.38	-8.05812	-0.752051
13.39	-8.05932	-0.753252
13.4	-8.06052	-0.754454
13.41	-8.06172	-0.755657
13.42	-8.06293	-0.756861
13.4299	-8.06413	-0.758067
13.4399	-8.06534	-0.759273
13.4499	-8.06655	-0.760481
13.4599	-8.06776	-0.76169
13.4698	-8.06897	-0.7629
13.4798	-8.07018	-0.764111
13.4898	-8.07139	-0.765323
13.4998	-8.0726	-0.766536
13.5098	-8.07382	-0.76775
13.5197	-8.07503	-0.768966
13.5297	-8.07625	-0.770182
13.5397	-8.07747	-0.7714
13.5497	-8.07869	-0.772619
13.5596	-8.07991	-0.773838
13.5696	-8.08113	-0.775059
13.5796	-8.08235	-0.776281
13.5896	-8.08357	-0.777505
13.5995	-8.0848	-0.778729
13.6095	-8.08602	-0.779954
13.6195	-8.08725	-0.781181
13.6295	-8.08848	-0.782408
13.6395	-8.0897	-0.783637
13.6494	-8.09093	-0.784867
13.6594	-8.09216	-0.786098
13.6694	-8.0934	-0.78733
13.6794	-8.09463	-0.788563
13.6893	-8.09586	-0.789797
13.6993	-8.0971	-0.791032
13.7093	-8.09834	-0.792269
13.7193	-8.09957	-0.793506
13.7293	-8.10081	-0.794745
13.7392	-8.10205	-0.795985
13.7492	-8.10329	-0.797226
13.7592	-8.10454	-0.798468
13.7692	-8.10578	-0.799711
13.7791	-8.10702	-0.800955
13.7891	-8.10827	-0.802201
13.7991	-8.10951	-0.803447
13.8091	-8.11076	-0.804695
13.8191	-8.11201	-0.805944
13.829	-8.11326	-0.807193
13.839	-8.11451	-0.808444
13.849	-8.11576	-0.809696
13.859	-8.11702	-0.81095
13.8689	-8.11827	-0.812204
13.8789	-8.11953	-0.813459
13.8889	-8.12078	-0.814716
13.8989	-8.12204	-0.815973
13.9089	-8.1233	-0.817232
13.9188	-8.12456	-0.818492
13.9288	-8.12582	-0.819753
13.9388	-8.12708	-0.821015
13.9488	-8.12835	-0.822278
13.9587	-8.12961	-0.823543
13.9687	-8.13088	-0.824808
13.9787	-8.13214	-0.826075
13.9887	-8.13341	-0.827343
13.9986	-8.13468	-0.828612
14.0086	-8.13595	-0.829882
14.0186	-8.13722	-0.831153
14.0286	-8.13849	-0.832425
14.0386	-8.13977	-0.833698
14.0485	-8.14104	-0.834973
14.0585	-8.14232	-0.836248
14.0685	-8.14359	-0.837525
14.0785	-8.14487	-0.838803
14.0884	-8.14615	-0.840082
14.0984	-8.14743	-0.841362
14.1084	-8.14871	-0.842643
14.1184	-8.14999	-0.843925
14.1284	-8.15128	-0.845209
14.1383	-8.15256	-0.846493
14.1483	-8.15385	-0.847779
14.1583	-8.15513	-0.849066
14.1683	-8.15642	-0.850354
14.1782	-8.15771	-0.851643
14.1882	-8.159	-0.852933
14.1982	-8.16029	-0.854224
14.2082	-8.16158	-0.855517
14.2182	-8.16288	-0.85681
14.2281	-8.16417	-0.858105
14.2381	-8.16547	-0.859401
14.2481	-8.16677	-0.860698
14.2581	-8.16806	-0.861996
14.268	-8.16936	-0.863295
14.278	-8.17066	-0.864596
14.288	-8.17196	-0.865897
14.298	-8.17327	-0.8672
14.308	-8.17457	-0.868503
14.3179	-8.17588	-0.869808
14.3279	-8.17718	-0.871114
14.3379	-8.17849	-0.872421
14.3479	-8.1798	-0.87373
14.3578	-8.18111	-0.875039
14.3678	-8.18242	-0.87635
14.3778	-8.18373	-0.877661
14.3878	-8.18504	-0.878974
14.3977	-8.18636	-0.880288
14.4077	-8.18767	-0.881603
14.4177	-8.18899	-0.882919
14.4277	-8.1903	-0.884237
14.4377	-8.19162	-0.885555
14.4476	-8.19294	-0.886875
14.4576	-8.19426	-0.888196
14.4676	-8.19558	-0.889517
14.4776	-8.19691	-0.89084
14.4875	-8.19823	-0.892165
14.4975	-8.19956	-0.89349
14.5075	-8.20088	-0.894816
14.5175	-8.20221	-0.896144
14.5275	-8.20354	-0.897472
14.5374	-8.20487	-0.898802
14.5474	-8.2062	-0.900133
14.5574	-8.20753	-0.901465
14.5674	-8.20887	-0.902799
14.5773	-8.2102	-0.904133
14.5873	-8.21154	-0.905469
14.5973	-8.21287	-0.906805
14.6073	-8.21421	-0.908143
14.6173	-8.21555	-0.909482
14.6272	-8.21689	-0.910822
14.6372	-8.21823	-0.912163
14.6472	-8.21957	-0.913506
14.6572	-8.22092	-0.914849
14.6671	-8.22226	-0.916194
14.6771	-8.22361	-0.917539
14.6871	-8.22495	-0.918886
14.6971	-8.2263	-0.920234
14.7071	-8.22765	-0.921584
