Freq_GHz	Norm_dB_model_sat
4.41222	-0.157714
4.4222	-0.158438
4.43219	-0.159164
4.44217	-0.159891
4.45215	-0.16062
4.46213	-0.161351
4.47211	-0.162083
4.4821	-0.162817
4.49208	-0.163553
4.50206	-0.164291
4.51204	-0.16503
4.52202	-0.165771
4.53201	-0.166514
4.54199	-0.167259
4.55197	-0.168005
4.56195	-0.168753
4.57193	-0.169502
4.58192	-0.170254
4.5919	-0.171007
4.60188	-0.171762
4.61186	-0.172518
4.62184	-0.173277
4.63183	-0.174037
4.64181	-0.174799
4.65179	-0.175562
4.66177	-0.176327
4.67175	-0.177094
4.68174	-0.177863
4.69172	-0.178633
4.7017	-0.179406
4.71168	-0.180179
4.72166	-0.180955
4.73165	-0.181732
4.74163	-0.182511
4.75161	-0.183292
4.76159	-0.184075
4.77157	-0.184859
4.78156	-0.185645
4.79154	-0.186433
4.80152	-0.187222
4.8115	-0.188014
4.82148	-0.188807
4.83147	-0.189601
4.84145	-0.190398
4.85143	-0.191196
4.86141	-0.191996
4.87139	-0.192798
4.88138	-0.193601
4.89136	-0.194406
4.90134	-0.195213
4.91132	-0.196022
4.9213	-0.196832
4.93129	-0.197644
4.94127	-0.198458
4.95125	-0.199274
4.96123	-0.200091
4.97121	-0.20091
4.9812	-0.201731
4.99118	-0.202554
5.00116	-0.203378
5.01114	-0.204204
5.02112	-0.205032
5.03111	-0.205862
5.04109	-0.206693
5.05107	-0.207526
5.06105	-0.208361
5.07103	-0.209198
5.08102	-0.210036
5.091	-0.210876
5.10098	-0.211718
5.11096	-0.212562
5.12094	-0.213407
5.13093	-0.214254
5.14091	-0.215103
5.15089	-0.215954
5.16087	-0.216806
5.17085	-0.21766
5.18084	-0.218516
5.19082	-0.219374
5.2008	-0.220234
5.21078	-0.221095
5.22076	-0.221958
5.23075	-0.222823
5.24073	-0.223689
5.25071	-0.224557
5.26069	-0.225427
5.27067	-0.226299
5.28066	-0.227173
5.29064	-0.228048
5.30062	-0.228925
5.3106	-0.229804
5.32058	-0.230685
5.33057	-0.231567
5.34055	-0.232451
5.35053	-0.233337
5.36051	-0.234225
5.37049	-0.235114
5.38048	-0.236006
5.39046	-0.236899
5.40044	-0.237793
5.41042	-0.23869
5.4204	-0.239588
5.43039	-0.240488
5.44037	-0.24139
5.45035	-0.242294
5.46033	-0.243199
5.47031	-0.244107
5.4803	-0.245016
5.49028	-0.245926
5.50026	-0.246839
5.51024	-0.247753
5.52022	-0.248669
5.53021	-0.249587
5.54019	-0.250507
5.55017	-0.251428
5.56015	-0.252352
5.57013	-0.253277
5.58012	-0.254203
5.5901	-0.255132
5.60008	-0.256062
5.61006	-0.256995
5.62004	-0.257928
5.63003	-0.258864
5.64001	-0.259802
5.64999	-0.260741
5.65997	-0.261682
5.66995	-0.262625
5.67994	-0.26357
5.68992	-0.264516
5.6999	-0.265464
5.70988	-0.266414
5.71986	-0.267366
5.72985	-0.26832
5.73983	-0.269275
5.74981	-0.270232
5.75979	-0.271191
5.76977	-0.272152
5.77976	-0.273115
5.78974	-0.274079
5.79972	-0.275045
5.8097	-0.276013
5.81968	-0.276983
5.82967	-0.277955
5.83965	-0.278928
5.84963	-0.279903
5.85961	-0.28088
5.86959	-0.281859
5.87958	-0.28284
5.88956	-0.283822
5.89954	-0.284806
5.90952	-0.285792
5.9195	-0.28678
5.92949	-0.287769
5.93947	-0.288761
5.94945	-0.289754
5.95943	-0.290749
5.96941	-0.291746
5.9794	-0.292745
5.98938	-0.293745
5.99936	-0.294747
6.00934	-0.295751
6.01932	-0.296757
6.02931	-0.297765
6.03929	-0.298774
6.04927	-0.299786
6.05925	-0.300799
6.06923	-0.301814
6.07922	-0.30283
6.0892	-0.303849
6.09918	-0.304869
6.10916	-0.305892
6.11914	-0.306916
6.12913	-0.307941
6.13911	-0.308969
6.14909	-0.309998
6.15907	-0.31103
6.16905	-0.312063
6.17904	-0.313098
6.18902	-0.314134
6.199	-0.315173
6.20898	-0.316213
6.21896	-0.317256
6.22895	-0.3183
6.23893	-0.319346
6.24891	-0.320393
6.25889	-0.321443
6.26887	-0.322494
6.27886	-0.323547
6.28884	-0.324602
6.29882	-0.325659
6.3088	-0.326718
6.31878	-0.327778
6.32877	-0.32884
6.33875	-0.329905
6.34873	-0.330971
6.35871	-0.332038
6.36869	-0.333108
6.37868	-0.33418
6.38866	-0.335253
6.39864	-0.336328
6.40862	-0.337405
6.4186	-0.338484
6.42859	-0.339564
6.43857	-0.340647
6.44855	-0.341731
6.45853	-0.342817
6.46851	-0.343905
6.4785	-0.344995
6.48848	-0.346087
6.49846	-0.34718
6.50844	-0.348276
6.51842	-0.349373
6.52841	-0.350472
6.53839	-0.351573
6.54837	-0.352676
6.55835	-0.35378
6.56833	-0.354887
6.57832	-0.355995
6.5883	-0.357105
6.59828	-0.358217
6.60826	-0.359331
6.61824	-0.360447
6.62823	-0.361564
6.63821	-0.362684
6.64819	-0.363805
6.65817	-0.364928
6.66815	-0.366053
6.67814	-0.36718
6.68812	-0.368308
6.6981	-0.369439
6.70808	-0.370571
6.71806	-0.371705
6.72805	-0.372841
6.73803	-0.373979
6.74801	-0.375119
6.75799	-0.376261
6.76797	-0.377404
6.77796	-0.37855
6.78794	-0.379697
6.79792	-0.380846
6.8079	-0.381997
6.81788	-0.38315
6.82787	-0.384304
6.83785	-0.385461
6.84783	-0.386619
6.85781	-0.387779
6.86779	-0.388942
6.87778	-0.390106
6.88776	-0.391271
6.89774	-0.392439
6.90772	-0.393609
6.9177	-0.39478
6.92769	-0.395954
6.93767	-0.397129
6.94765	-0.398306
6.95763	-0.399485
6.96761	-0.400666
6.9776	-0.401848
6.98758	-0.403033
6.99756	-0.404219
7.00754	-0.405408
7.01752	-0.406598
7.02751	-0.40779
7.03749	-0.408984
7.04747	-0.41018
7.05745	-0.411378
7.06743	-0.412577
7.07742	-0.413779
7.0874	-0.414982
7.09738	-0.416187
7.10736	-0.417394
7.11734	-0.418603
7.12733	-0.419814
7.13731	-0.421027
7.14729	-0.422242
7.15727	-0.423458
7.16725	-0.424677
7.17724	-0.425897
7.18722	-0.427119
7.1972	-0.428343
7.20718	-0.429569
7.21716	-0.430797
7.22715	-0.432027
7.23713	-0.433258
7.24711	-0.434492
7.25709	-0.435727
7.26707	-0.436965
7.27706	-0.438204
7.28704	-0.439445
7.29702	-0.440688
7.307	-0.441933
7.31698	-0.44318
7.32697	-0.444428
7.33695	-0.445679
7.34693	-0.446931
7.35691	-0.448186
7.36689	-0.449442
7.37688	-0.4507
7.38686	-0.45196
7.39684	-0.453222
7.40682	-0.454486
7.4168	-0.455752
7.42679	-0.45702
7.43677	-0.458289
7.44675	-0.459561
7.45673	-0.460834
7.46671	-0.46211
7.4767	-0.463387
7.48668	-0.464666
7.49666	-0.465947
7.50664	-0.46723
7.51662	-0.468515
7.52661	-0.469802
7.53659	-0.47109
7.54657	-0.472381
7.55655	-0.473673
7.56653	-0.474968
7.57652	-0.476264
7.5865	-0.477562
7.59648	-0.478863
7.60646	-0.480165
7.61644	-0.481469
7.62643	-0.482775
7.63641	-0.484082
7.64639	-0.485392
7.65637	-0.486704
7.66635	-0.488017
7.67634	-0.489333
7.68632	-0.49065
7.6963	-0.49197
7.70628	-0.493291
7.71626	-0.494614
7.72625	-0.495939
7.73623	-0.497266
7.74621	-0.498595
7.75619	-0.499926
7.76617	-0.501259
7.77616	-0.502594
7.78614	-0.50393
7.79612	-0.505269
7.8061	-0.50661
7.81608	-0.507952
7.82607	-0.509297
7.83605	-0.510643
7.84603	-0.511991
7.85601	-0.513341
7.86599	-0.514693
7.87598	-0.516048
7.88596	-0.517404
7.89594	-0.518761
7.90592	-0.520121
7.9159	-0.521483
7.92589	-0.522847
7.93587	-0.524213
7.94585	-0.52558
7.95583	-0.52695
7.96581	-0.528321
7.9758	-0.529695
7.98578	-0.53107
7.99576	-0.532447
8.00574	-0.533827
8.01572	-0.535208
8.02571	-0.536591
8.03569	-0.537976
8.04567	-0.539363
8.05565	-0.540752
8.06563	-0.542143
8.07562	-0.543536
8.0856	-0.544931
8.09558	-0.546328
8.10556	-0.547726
8.11554	-0.549127
8.12553	-0.55053
8.13551	-0.551934
8.14549	-0.553341
8.15547	-0.554749
8.16545	-0.55616
8.17544	-0.557572
8.18542	-0.558987
8.1954	-0.560403
8.20538	-0.561821
8.21536	-0.563241
8.22535	-0.564664
8.23533	-0.566088
8.24531	-0.567514
8.25529	-0.568942
8.26527	-0.570372
8.27526	-0.571804
8.28524	-0.573238
8.29522	-0.574674
8.3052	-0.576112
8.31518	-0.577551
8.32517	-0.578993
8.33515	-0.580437
8.34513	-0.581883
8.35511	-0.58333
8.36509	-0.58478
8.37508	-0.586232
8.38506	-0.587685
8.39504	-0.589141
8.40502	-0.590598
8.415	-0.592058
8.42498	-0.593519
8.43497	-0.594983
8.44495	-0.596448
8.45493	-0.597916
8.46491	-0.599385
8.47489	-0.600856
8.48488	-0.60233
8.49486	-0.603805
8.50484	-0.605282
8.51482	-0.606762
8.5248	-0.608243
8.53479	-0.609726
8.54477	-0.611211
8.55475	-0.612698
8.56473	-0.614188
8.57471	-0.615679
8.5847	-0.617172
8.59468	-0.618667
8.60466	-0.620164
8.61464	-0.621663
8.62462	-0.623164
8.63461	-0.624667
8.64459	-0.626172
8.65457	-0.627679
8.66455	-0.629188
8.67453	-0.630699
8.68452	-0.632212
8.6945	-0.633727
8.70448	-0.635244
8.71446	-0.636763
8.72444	-0.638284
8.73443	-0.639807
8.74441	-0.641332
8.75439	-0.642858
8.76437	-0.644387
8.77435	-0.645918
8.78434	-0.647451
8.79432	-0.648986
8.8043	-0.650523
8.81428	-0.652062
8.82426	-0.653603
8.83425	-0.655146
8.84423	-0.65669
8.85421	-0.658237
8.86419	-0.659786
8.87417	-0.661337
8.88416	-0.66289
8.89414	-0.664445
8.90412	-0.666002
8.9141	-0.66756
8.92408	-0.669121
8.93407	-0.670684
8.94405	-0.672249
8.95403	-0.673816
8.96401	-0.675385
8.97399	-0.676956
8.98398	-0.678529
8.99396	-0.680104
9.00394	-0.681681
9.01392	-0.68326
9.0239	-0.684841
9.03389	-0.686423
9.04387	-0.688008
9.05385	-0.689595
9.06383	-0.691184
9.07381	-0.692775
9.0838	-0.694369
9.09378	-0.695964
9.10376	-0.697561
9.11374	-0.69916
9.12372	-0.700761
9.13371	-0.702364
9.14369	-0.703969
9.15367	-0.705576
9.16365	-0.707185
9.17363	-0.708797
9.18362	-0.71041
9.1936	-0.712025
9.20358	-0.713642
9.21356	-0.715262
9.22354	-0.716883
9.23353	-0.718506
9.24351	-0.720132
9.25349	-0.721759
9.26347	-0.723388
9.27345	-0.72502
9.28344	-0.726653
9.29342	-0.728289
9.3034	-0.729926
9.31338	-0.731566
9.32336	-0.733207
9.33335	-0.734851
9.34333	-0.736497
9.35331	-0.738144
9.36329	-0.739794
9.37327	-0.741446
9.38326	-0.743099
9.39324	-0.744755
9.40322	-0.746413
9.4132	-0.748073
9.42318	-0.749735
9.43317	-0.751399
9.44315	-0.753065
9.45313	-0.754733
9.46311	-0.756403
9.47309	-0.758075
9.48308	-0.759749
9.49306	-0.761425
9.50304	-0.763103
9.51302	-0.764784
9.523	-0.766466
9.53299	-0.76815
9.54297	-0.769837
9.55295	-0.771525
9.56293	-0.773215
9.57291	-0.774908
9.5829	-0.776603
9.59288	-0.778299
9.60286	-0.779998
9.61284	-0.781698
9.62282	-0.783401
9.63281	-0.785106
9.64279	-0.786813
9.65277	-0.788522
9.66275	-0.790233
9.67273	-0.791946
9.68272	-0.793661
9.6927	-0.795378
9.70268	-0.797097
9.71266	-0.798818
9.72264	-0.800542
9.73263	-0.802267
9.74261	-0.803994
9.75259	-0.805724
9.76257	-0.807455
9.77255	-0.809189
9.78254	-0.810924
9.79252	-0.812662
9.8025	-0.814402
9.81248	-0.816143
9.82246	-0.817887
9.83245	-0.819633
9.84243	-0.821381
9.85241	-0.823131
9.86239	-0.824883
9.87237	-0.826637
9.88236	-0.828394
9.89234	-0.830152
9.90232	-0.831912
9.9123	-0.833675
9.92228	-0.835439
9.93227	-0.837206
9.94225	-0.838974
9.95223	-0.840745
9.96221	-0.842518
9.97219	-0.844292
9.98218	-0.846069
9.99216	-0.847848
10.0021	-0.849629
10.0121	-0.851412
10.0221	-0.853198
10.0321	-0.854985
10.0421	-0.856774
10.0521	-0.858566
10.062	-0.860359
10.072	-0.862155
10.082	-0.863952
10.092	-0.865752
10.102	-0.867554
10.1119	-0.869358
10.1219	-0.871163
10.1319	-0.872971
10.1419	-0.874782
10.1519	-0.876594
10.1619	-0.878408
10.1718	-0.880224
10.1818	-0.882043
10.1918	-0.883863
10.2018	-0.885686
10.2118	-0.88751
10.2217	-0.889337
10.2317	-0.891166
10.2417	-0.892997
10.2517	-0.89483
10.2617	-0.896665
10.2717	-0.898502
10.2816	-0.900341
10.2916	-0.902183
10.3016	-0.904026
10.3116	-0.905871
10.3216	-0.907719
10.3315	-0.909569
10.3415	-0.911421
10.3515	-0.913274
10.3615	-0.91513
10.3715	-0.916988
10.3815	-0.918849
10.3914	-0.920711
10.4014	-0.922575
10.4114	-0.924442
10.4214	-0.92631
10.4314	-0.928181
10.4413	-0.930053
10.4513	-0.931928
10.4613	-0.933805
10.4713	-0.935684
10.4813	-0.937565
10.4913	-0.939448
10.5012	-0.941334
10.5112	-0.943221
10.5212	-0.945111
10.5312	-0.947002
10.5412	-0.948896
10.5512	-0.950792
10.5611	-0.95269
10.5711	-0.95459
10.5811	-0.956492
10.5911	-0.958396
10.6011	-0.960302
10.611	-0.962211
10.621	-0.964121
10.631	-0.966034
10.641	-0.967949
10.651	-0.969865
10.661	-0.971784
10.6709	-0.973705
10.6809	-0.975629
10.6909	-0.977554
10.7009	-0.979481
10.7109	-0.981411
10.7208	-0.983342
10.7308	-0.985276
10.7408	-0.987212
10.7508	-0.98915
10.7608	-0.99109
10.7708	-0.993032
10.7807	-0.994976
10.7907	-0.996923
10.8007	-0.998871
10.8107	-1.00082
10.8207	-1.00277
10.8306	-1.00473
10.8406	-1.00669
10.8506	-1.00865
10.8606	-1.01061
10.8706	-1.01257
10.8806	-1.01454
10.8905	-1.0165
10.9005	-1.01847
10.9105	-1.02044
10.9205	-1.02242
10.9305	-1.02439
10.9404	-1.02637
10.9504	-1.02835
10.9604	-1.03034
10.9704	-1.03232
10.9804	-1.03431
10.9904	-1.0363
11.0003	-1.03829
11.0103	-1.04028
11.0203	-1.04227
11.0303	-1.04427
11.0403	-1.04627
11.0503	-1.04827
11.0602	-1.05028
11.0702	-1.05228
11.0802	-1.05429
11.0902	-1.0563
11.1002	-1.05831
11.1101	-1.06033
11.1201	-1.06234
11.1301	-1.06436
11.1401	-1.06638
11.1501	-1.06841
11.1601	-1.07043
11.17	-1.07246
11.18	-1.07449
11.19	-1.07652
11.2	-1.07855
11.21	-1.08059
11.2199	-1.08262
11.2299	-1.08466
11.2399	-1.08671
11.2499	-1.08875
11.2599	-1.0908
11.2699	-1.09285
11.2798	-1.0949
11.2898	-1.09695
11.2998	-1.099
11.3098	-1.10106
11.3198	-1.10312
11.3297	-1.10518
11.3397	-1.10724
11.3497	-1.10931
11.3597	-1.11138
11.3697	-1.11345
11.3797	-1.11552
11.3896	-1.11759
11.3996	-1.11967
11.4096	-1.12175
11.4196	-1.12383
11.4296	-1.12591
11.4395	-1.128
11.4495	-1.13008
11.4595	-1.13217
11.4695	-1.13426
11.4795	-1.13636
11.4895	-1.13845
11.4994	-1.14055
11.5094	-1.14265
11.5194	-1.14475
11.5294	-1.14686
11.5394	-1.14896
11.5493	-1.15107
11.5593	-1.15318
11.5693	-1.1553
11.5793	-1.15741
11.5893	-1.15953
11.5993	-1.16165
11.6092	-1.16377
11.6192	-1.16589
11.6292	-1.16802
11.6392	-1.17014
11.6492	-1.17227
11.6592	-1.17441
11.6691	-1.17654
11.6791	-1.17868
11.6891	-1.18082
11.6991	-1.18296
11.7091	-1.1851
11.719	-1.18725
11.729	-1.18939
11.739	-1.19154
11.749	-1.19369
11.759	-1.19585
11.769	-1.198
11.7789	-1.20016
11.7889	-1.20232
11.7989	-1.20448
11.8089	-1.20665
11.8189	-1.20881
11.8288	-1.21098
11.8388	-1.21315
11.8488	-1.21533
11.8588	-1.2175
11.8688	-1.21968
11.8788	-1.22186
11.8887	-1.22404
11.8987	-1.22623
11.9087	-1.22841
11.9187	-1.2306
11.9287	-1.23279
11.9386	-1.23498
11.9486	-1.23718
11.9586	-1.23938
11.9686	-1.24157
11.9786	-1.24378
11.9886	-1.24598
11.9985	-1.24818
12.0085	-1.25039
12.0185	-1.2526
12.0285	-1.25481
12.0385	-1.25703
12.0484	-1.25925
12.0584	-1.26146
12.0684	-1.26368
12.0784	-1.26591
12.0884	-1.26813
12.0984	-1.27036
12.1083	-1.27259
12.1183	-1.27482
12.1283	-1.27705
12.1383	-1.27929
12.1483	-1.28153
12.1583	-1.28377
12.1682	-1.28601
12.1782	-1.28826
12.1882	-1.2905
12.1982	-1.29275
12.2082	-1.295
12.2181	-1.29726
12.2281	-1.29951
12.2381	-1.30177
12.2481	-1.30403
12.2581	-1.30629
12.2681	-1.30856
12.278	-1.31082
12.288	-1.31309
12.298	-1.31536
12.308	-1.31764
12.318	-1.31991
12.3279	-1.32219
12.3379	-1.32447
12.3479	-1.32675
12.3579	-1.32903
12.3679	-1.33132
12.3779	-1.33361
12.3878	-1.3359
12.3978	-1.33819
12.4078	-1.34048
12.4178	-1.34278
12.4278	-1.34508
12.4377	-1.34738
12.4477	-1.34969
12.4577	-1.35199
12.4677	-1.3543
12.4777	-1.35661
