Freq_GHz	Norm_dB_model_sat
6.10916	-0.259093
6.11914	-0.259956
6.12913	-0.260821
6.13911	-0.261687
6.14909	-0.262555
6.15907	-0.263425
6.16905	-0.264295
6.17904	-0.265168
6.18902	-0.266042
6.199	-0.266917
6.20898	-0.267794
6.21896	-0.268673
6.22895	-0.269553
6.23893	-0.270434
6.24891	-0.271317
6.25889	-0.272202
6.26887	-0.273088
6.27886	-0.273975
6.28884	-0.274864
6.29882	-0.275755
6.3088	-0.276647
6.31878	-0.27754
6.32877	-0.278436
6.33875	-0.279332
6.34873	-0.28023
6.35871	-0.28113
6.36869	-0.282031
6.37868	-0.282934
6.38866	-0.283838
6.39864	-0.284744
6.40862	-0.285651
6.4186	-0.28656
6.42859	-0.28747
6.43857	-0.288382
6.44855	-0.289296
6.45853	-0.290211
6.46851	-0.291127
6.4785	-0.292045
6.48848	-0.292965
6.49846	-0.293886
6.50844	-0.294808
6.51842	-0.295732
6.52841	-0.296658
6.53839	-0.297585
6.54837	-0.298514
6.55835	-0.299444
6.56833	-0.300375
6.57832	-0.301309
6.5883	-0.302244
6.59828	-0.30318
6.60826	-0.304118
6.61824	-0.305057
6.62823	-0.305998
6.63821	-0.30694
6.64819	-0.307884
6.65817	-0.30883
6.66815	-0.309777
6.67814	-0.310725
6.68812	-0.311676
6.6981	-0.312627
6.70808	-0.31358
6.71806	-0.314535
6.72805	-0.315491
6.73803	-0.316449
6.74801	-0.317409
6.75799	-0.318369
6.76797	-0.319332
6.77796	-0.320296
6.78794	-0.321261
6.79792	-0.322228
6.8079	-0.323197
6.81788	-0.324167
6.82787	-0.325139
6.83785	-0.326112
6.84783	-0.327087
6.85781	-0.328063
6.86779	-0.329041
6.87778	-0.33002
6.88776	-0.331001
6.89774	-0.331984
6.90772	-0.332968
6.9177	-0.333953
6.92769	-0.33494
6.93767	-0.335929
6.94765	-0.336919
6.95763	-0.337911
6.96761	-0.338904
6.9776	-0.339899
6.98758	-0.340896
6.99756	-0.341894
7.00754	-0.342893
7.01752	-0.343894
7.02751	-0.344897
7.03749	-0.345901
7.04747	-0.346907
7.05745	-0.347914
7.06743	-0.348923
7.07742	-0.349933
7.0874	-0.350945
7.09738	-0.351959
7.10736	-0.352974
7.11734	-0.35399
7.12733	-0.355008
7.13731	-0.356028
7.14729	-0.357049
7.15727	-0.358072
7.16725	-0.359097
7.17724	-0.360123
7.18722	-0.36115
7.1972	-0.362179
7.20718	-0.36321
7.21716	-0.364242
7.22715	-0.365276
7.23713	-0.366311
7.24711	-0.367348
7.25709	-0.368386
7.26707	-0.369426
7.27706	-0.370468
7.28704	-0.371511
7.29702	-0.372556
7.307	-0.373602
7.31698	-0.37465
7.32697	-0.375699
7.33695	-0.37675
7.34693	-0.377803
7.35691	-0.378857
7.36689	-0.379913
7.37688	-0.38097
7.38686	-0.382029
7.39684	-0.383089
7.40682	-0.384151
7.4168	-0.385215
7.42679	-0.38628
7.43677	-0.387347
7.44675	-0.388415
7.45673	-0.389485
7.46671	-0.390556
7.4767	-0.391629
7.48668	-0.392704
7.49666	-0.39378
7.50664	-0.394857
7.51662	-0.395937
7.52661	-0.397017
7.53659	-0.3981
7.54657	-0.399184
7.55655	-0.400269
7.56653	-0.401357
7.57652	-0.402445
7.5865	-0.403536
7.59648	-0.404628
7.60646	-0.405721
7.61644	-0.406816
7.62643	-0.407913
7.63641	-0.409011
7.64639	-0.410111
7.65637	-0.411212
7.66635	-0.412315
7.67634	-0.41342
7.68632	-0.414526
7.6963	-0.415634
7.70628	-0.416743
7.71626	-0.417854
7.72625	-0.418967
7.73623	-0.420081
7.74621	-0.421196
7.75619	-0.422314
7.76617	-0.423432
7.77616	-0.424553
7.78614	-0.425675
7.79612	-0.426799
7.8061	-0.427924
7.81608	-0.429051
7.82607	-0.430179
7.83605	-0.431309
7.84603	-0.432441
7.85601	-0.433574
7.86599	-0.434708
7.87598	-0.435845
7.88596	-0.436983
7.89594	-0.438122
7.90592	-0.439264
7.9159	-0.440406
7.92589	-0.441551
7.93587	-0.442697
7.94585	-0.443844
7.95583	-0.444993
7.96581	-0.446144
7.9758	-0.447296
7.98578	-0.44845
7.99576	-0.449606
8.00574	-0.450763
8.01572	-0.451922
8.02571	-0.453082
8.03569	-0.454244
8.04567	-0.455408
8.05565	-0.456573
8.06563	-0.45774
8.07562	-0.458908
8.0856	-0.460078
8.09558	-0.461249
8.10556	-0.462423
8.11554	-0.463597
8.12553	-0.464774
8.13551	-0.465952
8.14549	-0.467131
8.15547	-0.468313
8.16545	-0.469496
8.17544	-0.47068
8.18542	-0.471866
8.1954	-0.473054
8.20538	-0.474243
8.21536	-0.475434
8.22535	-0.476626
8.23533	-0.477821
8.24531	-0.479016
8.25529	-0.480214
8.26527	-0.481413
8.27526	-0.482613
8.28524	-0.483815
8.29522	-0.485019
8.3052	-0.486225
8.31518	-0.487432
8.32517	-0.48864
8.33515	-0.489851
8.34513	-0.491063
8.35511	-0.492276
8.36509	-0.493491
8.37508	-0.494708
8.38506	-0.495926
8.39504	-0.497146
8.40502	-0.498368
8.415	-0.499591
8.42498	-0.500816
8.43497	-0.502043
8.44495	-0.503271
8.45493	-0.5045
8.46491	-0.505732
8.47489	-0.506965
8.48488	-0.508199
8.49486	-0.509436
8.50484	-0.510674
8.51482	-0.511913
8.5248	-0.513154
8.53479	-0.514397
8.54477	-0.515641
8.55475	-0.516887
8.56473	-0.518135
8.57471	-0.519384
8.5847	-0.520635
8.59468	-0.521888
8.60466	-0.523142
8.61464	-0.524398
8.62462	-0.525655
8.63461	-0.526914
8.64459	-0.528175
8.65457	-0.529437
8.66455	-0.530701
8.67453	-0.531967
8.68452	-0.533234
8.6945	-0.534503
8.70448	-0.535774
8.71446	-0.537046
8.72444	-0.53832
8.73443	-0.539595
