Freq_GHz	Norm_dB_model_vE
3.9231	-0.106101
3.93309	-0.106646
3.94307	-0.107193
3.95305	-0.107741
3.96303	-0.10829
3.97301	-0.108841
3.983	-0.109393
3.99298	-0.109947
4.00296	-0.110502
4.01294	-0.111059
4.02292	-0.111617
4.03291	-0.112176
4.04289	-0.112737
4.05287	-0.1133
4.06285	-0.113863
4.07283	-0.114429
4.08282	-0.114995
4.0928	-0.115563
4.10278	-0.116133
4.11276	-0.116704
4.12274	-0.117276
4.13273	-0.11785
4.14271	-0.118425
4.15269	-0.119002
4.16267	-0.11958
4.17265	-0.12016
4.18264	-0.120741
4.19262	-0.121323
4.2026	-0.121907
4.21258	-0.122492
4.22256	-0.123079
4.23255	-0.123667
4.24253	-0.124257
4.25251	-0.124848
4.26249	-0.12544
4.27247	-0.126034
4.28246	-0.126629
4.29244	-0.127226
4.30242	-0.127825
4.3124	-0.128424
4.32238	-0.129025
4.33237	-0.129628
4.34235	-0.130232
4.35233	-0.130838
4.36231	-0.131444
4.37229	-0.132053
4.38228	-0.132663
4.39226	-0.133274
4.40224	-0.133887
4.41222	-0.134501
4.4222	-0.135116
4.43219	-0.135733
4.44217	-0.136352
4.45215	-0.136972
4.46213	-0.137593
4.47211	-0.138216
4.4821	-0.13884
4.49208	-0.139466
4.50206	-0.140093
4.51204	-0.140722
4.52202	-0.141352
4.53201	-0.141983
4.54199	-0.142616
4.55197	-0.143251
4.56195	-0.143886
4.57193	-0.144524
4.58192	-0.145163
4.5919	-0.145803
4.60188	-0.146444
4.61186	-0.147088
4.62184	-0.147732
4.63183	-0.148378
4.64181	-0.149026
4.65179	-0.149675
4.66177	-0.150325
4.67175	-0.150977
4.68174	-0.15163
4.69172	-0.152285
4.7017	-0.152941
4.71168	-0.153599
4.72166	-0.154258
4.73165	-0.154918
4.74163	-0.155581
4.75161	-0.156244
4.76159	-0.156909
4.77157	-0.157575
4.78156	-0.158243
4.79154	-0.158913
4.80152	-0.159583
4.8115	-0.160256
4.82148	-0.160929
4.83147	-0.161605
4.84145	-0.162281
4.85143	-0.162959
4.86141	-0.163639
4.87139	-0.16432
4.88138	-0.165002
4.89136	-0.165686
4.90134	-0.166372
4.91132	-0.167059
4.9213	-0.167747
4.93129	-0.168437
4.94127	-0.169128
4.95125	-0.169821
4.96123	-0.170515
4.97121	-0.171211
4.9812	-0.171908
4.99118	-0.172606
5.00116	-0.173306
5.01114	-0.174008
5.02112	-0.174711
5.03111	-0.175415
5.04109	-0.176121
5.05107	-0.176829
5.06105	-0.177538
5.07103	-0.178248
5.08102	-0.17896
5.091	-0.179673
5.10098	-0.180388
5.11096	-0.181104
5.12094	-0.181822
5.13093	-0.182541
5.14091	-0.183262
5.15089	-0.183984
5.16087	-0.184707
5.17085	-0.185433
5.18084	-0.186159
5.19082	-0.186887
5.2008	-0.187617
5.21078	-0.188348
5.22076	-0.18908
5.23075	-0.189814
5.24073	-0.190549
5.25071	-0.191286
5.26069	-0.192025
5.27067	-0.192764
5.28066	-0.193506
5.29064	-0.194249
5.30062	-0.194993
5.3106	-0.195739
5.32058	-0.196486
5.33057	-0.197235
5.34055	-0.197985
5.35053	-0.198737
5.36051	-0.19949
5.37049	-0.200244
5.38048	-0.201
5.39046	-0.201758
5.40044	-0.202517
5.41042	-0.203278
5.4204	-0.20404
5.43039	-0.204803
5.44037	-0.205568
5.45035	-0.206335
5.46033	-0.207103
5.47031	-0.207873
5.4803	-0.208644
5.49028	-0.209416
5.50026	-0.21019
5.51024	-0.210965
5.52022	-0.211742
5.53021	-0.212521
5.54019	-0.213301
5.55017	-0.214082
5.56015	-0.214865
5.57013	-0.215649
5.58012	-0.216435
5.5901	-0.217223
5.60008	-0.218012
5.61006	-0.218802
5.62004	-0.219594
5.63003	-0.220387
5.64001	-0.221182
5.64999	-0.221978
5.65997	-0.222776
5.66995	-0.223575
5.67994	-0.224376
5.68992	-0.225179
5.6999	-0.225982
5.70988	-0.226788
5.71986	-0.227595
5.72985	-0.228403
5.73983	-0.229213
5.74981	-0.230024
5.75979	-0.230837
5.76977	-0.231651
5.77976	-0.232467
5.78974	-0.233284
5.79972	-0.234103
5.8097	-0.234923
5.81968	-0.235745
5.82967	-0.236568
5.83965	-0.237393
5.84963	-0.238219
5.85961	-0.239047
5.86959	-0.239877
5.87958	-0.240707
5.88956	-0.24154
5.89954	-0.242374
5.90952	-0.243209
5.9195	-0.244046
5.92949	-0.244884
5.93947	-0.245724
5.94945	-0.246565
5.95943	-0.247408
5.96941	-0.248253
5.9794	-0.249099
5.98938	-0.249946
5.99936	-0.250795
6.00934	-0.251645
6.01932	-0.252497
6.02931	-0.253351
6.03929	-0.254206
6.04927	-0.255062
6.05925	-0.25592
6.06923	-0.25678
6.07922	-0.257641
6.0892	-0.258503
6.09918	-0.259367
6.10916	-0.260233
6.11914	-0.2611
6.12913	-0.261968
6.13911	-0.262839
6.14909	-0.26371
6.15907	-0.264583
6.16905	-0.265458
6.17904	-0.266334
6.18902	-0.267212
6.199	-0.268091
6.20898	-0.268972
6.21896	-0.269854
6.22895	-0.270738
6.23893	-0.271623
6.24891	-0.27251
6.25889	-0.273398
6.26887	-0.274288
6.27886	-0.275179
6.28884	-0.276072
6.29882	-0.276967
6.3088	-0.277863
6.31878	-0.27876
6.32877	-0.279659
6.33875	-0.28056
6.34873	-0.281462
6.35871	-0.282365
6.36869	-0.28327
6.37868	-0.284177
6.38866	-0.285085
6.39864	-0.285995
6.40862	-0.286906
6.4186	-0.287819
6.42859	-0.288733
6.43857	-0.289649
6.44855	-0.290566
6.45853	-0.291485
6.46851	-0.292405
6.4785	-0.293327
6.48848	-0.294251
6.49846	-0.295176
6.50844	-0.296102
6.51842	-0.29703
6.52841	-0.29796
6.53839	-0.298891
6.54837	-0.299824
6.55835	-0.300758
6.56833	-0.301694
6.57832	-0.302631
6.5883	-0.30357
6.59828	-0.30451
