Freq_GHz	Norm_dB_model_vE
9.90232	-0.834919
9.9123	-0.836688
9.92228	-0.838458
9.93227	-0.840231
9.94225	-0.842006
9.95223	-0.843783
9.96221	-0.845562
9.97219	-0.847343
9.98218	-0.849126
9.99216	-0.850911
10.0021	-0.852698
10.0121	-0.854487
10.0221	-0.856278
10.0321	-0.858072
10.0421	-0.859867
10.0521	-0.861665
10.062	-0.863465
10.072	-0.865266
10.082	-0.86707
10.092	-0.868876
10.102	-0.870684
10.1119	-0.872494
10.1219	-0.874306
10.1319	-0.876121
10.1419	-0.877937
10.1519	-0.879755
10.1619	-0.881576
10.1718	-0.883398
10.1818	-0.885223
10.1918	-0.88705
10.2018	-0.888879
10.2118	-0.89071
10.2217	-0.892543
10.2317	-0.894378
10.2417	-0.896215
10.2517	-0.898054
10.2617	-0.899896
10.2717	-0.901739
10.2816	-0.903585
10.2916	-0.905433
10.3016	-0.907282
10.3116	-0.909134
10.3216	-0.910988
10.3315	-0.912844
10.3415	-0.914702
10.3515	-0.916563
10.3615	-0.918425
10.3715	-0.920289
10.3815	-0.922156
10.3914	-0.924025
10.4014	-0.925895
10.4114	-0.927768
10.4214	-0.929643
10.4314	-0.93152
10.4413	-0.933399
10.4513	-0.935281
10.4613	-0.937164
10.4713	-0.939049
10.4813	-0.940937
10.4913	-0.942827
10.5012	-0.944718
10.5112	-0.946612
10.5212	-0.948508
10.5312	-0.950406
10.5412	-0.952307
10.5512	-0.954209
10.5611	-0.956113
10.5711	-0.95802
10.5811	-0.959928
10.5911	-0.961839
10.6011	-0.963752
10.611	-0.965667
10.621	-0.967584
10.631	-0.969503
10.641	-0.971425
10.651	-0.973348
10.661	-0.975274
10.6709	-0.977201
10.6809	-0.979131
10.6909	-0.981063
10.7009	-0.982997
10.7109	-0.984933
10.7208	-0.986871
10.7308	-0.988812
10.7408	-0.990754
10.7508	-0.992699
10.7608	-0.994645
10.7708	-0.996594
10.7807	-0.998545
10.7907	-1.0005
10.8007	-1.00245
10.8107	-1.00441
10.8207	-1.00637
10.8306	-1.00833
10.8406	-1.0103
10.8506	-1.01226
10.8606	-1.01423
10.8706	-1.0162
10.8806	-1.01817
10.8905	-1.02015
10.9005	-1.02212
10.9105	-1.0241
10.9205	-1.02608
10.9305	-1.02806
10.9404	-1.03005
10.9504	-1.03204
10.9604	-1.03402
10.9704	-1.03602
10.9804	-1.03801
10.9904	-1.04001
11.0003	-1.042
11.0103	-1.044
11.0203	-1.046
11.0303	-1.04801
11.0403	-1.05002
11.0503	-1.05202
11.0602	-1.05403
11.0702	-1.05605
11.0802	-1.05806
11.0902	-1.06008
11.1002	-1.0621
11.1101	-1.06412
11.1201	-1.06614
11.1301	-1.06817
11.1401	-1.07019
11.1501	-1.07222
11.1601	-1.07426
11.17	-1.07629
11.18	-1.07833
11.19	-1.08036
11.2	-1.08241
11.21	-1.08445
11.2199	-1.08649
11.2299	-1.08854
11.2399	-1.09059
11.2499	-1.09264
11.2599	-1.09469
11.2699	-1.09675
11.2798	-1.09881
11.2898	-1.10087
11.2998	-1.10293
11.3098	-1.10499
11.3198	-1.10706
11.3297	-1.10913
11.3397	-1.1112
11.3497	-1.11327
11.3597	-1.11534
11.3697	-1.11742
11.3797	-1.1195
11.3896	-1.12158
11.3996	-1.12366
11.4096	-1.12575
11.4196	-1.12784
11.4296	-1.12993
11.4395	-1.13202
11.4495	-1.13411
11.4595	-1.13621
11.4695	-1.13831
11.4795	-1.14041
11.4895	-1.14251
11.4994	-1.14462
11.5094	-1.14672
11.5194	-1.14883
11.5294	-1.15094
11.5394	-1.15306
11.5493	-1.15517
11.5593	-1.15729
11.5693	-1.15941
11.5793	-1.16153
11.5893	-1.16366
11.5993	-1.16578
11.6092	-1.16791
11.6192	-1.17004
11.6292	-1.17217
11.6392	-1.17431
11.6492	-1.17645
11.6592	-1.17859
11.6691	-1.18073
11.6791	-1.18287
11.6891	-1.18502
11.6991	-1.18717
11.7091	-1.18932
11.719	-1.19147
11.729	-1.19362
11.739	-1.19578
11.749	-1.19794
11.759	-1.2001
11.769	-1.20226
11.7789	-1.20443
11.7889	-1.20659
11.7989	-1.20876
11.8089	-1.21094
11.8189	-1.21311
11.8288	-1.21529
11.8388	-1.21746
11.8488	-1.21965
11.8588	-1.22183
11.8688	-1.22401
11.8788	-1.2262
11.8887	-1.22839
11.8987	-1.23058
11.9087	-1.23277
11.9187	-1.23497
11.9287	-1.23717
11.9386	-1.23937
11.9486	-1.24157
11.9586	-1.24377
11.9686	-1.24598
11.9786	-1.24819
11.9886	-1.2504
11.9985	-1.25261
12.0085	-1.25483
12.0185	-1.25705
12.0285	-1.25927
12.0385	-1.26149
12.0484	-1.26371
12.0584	-1.26594
12.0684	-1.26817
12.0784	-1.2704
12.0884	-1.27263
12.0984	-1.27486
12.1083	-1.2771
12.1183	-1.27934
12.1283	-1.28158
12.1383	-1.28382
12.1483	-1.28607
12.1583	-1.28832
12.1682	-1.29057
12.1782	-1.29282
12.1882	-1.29507
12.1982	-1.29733
12.2082	-1.29959
12.2181	-1.30185
12.2281	-1.30411
12.2381	-1.30638
12.2481	-1.30865
12.2581	-1.31092
12.2681	-1.31319
12.278	-1.31546
12.288	-1.31774
12.298	-1.32002
12.308	-1.3223
12.318	-1.32458
12.3279	-1.32687
12.3379	-1.32915
12.3479	-1.33144
12.3579	-1.33373
12.3679	-1.33603
12.3779	-1.33832
12.3878	-1.34062
12.3978	-1.34292
12.4078	-1.34522
12.4178	-1.34753
12.4278	-1.34984
12.4377	-1.35214
12.4477	-1.35446
12.4577	-1.35677
