

z(m), Y
1.10158e-06, 2538.12
1.11078e-06, 5425.35
1.1114e-06, 5792.24
1.1197e-06, 16255.3
1.12039e-06, 18012.3
1.12443e-06, 34023
1.12905e-06, 52939.1
1.12976e-06, 61705
1.13121e-06, 98958.4
1.13831e-06, 207999
1.14229e-06, 480798
1.14966e-06, 750810
1.16e-06, 1.07103e+06
1.16985e-06, 616349
1.1743e-06, 286078
1.17997e-06, 93716.2
1.18449e-06, 30805.8
1.19076e-06, 9363.39
1.19282e-06, 5032.26
1.19521e-06, 3799.99
1.20082e-06, 915.112
1.20565e-06, 523.828
1.20941e-06, 189.309
1.2181e-06, 44.1047
1.21863e-06, 35.1841
1.21959e-06, 33.5147
1.22812e-06, 13.9948
1.23424e-06, 12.0822
1.23767e-06, 10.9201
1.24277e-06, 10.8778
1.24597e-06, 10.8337
1.25723e-06, 11.2418
1.25805e-06, 11.2694
1.25816e-06, 11.288
1.25856e-06, 11.3896
1.26635e-06, 13.1902
1.26866e-06, 14.3871
1.27734e-06, 35.5224
1.2774e-06, 35.7119
1.2775e-06, 36.5248
1.28607e-06, 108.021
1.29034e-06, 448.85
1.29291e-06, 602.991
1.30097e-06, 2428.92
1.30221e-06, 2728.42
1.30245e-06, 3161.72
1.30942e-06, 14234.5
1.31184e-06, 23158
1.31746e-06, 57504.2
1.32111e-06, 140723
1.325e-06, 549437
1.32916e-06, 1.08385e+06
1.34e-06, 1.51035e+06
1.34832e-06, 708364
1.35257e-06, 286508
1.35898e-06, 34502.5
1.3629e-06, 12260.1
1.36872e-06, 1310.96
1.37267e-06, 481.759
1.37818e-06, 65.7125
1.38392e-06, 20.7585
1.38591e-06, 8.47765
1.39075e-06, 5.75659
1.39607e-06, 4.90829
1.39714e-06, 4.87679
1.40399e-06, 4.94057
1.40657e-06, 5.27775
1.41051e-06, 5.85545
1.4147e-06, 9.15559
1.41871e-06, 20.135
1.42207e-06, 74.4787
1.42824e-06, 406.29
1.4306e-06, 956.616
1.43673e-06, 14269.6
1.44001e-06, 28010.2
1.44615e-06, 132524
1.45102e-06, 298938
1.45432e-06, 1.52779e+06
1.45477e-06, 1.77944e+06
1.45593e-06, 3.83353e+06
1.45742e-06, 6.19351e+06
1.45815e-06, 1.14728e+07
1.45886e-06, 1.69429e+07
1.46e-06, 4.00829e+07
1.46103e-06, 5.66039e+07
1.4614e-06, 5.02431e+07
1.46222e-06, 4.24696e+07
1.46335e-06, 3.53489e+07
1.46444e-06, 2.50807e+07
1.46556e-06, 1.42242e+07
1.4675e-06, 7.71084e+06
1.475e-06, 7.5859e+06
1.49e-06, 7.54128e+06
1.49981e-06, 1.03608e+07
1.50417e-06, 5.1902e+06
1.5103e-06, 824207
1.52386e-06, 164904
1.53338e-06, 3853.25
1.55219e-06, 114624
1.55942e-06, 178356
1.56226e-06, 691265
1.57393e-06, 7.46805e+06
1.57792e-06, 1.42294e+07
1.59e-06, 1.74793e+07
1.59537e-06, 4.81787e+06
1.59806e-06, 471143
1.60208e-06, 244880
1.60512e-06, 52852.6
1.60833e-06, 4498.66
1.62078e-06, 260.77
1.62398e-06, 41.2149
1.63081e-06, 0.473235
1.63454e-06, 1.32226
1.64e-06, 1.59809



