Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit	S11_meas_dB	S11_fit_dB
5.80855e+09	0.77077752	-0.61511749	0.77839309	-0.59570729	-0.12124896	-0.17383743
6.0085e+09	0.75574154	-0.63172853	0.76353164	-0.61249605	-0.13126999	-0.18574661
6.20845e+09	0.74040951	-0.64768199	0.74825868	-0.62891743	-0.14260064	-0.19801949
6.4084e+09	0.72326125	-0.66456204	0.73258343	-0.64496104	-0.15585424	-0.21065156
6.60835e+09	0.70844466	-0.6801036	0.71651545	-0.66061669	-0.15727156	-0.22363814
6.8083e+09	0.69081419	-0.69536865	0.70006458	-0.67587441	-0.17384268	-0.23697428
7.00825e+09	0.67423132	-0.71017673	0.68324098	-0.69072449	-0.18209077	-0.2506548
7.2082e+09	0.6574708	-0.724965	0.66605509	-0.70515744	-0.18706079	-0.26467428
7.40815e+09	0.63938001	-0.73916105	0.64851765	-0.71916405	-0.19921213	-0.27902705
7.6081e+09	0.62135858	-0.75303942	0.6306397	-0.73273536	-0.20836541	-0.29370716
7.80805e+09	0.60294754	-0.76521426	0.61243255	-0.74586272	-0.22688667	-0.30870843
8.008e+09	0.58499778	-0.77821391	0.59390779	-0.75853774	-0.2326529	-0.32402441
8.20795e+09	0.56592465	-0.79042476	0.57507727	-0.77075235	-0.24548885	-0.33964837
8.4079e+09	0.54780255	-0.80238141	0.55595312	-0.7824988	-0.25072378	-0.3555733
8.60785e+09	0.52774419	-0.81450537	0.53654773	-0.79376968	-0.25980023	-0.37179194
8.8078e+09	0.50827372	-0.82462696	0.5168737	-0.80455789	-0.27634311	-0.38829673
9.00775e+09	0.48899687	-0.83537306	0.49694392	-0.8148567	-0.28276131	-0.40507983
9.2077e+09	0.46953774	-0.84438606	0.47677146	-0.82465976	-0.29907313	-0.42213313
9.40765e+09	0.44926587	-0.85528216	0.45636964	-0.83396106	-0.29956681	-0.43944821
9.6076e+09	0.42901571	-0.86346573	0.43575197	-0.84275499	-0.31691012	-0.4570164
9.80755e+09	0.40806475	-0.87025185	0.41493215	-0.85103634	-0.34396127	-0.47482871
1.00075e+10	0.38789218	-0.87996421	0.39392407	-0.8588003	-0.33953422	-0.49287589
1.02075e+10	0.36775861	-0.88485964	0.37273648	-0.86604422	-0.37051842	-0.51115298
1.04074e+10	0.34589226	-0.89286544	0.35139953	-0.8727589	-0.3770164	-0.52963637
1.06074e+10	0.32495582	-0.89810117	0.32990624	-0.87894749	-0.399185	-0.54833445
1.08073e+10	0.30455003	-0.90519423	0.30829257	-0.88460073	-0.39944538	-0.56721813
1.10073e+10	0.28361612	-0.91039719	0.28655149	-0.88972161	-0.41311365	-0.58629566
1.12072e+10	0.26291207	-0.91456227	0.26471941	-0.8943028	-0.43089047	-0.60553704
1.14072e+10	0.24138413	-0.91846527	0.24278924	-0.89834715	-0.44868219	-0.62495035
1.16071e+10	0.21839096	-0.92241442	0.22079774	-0.90184934	-0.46461147	-0.64450473
1.18071e+10	0.1987857	-0.92614717	0.19873777	-0.90481207	-0.4707959	-0.66420809
1.2007e+10	0.17549667	-0.92828876	0.17664626	-0.90723204	-0.49382478	-0.68402879
1.2207e+10	0.156186	-0.93135661	0.154516	-0.9091118	-0.49723181	-0.70397454
1.24069e+10	0.13258784	-0.93318301	0.132384	-0.9104501	-0.51386529	-0.72401304
1.26069e+10	0.11441569	-0.93503684	0.11024298	-0.91124937	-0.51887995	-0.74415176
1.28068e+10	0.089493551	-0.93459797	0.08812986	-0.9115104	-0.54786325	-0.76435783
1.30068e+10	0.069157669	-0.93643265	0.066037261	-0.91123548	-0.54684627	-0.78463851
1.32067e+10	0.047111805	-0.9351359	0.044001916	-0.91042744	-0.57149649	-0.80496044
1.34067e+10	0.025424262	-0.93570214	0.022016321	-0.90908846	-0.57404238	-0.82533069
1.36066e+10	0.0086041017	-0.93333602	0.00011687204	-0.90722335	-0.5988704	-0.84571551
1.38066e+10	-0.014586264	-0.93213964	-0.021704067	-0.9048342	-0.60931718	-0.8661218
1.40065e+10	-0.036809792	-0.92874771	-0.04341057	-0.90192778	-0.63522816	-0.88651554
1.42065e+10	-0.060957557	-0.92648053	-0.065010424	-0.89850605	-0.6445142	-0.90690345
1.44064e+10	-0.07826034	-0.92364126	-0.086468304	-0.89457773	-0.65886599	-0.9272514
1.46064e+10	-0.10101543	-0.91962689	-0.10779216	-0.89014462	-0.67567974	-0.94756593
1.48063e+10	-0.11998123	-0.91449624	-0.12894741	-0.88521732	-0.70224142	-0.96781294
1.50063e+10	-0.14245449	-0.90952085	-0.14994217	-0.8797975	-0.71849293	-0.98799882
1.52062e+10	-0.16235957	-0.90403765	-0.17074271	-0.87389756	-0.73840415	-1.0080896
1.54062e+10	-0.18269742	-0.89952372	-0.19135735	-0.86751899	-0.74419123	-1.0280916
1.56061e+10	-0.20258916	-0.89210311	-0.21175331	-0.86067595	-0.77331448	-1.0479711
1.58061e+10	-0.22212569	-0.88567424	-0.23193913	-0.85336973	-0.78959632	-1.0677344
1.6006e+10	-0.24238617	-0.87846871	-0.25188311	-0.84561614	-0.80682153	-1.0873482
1.6206e+10	-0.26059703	-0.87068294	-0.271594	-0.83741627	-0.83020163	-1.1068187
1.64059e+10	-0.28069582	-0.8637544	-0.29104127	-0.82878749	-0.83618808	-1.1261131
1.66059e+10	-0.29783723	-0.85439182	-0.31023388	-0.81973065	-0.86879247	-1.1452377
1.68058e+10	-0.31670552	-0.84590149	-0.32914258	-0.81026457	-0.88388765	-1.1641606
1.70058e+10	-0.33631098	-0.83621606	-0.34777655	-0.80038985	-0.902502	-1.1828878
1.72057e+10	-0.35316055	-0.82746024	-0.36610788	-0.79012666	-0.91829914	-1.2013883
1.74057e+10	-0.37170308	-0.81770605	-0.38414599	-0.77947531	-0.93230683	-1.2196683
1.76056e+10	-0.38729173	-0.80624794	-0.40186435	-0.76845721	-0.96893394	-1.2376978
1.78056e+10	-0.40606444	-0.79509739	-0.41927262	-0.75707233	-0.98504525	-1.2554831
1.80055e+10	-0.42122952	-0.78371463	-0.43634574	-0.74534324	-1.0147066	-1.2729951
1.82055e+10	-0.43827992	-0.77329708	-0.45309358	-0.73326954	-1.0233022	-1.2902404
1.84054e+10	-0.45329282	-0.76055759	-0.46949259	-0.72087481	-1.0572702	-1.3071911
1.86054e+10	-0.46952076	-0.74905252	-0.48555284	-0.70815826	-1.0705467	-1.323854
1.88053e+10	-0.48609032	-0.73594552	-0.50125235	-0.69514436	-1.0907645	-1.3402026
1.90053e+10	-0.49907442	-0.7240477	-0.51660134	-0.68183193	-1.1164056	-1.3562438
1.92052e+10	-0.5153215	-0.71030533	-0.53157944	-0.66824618	-1.1345857	-1.3719524
1.94052e+10	-0.52869112	-0.6963421	-0.54619701	-0.6543855	-1.1667556	-1.3873357
1.96051e+10	-0.54315985	-0.68426642	-0.56043528	-0.64027575	-1.1733708	-1.40237
1.98051e+10	-0.55716513	-0.66891503	-0.57430474	-0.62591486	-1.2039938	-1.4170627
2.0005e+10	-0.57086753	-0.65692353	-0.58778823	-0.61132922	-1.2065276	-1.431392
2.0205e+10	-0.58249222	-0.64015508	-0.60089634	-0.59651627	-1.2546269	-1.4453652
2.04049e+10	-0.59553261	-0.62650054	-0.61361351	-0.58150282	-1.2658521	-1.4589623
2.06049e+10	-0.60809146	-0.61205287	-0.6259504	-0.56628579	-1.28203	-1.4721909
2.08048e+10	-0.62006323	-0.59685423	-0.63789303	-0.5508923	-1.3034981	-1.4850326
2.10048e+10	-0.63017697	-0.582354	-0.64945209	-0.53531877	-1.3296927	-1.4974952
2.12047e+10	-0.64179657	-0.56424024	-0.66061518	-0.51959248	-1.3651661	-1.5095622
2.14047e+10	-0.65159534	-0.54993642	-0.67139299	-0.50370933	-1.3846167	-1.5212416
2.16046e+10	-0.66354841	-0.53445476	-0.68177465	-0.4876967	-1.3910024	-1.5325184
2.18046e+10	-0.67030107	-0.51755588	-0.6917708	-0.47154995	-1.4437933	-1.5434011
2.20045e+10	-0.68251408	-0.50051055	-0.70137207	-0.45529644	-1.4488305	-1.5538763
2.22045e+10	-0.68937689	-0.48486826	-0.71058903	-0.43893099	-1.4853512	-1.5639528
2.24044e+10	-0.7005672	-0.46912858	-0.71941377	-0.42248086	-1.4820613	-1.573619
2.26044e+10	-0.70607917	-0.45107009	-0.72785674	-0.40594034	-1.5365545	-1.5828836
2.28043e+10	-0.71483955	-0.43631235	-0.73591142	-0.3893365	-1.540565	-1.5917369
2.30043e+10	-0.72245067	-0.4186416	-0.74358811	-0.37266309	-1.5664526	-1.6001878
2.32042e+10	-0.72906853	-0.4016112	-0.75088166	-0.35594692	-1.5937176	-1.6082281
2.34042e+10	-0.7365646	-0.3861126	-0.75780216	-0.3391812	-1.6013852	-1.6158668
2.36041e+10	-0.74092235	-0.36795389	-0.76434574	-0.32239242	-1.6471792	-1.6230976
2.38041e+10	-0.74745585	-0.35221039	-0.77052229	-0.30557326	-1.6574312	-1.6299294
2.4004e+10	-0.75262901	-0.33470584	-0.77632916	-0.28874982	-1.6846396	-1.6363574
2.4204e+10	-0.75836606	-0.31865972	-0.78177595	-0.27191428	-1.6962751	-1.6423905
2.44039e+10	-0.7619963	-0.30040662	-0.78686122	-0.25509227	-1.7335354	-1.6480256
2.46039e+10	-0.76675007	-0.28334942	-0.79159425	-0.2382755	-1.7509836	-1.6532714
2.48038e+10	-0.77140515	-0.26673434	-0.79597469	-0.22148909	-1.7638682	-1.6581264
2.50038e+10	-0.77413797	-0.25098577	-0.80001151	-0.2047243	-1.7895609	-1.6625991
2.52037e+10	-0.77703692	-0.23301286	-0.8037054	-0.18800568	-1.8172041	-1.6666894
2.54037e+10	-0.77972945	-0.21448882	-0.80706495	-0.17132405	-1.8443323	-1.6704057
2.56036e+10	-0.78218251	-0.19962896	-0.81009183	-0.15470339	-1.8597814	-1.6737492
2.58036e+10	-0.78456175	-0.18037518	-0.81279425	-0.1381341	-1.8837651	-1.6767281
2.60035e+10	-0.78669633	-0.16669875	-0.81517479	-0.12163954	-1.8931085	-1.6793448
2.62035e+10	-0.78758048	-0.14679208	-0.81724123	-0.10520973	-1.9257936	-1.6816072
2.64034e+10	-0.78790517	-0.13047105	-0.81899701	-0.088867377	-1.9530374	-1.683519
2.66034e+10	-0.78967867	-0.11339252	-0.82044946	-0.072602159	-1.9623553	-1.6850879
2.68033e+10	-0.7890742	-0.097380345	-0.82160281	-0.056436114	-1.9919976	-1.6863183
2.70033e+10	-0.7896356	-0.082889821	-0.82246395	-0.040358596	-2.0038717	-1.6872178
