Freq_GHz	r_meas	x_meas	r_model	x_model	R_meas_ohm	X_meas_ohm	R_model_ohm	X_model_ohm
16.4059	0.467714	-0.0514566	0.488298	-0.0280264	23.3857	-2.57283	24.4149	-1.40132
16.6059	0.46497	-0.0485381	0.48365	-0.025121	23.2485	-2.42691	24.1825	-1.25605
16.8058	0.460254	-0.0455192	0.479018	-0.0221416	23.0127	-2.27596	23.9509	-1.10708
17.0057	0.455116	-0.0417139	0.474403	-0.0190892	22.7558	-2.08569	23.7201	-0.954458
17.2057	0.451091	-0.039638	0.469806	-0.0159646	22.5545	-1.9819	23.4903	-0.798232
17.4057	0.446814	-0.0375742	0.465229	-0.012769	22.3407	-1.87871	23.2615	-0.63845
17.6056	0.443592	-0.0324831	0.460673	-0.00950321	22.1796	-1.62416	23.0337	-0.475161
17.8056	0.438414	-0.0303704	0.456139	-0.0061683	21.9207	-1.51852	22.8069	-0.308415
18.0055	0.434233	-0.0265301	0.451627	-0.00276526	21.7117	-1.3265	22.5813	-0.138263
18.2054	0.430509	-0.0242824	0.447139	0.000704896	21.5255	-1.21412	22.357	0.0352448
18.4054	0.4259	-0.01935	0.442676	0.00424113	21.295	-0.967501	22.1338	0.212056
18.6054	0.421318	-0.0168452	0.438239	0.0078424	21.0659	-0.842259	21.9119	0.39212
18.8053	0.416383	-0.0132144	0.433828	0.0115077	20.8192	-0.66072	21.6914	0.575384
19.0053	0.413701	-0.00912908	0.429444	0.0152359	20.6851	-0.456454	21.4722	0.761795
19.2052	0.408593	-0.0058275	0.425089	0.019026	20.4296	-0.291375	21.2545	0.9513
19.4051	0.404127	-0.000789357	0.420763	0.0228769	20.2064	-0.0394679	21.0382	1.14385
19.6051	0.400656	0.00122817	0.416467	0.0267877	20.0328	0.0614086	20.8233	1.33938
19.8051	0.395102	0.00785664	0.412201	0.0307571	19.7551	0.392832	20.6101	1.53785
20.005	0.392463	0.00829648	0.407967	0.0347841	19.6232	0.414824	20.3983	1.7392
20.205	0.387764	0.0157813	0.403764	0.0388677	19.3882	0.789064	20.1882	1.94338
20.4049	0.384029	0.0185601	0.399594	0.0430068	19.2014	0.928007	19.9797	2.15034
20.6048	0.37992	0.0238796	0.395457	0.0472003	18.996	1.19398	19.7729	2.36001
20.8048	0.375838	0.0272854	0.391354	0.0514471	18.7919	1.36427	19.5677	2.57236
21.0048	0.374409	0.0327151	0.387285	0.0557463	18.7204	1.63575	19.3643	2.78731
21.2047	0.367702	0.0388699	0.383251	0.0600966	18.3851	1.9435	19.1625	3.00483
21.4047	0.365399	0.0428298	0.379252	0.0644972	18.27	2.14149	18.9626	3.22486
21.6046	0.358701	0.045706	0.375289	0.0689468	17.935	2.2853	18.7644	3.44734
21.8045	0.360499	0.053772	0.371362	0.0734445	18.025	2.6886	18.5681	3.67223
22.0045	0.352246	0.0568739	0.367471	0.0779892	17.6123	2.8437	18.3736	3.89946
22.2045	0.351986	0.0642927	0.363617	0.0825799	17.5993	3.21464	18.1809	4.129
22.4044	0.345151	0.0655919	0.359801	0.0872155	17.2575	3.27959	17.9901	4.36078
22.6044	0.344394	0.0747589	0.356022	0.0918951	17.2197	3.73794	17.8011	4.59475
22.8043	0.339323	0.0763304	0.352282	0.0966175	16.9661	3.81652	17.6141	4.83088
23.0042	0.334811	0.0845043	0.348579	0.101382	16.7406	4.22521	17.4289	5.06909
23.2042	0.332704	0.0892325	0.344915	0.106187	16.6352	4.46162	17.2457	5.30935
23.4042	0.328311	0.0926977	0.341289	0.111032	16.4155	4.63489	17.0644	5.55161
23.6041	0.327613	0.100194	0.337702	0.115916	16.3807	5.00972	16.8851	5.79581
23.8041	0.322833	0.104618	0.334155	0.120838	16.1416	5.23089	16.7077	6.04191
24.004	0.319939	0.11182	0.330646	0.125797	15.997	5.59101	16.5323	6.28985
24.2039	0.317076	0.115879	0.327177	0.130792	15.8538	5.79396	16.3588	6.5396
24.4039	0.312988	0.122591	0.323747	0.135822	15.6494	6.12956	16.1874	6.7911
24.6039	0.311483	0.128756	0.320357	0.140886	15.5741	6.43778	16.0179	7.04431
24.8038	0.305496	0.134391	0.317007	0.145984	15.2748	6.71953	15.8503	7.29918
25.0038	0.304679	0.140518	0.313696	0.151113	15.234	7.0259	15.6848	7.55566
25.2037	0.302217	0.145988	0.310425	0.156274	15.1109	7.29939	15.5213	7.81372
25.4036	0.298624	0.154952	0.307194	0.161466	14.9312	7.7476	15.3597	8.0733
25.6036	0.296285	0.158698	0.304003	0.166687	14.8143	7.9349	15.2002	8.33436
25.8036	0.291082	0.168057	0.300852	0.171937	14.5541	8.40286	15.0426	8.59687
26.0035	0.291006	0.17029	0.297741	0.177215	14.5503	8.51451	14.887	8.86077
26.2035	0.286505	0.180246	0.294669	0.18252	14.3253	9.01231	14.7334	9.12602
26.4034	0.285795	0.185525	0.291637	0.187852	14.2898	9.27623	14.5818	9.39259
26.6033	0.281093	0.193622	0.288645	0.193209	14.0547	9.6811	14.4322	9.66043
26.8033	0.279864	0.199658	0.285692	0.19859	13.9932	9.98289	14.2846	9.92951
27.0033	0.277069	0.203338	0.282779	0.203995	13.8535	10.1669	14.139	10.1998
