Freq_GHz	Model_Norm_dB	Model_dBm_5mA
3.77172	-0.0269963	-9.3622
3.7817	-0.0271413	-9.36234
3.79167	-0.0272866	-9.36249
3.80165	-0.0274324	-9.36263
3.81163	-0.0275785	-9.36278
3.82161	-0.0277251	-9.36293
3.83158	-0.027872	-9.36307
3.84156	-0.0280194	-9.36322
3.85154	-0.0281672	-9.36337
3.86152	-0.0283153	-9.36352
3.87149	-0.0284639	-9.36366
3.88147	-0.0286129	-9.36381
3.89145	-0.0287623	-9.36396
3.90143	-0.028912	-9.36411
3.9114	-0.0290622	-9.36426
3.92138	-0.0292128	-9.36441
3.93136	-0.0293638	-9.36456
3.94134	-0.0295152	-9.36472
3.95131	-0.029667	-9.36487
3.96129	-0.0298192	-9.36502
3.97127	-0.0299719	-9.36517
3.98125	-0.0301249	-9.36532
3.99122	-0.0302783	-9.36548
4.0012	-0.0304321	-9.36563
4.01118	-0.0305864	-9.36579
4.02116	-0.030741	-9.36594
4.03113	-0.0308961	-9.3661
4.04111	-0.0310515	-9.36625
4.05109	-0.0312074	-9.36641
4.06107	-0.0313637	-9.36656
4.07104	-0.0315204	-9.36672
4.08102	-0.0316774	-9.36688
4.091	-0.0318349	-9.36704
4.10098	-0.0319928	-9.36719
4.11095	-0.0321511	-9.36735
4.12093	-0.0323099	-9.36751
4.13091	-0.032469	-9.36767
4.14089	-0.0326285	-9.36783
4.15086	-0.0327884	-9.36799
4.16084	-0.0329488	-9.36815
4.17082	-0.0331096	-9.36831
4.1808	-0.0332707	-9.36847
4.19077	-0.0334323	-9.36863
4.20075	-0.0335943	-9.36879
4.21073	-0.0337567	-9.36896
4.22071	-0.0339195	-9.36912
4.23068	-0.0340827	-9.36928
4.24066	-0.0342463	-9.36945
4.25064	-0.0344103	-9.36961
4.26062	-0.0345748	-9.36977
4.27059	-0.0347396	-9.36994
4.28057	-0.0349049	-9.3701
4.29055	-0.0350705	-9.37027
4.30053	-0.0352366	-9.37044
4.3105	-0.0354031	-9.3706
4.32048	-0.03557	-9.37077
4.33046	-0.0357373	-9.37094
4.34044	-0.0359051	-9.37111
4.35041	-0.0360732	-9.37127
4.36039	-0.0362418	-9.37144
4.37037	-0.0364107	-9.37161
4.38035	-0.0365801	-9.37178
4.39032	-0.0367499	-9.37195
4.4003	-0.0369201	-9.37212
4.41028	-0.0370907	-9.37229
4.42026	-0.0372617	-9.37246
4.43023	-0.0374332	-9.37263
4.44021	-0.037605	-9.37281
4.45019	-0.0377773	-9.37298
4.46017	-0.03795	-9.37315
4.47014	-0.038123	-9.37332
4.48012	-0.0382966	-9.3735
4.4901	-0.0384705	-9.37367
4.50008	-0.0386448	-9.37384
4.51005	-0.0388196	-9.37402
4.52003	-0.0389947	-9.37419
4.53001	-0.0391703	-9.37437
4.53998	-0.0393463	-9.37455
4.54996	-0.0395227	-9.37472
4.55994	-0.0396995	-9.3749
4.56992	-0.0398768	-9.37508
4.57989	-0.0400544	-9.37525
4.58987	-0.0402325	-9.37543
4.59985	-0.040411	-9.37561
4.60983	-0.0405899	-9.37579
4.6198	-0.0407692	-9.37597
4.62978	-0.0409489	-9.37615
4.63976	-0.0411291	-9.37633
4.64974	-0.0413097	-9.37651
4.65971	-0.0414907	-9.37669
4.66969	-0.0416721	-9.37687
4.67967	-0.0418539	-9.37705
4.68965	-0.0420361	-9.37724
4.69962	-0.0422188	-9.37742
4.7096	-0.0424019	-9.3776
4.71958	-0.0425854	-9.37779
4.72956	-0.0427693	-9.37797
4.73953	-0.0429536	-9.37815
4.74951	-0.0431384	-9.37834
4.75949	-0.0433236	-9.37852
4.76947	-0.0435091	-9.37871
4.77944	-0.0436952	-9.3789
4.78942	-0.0438816	-9.37908
4.7994	-0.0440684	-9.37927
4.80938	-0.0442557	-9.37946
4.81935	-0.0444434	-9.37964
4.82933	-0.0446315	-9.37983
4.83931	-0.0448201	-9.38002
4.84929	-0.045009	-9.38021
4.85926	-0.0451984	-9.3804
4.86924	-0.0453882	-9.38059
4.87922	-0.0455784	-9.38078
4.8892	-0.0457691	-9.38097
4.89917	-0.0459601	-9.38116
4.90915	-0.0461516	-9.38135
4.91913	-0.0463435	-9.38154
4.92911	-0.0465359	-9.38174
4.93908	-0.0467286	-9.38193
4.94906	-0.0469218	-9.38212
4.95904	-0.0471154	-9.38232
4.96902	-0.0473094	-9.38251
4.97899	-0.0475039	-9.3827
4.98897	-0.0476987	-9.3829
4.99895	-0.047894	-9.38309
5.00893	-0.0480897	-9.38329
5.0189	-0.0482859	-9.38349
5.02888	-0.0484825	-9.38368
5.03886	-0.0486795	-9.38388
5.04884	-0.0488769	-9.38408
5.05881	-0.0490747	-9.38427
5.06879	-0.049273	-9.38447
5.07877	-0.0494717	-9.38467
5.08875	-0.0496708	-9.38487
5.09872	-0.0498704	-9.38507
5.1087	-0.0500703	-9.38527
5.11868	-0.0502707	-9.38547
5.12866	-0.0504716	-9.38567
5.13863	-0.0506728	-9.38587
5.14861	-0.0508745	-9.38607
5.15859	-0.0510766	-9.38628
5.16857	-0.0512791	-9.38648
5.17854	-0.0514821	-9.38668
5.18852	-0.0516855	-9.38689
5.1985	-0.0518893	-9.38709
5.20848	-0.0520936	-9.38729
5.21845	-0.0522983	-9.3875
5.22843	-0.0525034	-9.3877
5.23841	-0.0527089	-9.38791
5.24839	-0.0529149	-9.38811
5.25836	-0.0531213	-9.38832
5.26834	-0.0533281	-9.38853
5.27832	-0.0535353	-9.38874
5.2883	-0.053743	-9.38894
5.29827	-0.0539511	-9.38915
5.30825	-0.0541597	-9.38936
5.31823	-0.0543687	-9.38957
5.32821	-0.0545781	-9.38978
5.33818	-0.0547879	-9.38999
5.34816	-0.0549982	-9.3902
5.35814	-0.0552089	-9.39041
5.36812	-0.05542	-9.39062
5.37809	-0.0556316	-9.39083
5.38807	-0.0558436	-9.39104
5.39805	-0.056056	-9.39126
5.40803	-0.0562689	-9.39147
5.418	-0.0564822	-9.39168
5.42798	-0.0566959	-9.3919
5.43796	-0.0569101	-9.39211
5.44794	-0.0571247	-9.39232
5.45791	-0.0573397	-9.39254
5.46789	-0.0575552	-9.39276
5.47787	-0.0577711	-9.39297
5.48785	-0.0579874	-9.39319
5.49782	-0.0582042	-9.3934
5.5078	-0.0584214	-9.39362
5.51778	-0.058639	-9.39384
5.52776	-0.0588571	-9.39406
5.53773	-0.0590756	-9.39428
5.54771	-0.0592946	-9.39449
5.55769	-0.059514	-9.39471
5.56767	-0.0597338	-9.39493
5.57764	-0.0599541	-9.39515
5.58762	-0.0601748	-9.39537
5.5976	-0.0603959	-9.3956
5.60758	-0.0606175	-9.39582
5.61755	-0.0608395	-9.39604
5.62753	-0.0610619	-9.39626
5.63751	-0.0612848	-9.39648
5.64749	-0.0615081	-9.39671
5.65746	-0.0617319	-9.39693
5.66744	-0.0619561	-9.39716
5.67742	-0.0621807	-9.39738
5.6874	-0.0624058	-9.39761
5.69737	-0.0626313	-9.39783
5.70735	-0.0628573	-9.39806
5.71733	-0.0630837	-9.39828
5.72731	-0.0633105	-9.39851
5.73728	-0.0635378	-9.39874
5.74726	-0.0637655	-9.39897
5.75724	-0.0639937	-9.39919
5.76722	-0.0642223	-9.39942
5.77719	-0.0644513	-9.39965
5.78717	-0.0646808	-9.39988
5.79715	-0.0649107	-9.40011
5.80713	-0.0651411	-9.40034
5.8171	-0.0653719	-9.40057
5.82708	-0.0656031	-9.4008
5.83706	-0.0658348	-9.40103
5.84704	-0.066067	-9.40127
5.85701	-0.0662996	-9.4015
5.86699	-0.0665326	-9.40173
5.87697	-0.0667661	-9.40197
5.88695	-0.067	-9.4022
5.89692	-0.0672343	-9.40243
5.9069	-0.0674691	-9.40267
5.91688	-0.0677044	-9.4029
5.92686	-0.0679401	-9.40314
5.93683	-0.0681762	-9.40338
5.94681	-0.0684128	-9.40361
5.95679	-0.0686498	-9.40385
5.96677	-0.0688873	-9.40409
5.97674	-0.0691252	-9.40433
5.98672	-0.0693636	-9.40456
5.9967	-0.0696024	-9.4048
6.00668	-0.0698417	-9.40504
6.01665	-0.0700814	-9.40528
6.02663	-0.0703215	-9.40552
6.03661	-0.0705621	-9.40576
6.04659	-0.0708032	-9.406
6.05656	-0.0710447	-9.40624
6.06654	-0.0712866	-9.40649
6.07652	-0.071529	-9.40673
6.0865	-0.0717719	-9.40697
6.09647	-0.0720152	-9.40722
6.10645	-0.0722589	-9.40746
6.11643	-0.0725031	-9.4077
6.12641	-0.0727478	-9.40795
6.13638	-0.0729929	-9.40819
6.14636	-0.0732384	-9.40844
6.15634	-0.0734844	-9.40868
6.16632	-0.0737309	-9.40893
6.17629	-0.0739778	-9.40918
6.18627	-0.0742251	-9.40943
6.19625	-0.0744729	-9.40967
6.20623	-0.0747212	-9.40992
6.2162	-0.0749699	-9.41017
6.22618	-0.075219	-9.41042
6.23616	-0.0754686	-9.41067
6.24614	-0.0757187	-9.41092
6.25611	-0.0759692	-9.41117
6.26609	-0.0762202	-9.41142
6.27607	-0.0764716	-9.41167
6.28605	-0.0767235	-9.41192
6.29602	-0.0769758	-9.41218
6.306	-0.0772286	-9.41243
6.31598	-0.0774819	-9.41268
6.32596	-0.0777356	-9.41294
6.33593	-0.0779897	-9.41319
6.34591	-0.0782444	-9.41344
6.35589	-0.0784994	-9.4137
6.36587	-0.0787549	-9.41396
6.37584	-0.0790109	-9.41421
6.38582	-0.0792674	-9.41447
6.3958	-0.0795243	-9.41472
6.40578	-0.0797816	-9.41498
6.41575	-0.0800394	-9.41524
6.42573	-0.0802977	-9.4155
6.43571	-0.0805564	-9.41576
6.44569	-0.0808156	-9.41602
6.45566	-0.0810752	-9.41628
6.46564	-0.0813353	-9.41654
6.47562	-0.0815959	-9.4168
6.4856	-0.0818569	-9.41706
6.49557	-0.0821184	-9.41732
6.50555	-0.0823803	-9.41758
6.51553	-0.0826427	-9.41784
6.52551	-0.0829056	-9.41811
6.53548	-0.0831689	-9.41837
6.54546	-0.0834327	-9.41863
6.55544	-0.083697	-9.4189
6.56542	-0.0839617	-9.41916
6.57539	-0.0842268	-9.41943
6.58537	-0.0844925	-9.41969
6.59535	-0.0847585	-9.41996
6.60533	-0.0850251	-9.42023
6.6153	-0.0852921	-9.42049
6.62528	-0.0855596	-9.42076
6.63526	-0.0858275	-9.42103
6.64524	-0.086096	-9.4213
6.65521	-0.0863648	-9.42156
6.66519	-0.0866342	-9.42183
6.67517	-0.086904	-9.4221
6.68515	-0.0871742	-9.42237
6.69512	-0.087445	-9.42265
6.7051	-0.0877162	-9.42292
6.71508	-0.0879878	-9.42319
6.72506	-0.08826	-9.42346
6.73503	-0.0885326	-9.42373
6.74501	-0.0888056	-9.42401
6.75499	-0.0890791	-9.42428
6.76497	-0.0893531	-9.42455
6.77494	-0.0896276	-9.42483
6.78492	-0.0899025	-9.4251
6.7949	-0.0901779	-9.42538
6.80488	-0.0904538	-9.42565
6.81485	-0.0907301	-9.42593
6.82483	-0.0910069	-9.42621
6.83481	-0.0912842	-9.42648
6.84479	-0.091562	-9.42676
6.85476	-0.0918402	-9.42704
6.86474	-0.0921189	-9.42732
6.87472	-0.092398	-9.4276
6.8847	-0.0926776	-9.42788
6.89467	-0.0929577	-9.42816
6.90465	-0.0932383	-9.42844
6.91463	-0.0935194	-9.42872
6.92461	-0.0938009	-9.429
6.93458	-0.0940828	-9.42928
6.94456	-0.0943653	-9.42957
6.95454	-0.0946482	-9.42985
6.96452	-0.0949316	-9.43013
6.97449	-0.0952155	-9.43042
6.98447	-0.0954999	-9.4307
6.99445	-0.0957847	-9.43098
7.00443	-0.09607	-9.43127
7.0144	-0.0963557	-9.43156
7.02438	-0.096642	-9.43184
7.03436	-0.0969287	-9.43213
7.04434	-0.0972159	-9.43242
7.05431	-0.0975036	-9.4327
7.06429	-0.0977917	-9.43299
7.07427	-0.0980803	-9.43328
7.08425	-0.0983694	-9.43357
7.09422	-0.098659	-9.43386
7.1042	-0.0989491	-9.43415
7.11418	-0.0992396	-9.43444
7.12416	-0.0995306	-9.43473
7.13413	-0.0998221	-9.43502
7.14411	-0.100114	-9.43531
7.15409	-0.100406	-9.43561
7.16407	-0.100699	-9.4359
7.17404	-0.100993	-9.43619
7.18402	-0.101287	-9.43649
7.194	-0.101581	-9.43678
7.20398	-0.101876	-9.43708
7.21395	-0.102171	-9.43737
7.22393	-0.102467	-9.43767
7.23391	-0.102763	-9.43796
7.24389	-0.10306	-9.43826
7.25386	-0.103357	-9.43856
7.26384	-0.103655	-9.43886
7.27382	-0.103953	-9.43915
7.2838	-0.104252	-9.43945
7.29377	-0.104551	-9.43975
7.30375	-0.104851	-9.44005
7.31373	-0.105151	-9.44035
7.32371	-0.105452	-9.44065
7.33368	-0.105753	-9.44095
7.34366	-0.106054	-9.44125
7.35364	-0.106356	-9.44156
7.36362	-0.106659	-9.44186
7.37359	-0.106962	-9.44216
7.38357	-0.107265	-9.44247
7.39355	-0.107569	-9.44277
7.40353	-0.107874	-9.44307
7.4135	-0.108179	-9.44338
7.42348	-0.108484	-9.44368
7.43346	-0.10879	-9.44399
7.44344	-0.109097	-9.4443
7.45341	-0.109404	-9.4446
7.46339	-0.109711	-9.44491
7.47337	-0.110019	-9.44522
7.48335	-0.110328	-9.44553
7.49332	-0.110636	-9.44584
7.5033	-0.110946	-9.44615
7.51328	-0.111256	-9.44646
7.52326	-0.111566	-9.44677
7.53323	-0.111877	-9.44708
7.54321	-0.112188	-9.44739
7.55319	-0.1125	-9.4477
7.56317	-0.112812	-9.44801
7.57314	-0.113125	-9.44833
7.58312	-0.113439	-9.44864
7.5931	-0.113752	-9.44895
7.60308	-0.114067	-9.44927
7.61305	-0.114381	-9.44958
7.62303	-0.114697	-9.4499
7.63301	-0.115012	-9.45021
7.64299	-0.115329	-9.45053
7.65296	-0.115645	-9.45085
7.66294	-0.115963	-9.45116
7.67292	-0.11628	-9.45148
7.6829	-0.116599	-9.4518
7.69287	-0.116917	-9.45212
7.70285	-0.117237	-9.45244
7.71283	-0.117556	-9.45276
7.72281	-0.117877	-9.45308
7.73278	-0.118197	-9.4534
7.74276	-0.118519	-9.45372
7.75274	-0.11884	-9.45404
7.76272	-0.119163	-9.45436
7.77269	-0.119485	-9.45469
7.78267	-0.119808	-9.45501
7.79265	-0.120132	-9.45533
7.80263	-0.120456	-9.45566
7.8126	-0.120781	-9.45598
7.82258	-0.121106	-9.45631
7.83256	-0.121432	-9.45663
7.84254	-0.121758	-9.45696
7.85251	-0.122085	-9.45729
