Freq_GHz	Model_Norm_dB	Model_dBm_5mA
10.3768	-1.27769	-3.31901
10.3868	-1.28013	-3.32145
10.3968	-1.28257	-3.32388
10.4068	-1.28501	-3.32632
10.4167	-1.28745	-3.32877
10.4267	-1.28989	-3.33121
10.4367	-1.29234	-3.33366
10.4467	-1.29479	-3.3361
10.4566	-1.29724	-3.33855
10.4666	-1.29969	-3.34101
10.4766	-1.30214	-3.34346
10.4866	-1.3046	-3.34592
10.4965	-1.30706	-3.34838
10.5065	-1.30952	-3.35084
10.5165	-1.31199	-3.3533
10.5265	-1.31445	-3.35577
10.5365	-1.31692	-3.35824
10.5464	-1.31939	-3.36071
10.5564	-1.32186	-3.36318
10.5664	-1.32434	-3.36565
10.5764	-1.32681	-3.36813
10.5863	-1.32929	-3.37061
10.5963	-1.33177	-3.37309
10.6063	-1.33426	-3.37557
10.6163	-1.33674	-3.37806
10.6263	-1.33923	-3.38055
10.6362	-1.34172	-3.38304
10.6462	-1.34421	-3.38553
10.6562	-1.34671	-3.38802
10.6662	-1.3492	-3.39052
10.6761	-1.3517	-3.39302
10.6861	-1.3542	-3.39552
10.6961	-1.3567	-3.39802
10.7061	-1.35921	-3.40053
10.7161	-1.36172	-3.40303
10.726	-1.36423	-3.40554
10.736	-1.36674	-3.40806
10.746	-1.36925	-3.41057
10.756	-1.37177	-3.41309
10.7659	-1.37428	-3.4156
10.7759	-1.3768	-3.41812
10.7859	-1.37933	-3.42065
10.7959	-1.38185	-3.42317
10.8059	-1.38438	-3.4257
10.8158	-1.38691	-3.42823
10.8258	-1.38944	-3.43076
10.8358	-1.39197	-3.43329
10.8458	-1.39451	-3.43583
10.8557	-1.39704	-3.43836
10.8657	-1.39958	-3.4409
10.8757	-1.40213	-3.44344
10.8857	-1.40467	-3.44599
10.8956	-1.40722	-3.44854
10.9056	-1.40976	-3.45108
10.9156	-1.41232	-3.45363
10.9256	-1.41487	-3.45619
10.9356	-1.41742	-3.45874
10.9455	-1.41998	-3.4613
10.9555	-1.42254	-3.46386
10.9655	-1.4251	-3.46642
10.9755	-1.42766	-3.46898
10.9854	-1.43023	-3.47155
10.9954	-1.4328	-3.47412
