Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_model	Im_S11_model
29.0027	-0.522219	0.33487	-0.52754	0.315286
29.2027	-0.512018	0.340135	-0.527576	0.322768
29.4027	-0.518609	0.35125	-0.527492	0.330264
29.6026	-0.505618	0.359398	-0.527289	0.33777
29.8026	-0.509498	0.367961	-0.526965	0.345283
30.0025	-0.504467	0.37875	-0.526521	0.3528
30.2024	-0.508557	0.385035	-0.525958	0.360318
30.4024	-0.504857	0.391114	-0.525275	0.367835
30.6024	-0.493613	0.403376	-0.524473	0.375347
30.8023	-0.503066	0.411405	-0.523553	0.382852
31.0023	-0.497152	0.419487	-0.522514	0.390347
31.2022	-0.497516	0.417496	-0.521358	0.397829
31.4021	-0.481171	0.435553	-0.520086	0.405295
31.6021	-0.482135	0.437376	-0.518697	0.412743
31.8021	-0.480384	0.459096	-0.517193	0.42017
32.002	-0.477908	0.44736	-0.515576	0.427573
32.2019	-0.464985	0.470828	-0.513845	0.43495
32.4019	-0.466347	0.477625	-0.512002	0.442298
32.6018	-0.461696	0.4836	-0.510048	0.449615
32.8018	-0.456444	0.495198	-0.507985	0.456898
33.0018	-0.445764	0.495357	-0.505813	0.464146
33.2017	-0.445888	0.516315	-0.503534	0.471354
33.4016	-0.435887	0.51563	-0.50115	0.478523
33.6016	-0.439369	0.529361	-0.498662	0.485648
33.8015	-0.424423	0.531956	-0.496071	0.492728
34.0015	-0.432208	0.542609	-0.493379	0.499761
34.2015	-0.414126	0.55545	-0.490587	0.506745
34.4014	-0.424761	0.557524	-0.487698	0.513678
34.6013	-0.409372	0.565013	-0.484713	0.520558
34.8013	-0.401128	0.566696	-0.481633	0.527383
35.0012	-0.39451	0.587102	-0.478461	0.534152
35.2012	-0.386363	0.592516	-0.475199	0.540862
35.4012	-0.407576	0.598187	-0.471847	0.547512
35.6011	-0.369421	0.589492	-0.468408	0.554101
35.801	-0.376081	0.610645	-0.464884	0.560627
36.001	-0.351615	0.622682	-0.461277	0.567089
36.2009	-0.354907	0.625625	-0.457589	0.573485
36.4009	-0.340744	0.634775	-0.453821	0.579814
