Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit	S11_meas_dB	S11_fit_dB
5.40865e+09	0.79952066	-0.57966013	0.79472478	-0.57558182	-0.1088887	-0.16426974
5.6086e+09	0.78508358	-0.59677812	0.77995569	-0.59319539	-0.12110238	-0.17633031
5.80855e+09	0.77077752	-0.61511749	0.76475148	-0.61042438	-0.12124896	-0.18878108
6.0085e+09	0.75574154	-0.63172853	0.74912274	-0.62725775	-0.13126999	-0.20161661
6.20845e+09	0.74040951	-0.64768199	0.73308037	-0.64368471	-0.14260064	-0.21483118
6.4084e+09	0.72326125	-0.66456204	0.71663559	-0.65969482	-0.15585424	-0.22841885
6.60835e+09	0.70844466	-0.6801036	0.69979992	-0.67527791	-0.15727156	-0.24237341
6.8083e+09	0.69081419	-0.69536865	0.68258519	-0.69042417	-0.17384268	-0.25668839
7.00825e+09	0.67423132	-0.71017673	0.66500353	-0.70512411	-0.18209077	-0.27135707
7.2082e+09	0.6574708	-0.724965	0.64706734	-0.7193686	-0.18706079	-0.28637246
7.40815e+09	0.63938001	-0.73916105	0.62878929	-0.73314884	-0.19921213	-0.30172729
7.6081e+09	0.62135858	-0.75303942	0.61018233	-0.74645644	-0.20836541	-0.31741405
7.80805e+09	0.60294754	-0.76521426	0.59125965	-0.75928336	-0.22688667	-0.33342493
8.008e+09	0.58499778	-0.77821391	0.57203468	-0.77162197	-0.2326529	-0.34975188
8.20795e+09	0.56592465	-0.79042476	0.55252109	-0.78346502	-0.24548885	-0.36638653
8.4079e+09	0.54780255	-0.80238141	0.53273275	-0.7948057	-0.25072378	-0.38332029
8.60785e+09	0.52774419	-0.81450537	0.51268376	-0.80563759	-0.25980023	-0.40054426
8.8078e+09	0.50827372	-0.82462696	0.49238838	-0.8159547	-0.27634311	-0.41804927
9.00775e+09	0.48899687	-0.83537306	0.47186106	-0.8257515	-0.28276131	-0.4358259
9.2077e+09	0.46953774	-0.84438606	0.45111643	-0.83502289	-0.29907313	-0.45386445
9.40765e+09	0.44926587	-0.85528216	0.43016925	-0.8437642	-0.29956681	-0.47215493
9.6076e+09	0.42901571	-0.86346573	0.4090344	-0.85197126	-0.31691012	-0.49068711
9.80755e+09	0.40806475	-0.87025185	0.38772689	-0.85964033	-0.34396127	-0.5094505
1.00075e+10	0.38789218	-0.87996421	0.36626184	-0.86676815	-0.33953422	-0.52843434
1.02075e+10	0.36775861	-0.88485964	0.34464901	-0.87335352	-0.37051842	-0.54763244
1.04074e+10	0.34589226	-0.89286544	0.32291993	-0.87938939	-0.3770164	-0.56701909
1.06074e+10	0.32495582	-0.89810117	0.30106816	-0.88487999	-0.399185	-0.58660218
1.08073e+10	0.30455003	-0.90519423	0.27913088	-0.88981847	-0.39944538	-0.60635041
1.10073e+10	0.28361612	-0.91039719	0.25710152	-0.89420894	-0.41311365	-0.62627159
1.12072e+10	0.26291207	-0.91456227	0.23501743	-0.89804662	-0.43089047	-0.64633362
