Freq_GHz	Re_S11_meas	Im_S11_meas	Re_S11_fit	Im_S11_fit	S11_meas_dB	S11_fit_dB
3.48013e+10	-0.44059356	0.46316599	-0.49438397	0.47068278	-3.8865337	-3.3165343
3.50013e+10	-0.4394117	0.48443671	-0.49269575	0.47802273	-3.6879823	-3.2674418
3.52012e+10	-0.43138368	0.49090603	-0.49089904	0.48533601	-3.6949015	-3.219071
3.54012e+10	-0.45486573	0.49588132	-0.48899292	0.49262743	-3.4409251	-3.1713693
3.56011e+10	-0.41766761	0.48889651	-0.48698028	0.49988724	-3.8356016	-3.1243801
3.58011e+10	-0.4254226	0.51110124	-0.48486014	0.50712027	-3.5437255	-3.0780517
3.6001e+10	-0.40563816	0.52469249	-0.48263572	0.51431691	-3.567008	-3.032426
3.6201e+10	-0.41129925	0.52848975	-0.48030598	0.52148204	-3.4826806	-2.9874524
3.64009e+10	-0.39873695	0.54194261	-0.47787448	0.52860622	-3.4419627	-2.9431709
3.66009e+10	-0.38695198	0.5411626	-0.47534009	0.53569434	-3.5399959	-2.8995322
3.68008e+10	-0.3841311	0.55863679	-0.47270669	0.54273715	-3.3758996	-2.8565747
3.70008e+10	-0.37271199	0.56196622	-0.46997307	0.54973958	-3.4225569	-2.81425
3.72007e+10	-0.37316367	0.57093957	-0.46714341	0.55669258	-3.3233871	-2.772595
3.74007e+10	-0.36263675	0.58060818	-0.46421641	0.56360109	-3.2918727	-2.7315623
3.76006e+10	-0.35264237	0.5779321	-0.46119656	0.57045628	-3.3879125	-2.6911874
3.78006e+10	-0.35065532	0.60198362	-0.45808244	0.57726312	-3.1395085	-2.651424
3.80005e+10	-0.34194042	0.59566913	-0.45487882	0.584013	-3.2629273	-2.6123059
3.82005e+10	-0.33976887	0.61398719	-0.45158419	0.59071092	-3.0766153	-2.5737881
3.84004e+10	-0.32764708	0.61454612	-0.44820356	0.5973485	-3.1424077	-2.5359028
3.86004e+10	-0.32923243	0.6179116	-0.44473532	0.60393075	-3.0961895	-2.498606
3.88003e+10	-0.30641262	0.63587417	-0.44118473	0.61044954	-3.0257478	-2.4619288
3.90003e+10	-0.31531909	0.62515779	-0.43755006	0.61690991	-3.0958383	-2.425828
3.92002e+10	-0.28190239	0.64909805	-0.43383679	0.62330396	-3.0033808	-2.3903334
3.94002e+10	-0.29031308	0.64427325	-0.43004308	0.62963675	-3.0157781	-2.355403
3.96001e+10	-0.27362032	0.65222471	-0.42617463	0.63590064	-3.0079975	-2.3210651
3.98001e+10	-0.26693766	0.65894229	-0.42222946	0.64210068	-2.9631264	-2.2872788
4e+10	-0.25922378	0.66027866	-0.41821346	0.64822951	-2.9828968	-2.2540714
