Freq_GHz	Model_Norm_dB	Model_dBm_5mA
2.74404	-0.0163651	-9.35157
2.75401	-0.0164852	-9.35169
2.76399	-0.0166057	-9.35181
2.77397	-0.0167267	-9.35193
2.78395	-0.0168481	-9.35205
2.79392	-0.01697	-9.35217
2.8039	-0.0170923	-9.3523
2.81388	-0.0172151	-9.35242
2.82386	-0.0173383	-9.35254
2.83383	-0.0174619	-9.35266
2.84381	-0.017586	-9.35279
2.85379	-0.0177106	-9.35291
2.86377	-0.0178356	-9.35304
2.87374	-0.017961	-9.35316
2.88372	-0.0180869	-9.35329
2.8937	-0.0182133	-9.35342
2.90368	-0.0183401	-9.35354
2.91365	-0.0184673	-9.35367
2.92363	-0.018595	-9.3538
2.93361	-0.0187231	-9.35393
2.94359	-0.0188517	-9.35405
2.95356	-0.0189807	-9.35418
2.96354	-0.0191102	-9.35431
2.97352	-0.0192401	-9.35444
2.9835	-0.0193705	-9.35457
2.99347	-0.0195013	-9.3547
3.00345	-0.0196326	-9.35484
3.01343	-0.0197643	-9.35497
3.02341	-0.0198965	-9.3551
3.03338	-0.0200291	-9.35523
3.04336	-0.0201621	-9.35537
3.05334	-0.0202956	-9.3555
3.06332	-0.0204296	-9.35563
3.07329	-0.020564	-9.35577
3.08327	-0.0206989	-9.3559
3.09325	-0.0208342	-9.35604
3.10323	-0.02097	-9.35617
3.1132	-0.0211062	-9.35631
3.12318	-0.0212429	-9.35645
3.13316	-0.02138	-9.35658
3.14314	-0.0215175	-9.35672
3.15311	-0.0216555	-9.35686
3.16309	-0.021794	-9.357
3.17307	-0.0219329	-9.35714
3.18305	-0.0220723	-9.35728
3.19302	-0.0222121	-9.35742
3.203	-0.0223524	-9.35756
3.21298	-0.0224931	-9.3577
3.22296	-0.0226343	-9.35784
3.23293	-0.0227759	-9.35798
3.24291	-0.022918	-9.35812
3.25289	-0.0230605	-9.35826
3.26287	-0.0232035	-9.35841
3.27284	-0.023347	-9.35855
3.28282	-0.0234908	-9.35869
3.2928	-0.0236352	-9.35884
3.30278	-0.02378	-9.35898
3.31275	-0.0239252	-9.35913
3.32273	-0.0240709	-9.35927
3.33271	-0.0242171	-9.35942
3.34269	-0.0243637	-9.35957
3.35266	-0.0245107	-9.35971
3.36264	-0.0246582	-9.35986
3.37262	-0.0248062	-9.36001
3.3826	-0.0249546	-9.36016
3.39257	-0.0251035	-9.36031
3.40255	-0.0252528	-9.36046
3.41253	-0.0254026	-9.36061
3.42251	-0.0255528	-9.36076
3.43248	-0.0257035	-9.36091
3.44246	-0.0258547	-9.36106
3.45244	-0.0260063	-9.36121
3.46242	-0.0261583	-9.36136
3.47239	-0.0263108	-9.36151
3.48237	-0.0264638	-9.36167
3.49235	-0.0266172	-9.36182
3.50233	-0.0267711	-9.36197
3.5123	-0.0269254	-9.36213
3.52228	-0.0270802	-9.36228
3.53226	-0.0272354	-9.36244
3.54224	-0.0273911	-9.36259
3.55221	-0.0275473	-9.36275
3.56219	-0.0277039	-9.36291
3.57217	-0.027861	-9.36306
3.58215	-0.0280185	-9.36322
3.59212	-0.0281765	-9.36338
3.6021	-0.0283349	-9.36354
3.61208	-0.0284938	-9.3637
3.62206	-0.0286531	-9.36386
3.63203	-0.028813	-9.36402
3.64201	-0.0289732	-9.36418
3.65199	-0.0291339	-9.36434
3.66197	-0.0292951	-9.3645
3.67194	-0.0294568	-9.36466
3.68192	-0.0296188	-9.36482
3.6919	-0.0297814	-9.36498
3.70188	-0.0299444	-9.36515
3.71185	-0.0301079	-9.36531
3.72183	-0.0302718	-9.36547
3.73181	-0.0304362	-9.36564
3.74179	-0.030601	-9.3658
3.75176	-0.0307664	-9.36597
3.76174	-0.0309321	-9.36614
3.77172	-0.0310983	-9.3663
3.7817	-0.031265	-9.36647
3.79167	-0.0314322	-9.36664
3.80165	-0.0315998	-9.3668
3.81163	-0.0317678	-9.36697
3.82161	-0.0319364	-9.36714
3.83158	-0.0321053	-9.36731
3.84156	-0.0322748	-9.36748
3.85154	-0.0324447	-9.36765
3.86152	-0.0326151	-9.36782
3.87149	-0.0327859	-9.36799
3.88147	-0.0329572	-9.36816
3.89145	-0.0331289	-9.36833
3.90143	-0.0333011	-9.3685
3.9114	-0.0334738	-9.36868
3.92138	-0.0336469	-9.36885
3.93136	-0.0338205	-9.36902
3.94134	-0.0339946	-9.3692
3.95131	-0.0341691	-9.36937
3.96129	-0.0343441	-9.36955
3.97127	-0.0345195	-9.36972
3.98125	-0.0346954	-9.3699
3.99122	-0.0348718	-9.37007
4.0012	-0.0350486	-9.37025
4.01118	-0.0352259	-9.37043
4.02116	-0.0354037	-9.37061
4.03113	-0.0355819	-9.37078
4.04111	-0.0357606	-9.37096
4.05109	-0.0359398	-9.37114
