Freq_GHz	r_meas	x_meas	r_model	x_model	R_meas_ohm	X_meas_ohm	R_model_ohm	X_model_ohm
14.2065	0.282932	-0.584273	0.357384	-0.598782	14.1466	-29.2136	17.8692	-29.9391
14.4064	0.280316	-0.570686	0.350988	-0.582325	14.0158	-28.5343	17.5494	-29.1162
14.6064	0.273384	-0.55513	0.344832	-0.566122	13.6692	-27.7565	17.2416	-28.3061
14.8063	0.271101	-0.539539	0.338904	-0.550167	13.5551	-26.9769	16.9452	-27.5084
15.0062	0.264944	-0.525133	0.333194	-0.534453	13.2472	-26.2566	16.6597	-26.7226
15.2062	0.260651	-0.510141	0.32769	-0.518971	13.0325	-25.5071	16.3845	-25.9486
15.4062	0.256409	-0.497555	0.322383	-0.503717	12.8205	-24.8778	16.1192	-25.1858
15.6061	0.253061	-0.48205	0.317265	-0.488682	12.6531	-24.1025	15.8632	-24.4341
15.8061	0.250193	-0.468556	0.312326	-0.473861	12.5096	-23.4278	15.6163	-23.693
16.006	0.245024	-0.455293	0.307558	-0.459247	12.2512	-22.7646	15.3779	-22.9624
16.206	0.243433	-0.442181	0.302954	-0.444835	12.1717	-22.1091	15.1477	-22.2418
16.4059	0.237839	-0.428811	0.298506	-0.430619	11.8919	-21.4406	14.9253	-21.531
16.6059	0.236784	-0.416466	0.294207	-0.416593	11.8392	-20.8233	14.7104	-20.8297
16.8058	0.233259	-0.403371	0.290052	-0.402753	11.663	-20.1686	14.5026	-20.1376
17.0057	0.229923	-0.389717	0.286033	-0.389092	11.4962	-19.4858	14.3016	-19.4546
17.2057	0.226887	-0.378425	0.282145	-0.375605	11.3443	-18.9213	14.1072	-18.7803
17.4057	0.223835	-0.366992	0.278382	-0.362289	11.1917	-18.3496	13.9191	-18.1145
17.6056	0.223788	-0.354029	0.27474	-0.349138	11.1894	-17.7015	13.737	-17.4569
17.8056	0.219518	-0.341749	0.271213	-0.336148	10.9759	-17.0875	13.5606	-16.8074
18.0055	0.218249	-0.329995	0.267796	-0.323314	10.9125	-16.4998	13.3898	-16.1657
