Freq_GHz	r_meas	x_meas	r_model	x_model	R_meas_ohm	X_meas_ohm	R_model_ohm	X_model_ohm
8.20795	0.0744183	-1.65748	0.108931	-1.61865	3.72091	-82.8739	5.44655	-80.9323
8.4079	0.073435	-1.61089	0.10893	-1.57041	3.67175	-80.5447	5.44648	-78.5207
8.60785	0.0741596	-1.55168	0.108928	-1.52419	3.70798	-77.584	5.4464	-76.2096
8.8078	0.0741795	-1.51917	0.108926	-1.47985	3.70897	-75.9587	5.44632	-73.9923
9.00775	0.0736732	-1.47841	0.108925	-1.43725	3.68366	-73.9207	5.44624	-71.8625
9.2077	0.0748099	-1.43899	0.108923	-1.39629	3.7405	-71.9494	5.44616	-69.8145
9.40765	0.0737338	-1.40048	0.108922	-1.35686	3.68669	-70.024	5.44608	-67.8431
9.6076	0.0743569	-1.36253	0.10892	-1.31887	3.71785	-68.1265	5.44599	-65.9435
9.80755	0.0767997	-1.32697	0.108918	-1.28223	3.83999	-66.3486	5.4459	-64.1113
10.0075	0.0744716	-1.29167	0.108916	-1.24685	3.72358	-64.5837	5.44581	-62.3425
10.2074	0.0773872	-1.25575	0.108914	-1.21267	3.86936	-62.7876	5.44572	-60.6333
10.4074	0.0759928	-1.2238	0.108913	-1.17961	3.79964	-61.19	5.44563	-58.9803
10.6074	0.078043	-1.19653	0.108911	-1.14761	3.90215	-59.8264	5.44553	-57.3803
10.8073	0.0768429	-1.16633	0.108909	-1.11661	3.84215	-58.3167	5.44544	-55.8305
11.0073	0.0760475	-1.13712	0.108907	-1.08656	3.80238	-56.856	5.44534	-54.3279
11.2072	0.0769413	-1.10808	0.108905	-1.0574	3.84707	-55.4041	5.44524	-52.8702
11.4071	0.0778643	-1.08115	0.108903	-1.0291	3.89321	-54.0576	5.44514	-51.455
11.6071	0.0778148	-1.05264	0.108901	-1.0016	3.89074	-52.6318	5.44503	-50.0801
11.8071	0.0770569	-1.02855	0.108899	-0.974866	3.85285	-51.4275	5.44493	-48.7433
12.007	0.0779131	-0.998987	0.108896	-0.948858	3.89565	-49.9494	5.44482	-47.4429
12.207	0.0768129	-0.975938	0.108894	-0.92354	3.84065	-48.7969	5.44471	-46.177
12.4069	0.0771	-0.950352	0.108892	-0.898879	3.855	-47.5176	5.4446	-44.944
12.6068	0.0773694	-0.93066	0.10889	-0.874844	3.86847	-46.533	5.44448	-43.7422
12.8068	0.0782841	-0.9053	0.108887	-0.851406	3.9142	-45.265	5.44437	-42.5703
13.0068	0.0773785	-0.884955	0.108885	-0.828537	3.86893	-44.2478	5.44425	-41.4268
13.2067	0.0789004	-0.862461	0.108883	-0.806211	3.94502	-43.1231	5.44413	-40.3106
13.4067	0.0774352	-0.841104	0.10888	-0.784404	3.87176	-42.0552	5.44401	-39.2202
13.6066	0.0760036	-0.87916	0.108878	-0.763093	3.80018	-43.958	5.44389	-38.1547
13.8065	0.076574	-0.848349	0.108875	-0.742257	3.8287	-42.4175	5.44377	-37.1129
14.0065	0.0776964	-0.820891	0.108873	-0.721875	3.88482	-41.0445	5.44364	-36.0937
14.2065	0.0774231	-0.790914	0.10887	-0.701928	3.87115	-39.5457	5.44352	-35.0964
14.4064	0.0786953	-0.765683	0.108868	-0.682398	3.93476	-38.2841	5.44339	-34.1199
14.6064	0.0791911	-0.736747	0.108865	-0.663267	3.95955	-36.8373	5.44326	-33.1634
14.8063	0.0807911	-0.710532	0.108862	-0.64452	4.03955	-35.5266	5.44312	-32.226
15.0062	0.0814198	-0.68312	0.10886	-0.626142	4.07099	-34.156	5.44299	-31.3071
15.2062	0.082357	-0.661954	0.108857	-0.608117	4.11785	-33.0977	5.44285	-30.4058
15.4062	0.0819325	-0.644985	0.108854	-0.590432	4.09662	-32.2493	5.44271	-29.5216
15.6061	0.083236	-0.628537	0.108851	-0.573074	4.1618	-31.4269	5.44257	-28.6537
15.8061	0.0835566	-0.612382	0.108849	-0.55603	4.17783	-30.6191	5.44243	-27.8015
16.006	0.0835679	-0.597512	0.108846	-0.539289	4.1784	-29.8756	5.44229	-26.9645
16.206	0.0843237	-0.582101	0.108843	-0.52284	4.21618	-29.105	5.44214	-26.142
16.4059	0.0840122	-0.566116	0.10884	-0.506671	4.20061	-28.3058	5.442	-25.3336
16.6059	0.0856431	-0.550971	0.108837	-0.490773	4.28215	-27.5486	5.44185	-24.5387
16.8058	0.0856475	-0.535245	0.108834	-0.475136	4.28237	-26.7622	5.4417	-23.7568
17.0057	0.0861688	-0.519146	0.108831	-0.459751	4.30844	-25.9573	5.44154	-22.9876
17.2057	0.0865531	-0.505154	0.108828	-0.444609	4.32766	-25.2577	5.44139	-22.2305
17.4057	0.0869014	-0.490177	0.108825	-0.429702	4.34507	-24.5089	5.44123	-21.4851
17.6056	0.0889732	-0.475936	0.108821	-0.415021	4.44866	-23.7968	5.44107	-20.7511
17.8056	0.0886436	-0.460514	0.108818	-0.40056	4.43218	-23.0257	5.44091	-20.028
18.0055	0.090313	-0.447316	0.108815	-0.38631	4.51565	-22.3658	5.44075	-19.3155
18.2054	0.0901286	-0.433086	0.108812	-0.372264	4.50643	-21.6543	5.44059	-18.6132
18.4054	0.0914831	-0.419697	0.108808	-0.358417	4.57415	-20.9849	5.44042	-17.9209
18.6054	0.0914343	-0.405985	0.108805	-0.344762	4.57171	-20.2992	5.44026	-17.2381
18.8053	0.0922219	-0.392024	0.108802	-0.331292	4.6111	-19.6012	5.44009	-16.5646
19.0053	0.0930431	-0.37956	0.108798	-0.318002	4.65216	-18.978	5.43992	-15.9001
19.2052	0.0932006	-0.365919	0.108795	-0.304886	4.66003	-18.296	5.43975	-15.2443
19.4051	0.0949723	-0.35285	0.108791	-0.291939	4.74862	-17.6425	5.43957	-14.5969
19.6051	0.0942363	-0.340639	0.108788	-0.279155	4.71181	-17.0319	5.4394	-13.9577
19.8051	0.0957723	-0.327303	0.108784	-0.26653	4.78861	-16.3652	5.43922	-13.3265
20.005	0.0957204	-0.315564	0.108781	-0.254059	4.78602	-15.7782	5.43904	-12.7029
20.205	0.0976033	-0.302349	0.108777	-0.241737	4.88017	-15.1174	5.43886	-12.0868
20.4049	0.0981481	-0.290494	0.108773	-0.22956	4.9074	-14.5247	5.43867	-11.478
20.6048	0.0984189	-0.278136	0.10877	-0.217523	4.92094	-13.9068	5.43849	-10.8762
20.8048	0.0990814	-0.266269	0.108766	-0.205623	4.95407	-13.3134	5.4383	-10.2812
21.0048	0.100653	-0.254457	0.108762	-0.193856	5.03264	-12.7229	5.43811	-9.69282
21.2047	0.101399	-0.241395	0.108758	-0.182218	5.06993	-12.0698	5.43792	-9.11092
21.4047	0.102234	-0.230244	0.108755	-0.170706	5.11169	-11.5122	5.43773	-8.53528
21.6046	0.102016	-0.218405	0.108751	-0.159315	5.10082	-10.9202	5.43754	-7.96574
21.8045	0.105039	-0.207472	0.108747	-0.148042	5.25197	-10.3736	5.43734	-7.40212
