Freq_GHz	Norm_dB_model	Model_dBm_5mA
2.1853	-0.0265014	-7.33259
2.19527	-0.0267449	-7.33283
2.20525	-0.0269895	-7.33307
2.21523	-0.0272353	-7.33332
2.22521	-0.0274821	-7.33357
2.23518	-0.0277301	-7.33381
2.24516	-0.0279792	-7.33406
2.25514	-0.0282294	-7.33431
2.26512	-0.0284808	-7.33456
2.27509	-0.0287332	-7.33482
2.28507	-0.0289868	-7.33507
2.29505	-0.0292415	-7.33533
2.30503	-0.0294973	-7.33558
2.315	-0.0297542	-7.33584
2.32498	-0.0300123	-7.3361
2.33496	-0.0302714	-7.33636
2.34494	-0.0305317	-7.33662
2.35491	-0.0307931	-7.33688
2.36489	-0.0310556	-7.33714
2.37487	-0.0313193	-7.3374
2.38485	-0.031584	-7.33767
2.39482	-0.0318499	-7.33793
2.4048	-0.0321169	-7.3382
2.41478	-0.032385	-7.33847
2.42476	-0.0326543	-7.33874
2.43473	-0.0329247	-7.33901
2.44471	-0.0331961	-7.33928
2.45469	-0.0334687	-7.33955
2.46467	-0.0337425	-7.33983
2.47464	-0.0340173	-7.3401
2.48462	-0.0342933	-7.34038
2.4946	-0.0345704	-7.34065
2.50458	-0.0348486	-7.34093
2.51455	-0.0351279	-7.34121
2.52453	-0.0354083	-7.34149
2.53451	-0.0356899	-7.34177
2.54449	-0.0359726	-7.34206
2.55446	-0.0362564	-7.34234
2.56444	-0.0365414	-7.34263
2.57442	-0.0368274	-7.34291
2.5844	-0.0371146	-7.3432
2.59437	-0.0374029	-7.34349
2.60435	-0.0376923	-7.34378
2.61433	-0.0379829	-7.34407
2.62431	-0.0382745	-7.34436
2.63428	-0.0385673	-7.34465
2.64426	-0.0388613	-7.34495
2.65424	-0.0391563	-7.34524
2.66422	-0.0394525	-7.34554
2.67419	-0.0397497	-7.34583
2.68417	-0.0400481	-7.34613
2.69415	-0.0403477	-7.34643
2.70413	-0.0406483	-7.34673
2.7141	-0.0409501	-7.34703
2.72408	-0.041253	-7.34734
2.73406	-0.041557	-7.34764
2.74404	-0.0418622	-7.34795
2.75401	-0.0421685	-7.34825
2.76399	-0.0424759	-7.34856
2.77397	-0.0427844	-7.34887
2.78395	-0.0430941	-7.34918
2.79392	-0.0434048	-7.34949
2.8039	-0.0437167	-7.3498
2.81388	-0.0440298	-7.35011
2.82386	-0.0443439	-7.35043
2.83383	-0.0446592	-7.35074
2.84381	-0.0449756	-7.35106
2.85379	-0.0452931	-7.35138
2.86377	-0.0456118	-7.3517
2.87374	-0.0459315	-7.35202
2.88372	-0.0462525	-7.35234
2.8937	-0.0465745	-7.35266
2.90368	-0.0468976	-7.35298
2.91365	-0.0472219	-7.35331
2.92363	-0.0475473	-7.35363
2.93361	-0.0478739	-7.35396
2.94359	-0.0482016	-7.35429
2.95356	-0.0485303	-7.35461
2.96354	-0.0488603	-7.35494
2.97352	-0.0491913	-7.35528
2.9835	-0.0495235	-7.35561
2.99347	-0.0498568	-7.35594
3.00345	-0.0501912	-7.35628
3.01343	-0.0505268	-7.35661
3.02341	-0.0508635	-7.35695
3.03338	-0.0512013	-7.35729
3.04336	-0.0515402	-7.35762
3.05334	-0.0518803	-7.35796
3.06332	-0.0522215	-7.35831
3.07329	-0.0525639	-7.35865
3.08327	-0.0529073	-7.35899
3.09325	-0.0532519	-7.35934
3.10323	-0.0535976	-7.35968
3.1132	-0.0539445	-7.36003
3.12318	-0.0542925	-7.36038
3.13316	-0.0546416	-7.36073
3.14314	-0.0549918	-7.36108
3.15311	-0.0553432	-7.36143
3.16309	-0.0556957	-7.36178
3.17307	-0.0560493	-7.36213
3.18305	-0.0564041	-7.36249
3.19302	-0.05676	-7.36284
3.203	-0.057117	-7.3632
3.21298	-0.0574752	-7.36356
3.22296	-0.0578345	-7.36392
3.23293	-0.0581949	-7.36428
3.24291	-0.0585564	-7.36464
3.25289	-0.0589191	-7.365
3.26287	-0.0592829	-7.36537
3.27284	-0.0596479	-7.36573
3.28282	-0.0600139	-7.3661
3.2928	-0.0603812	-7.36647
3.30278	-0.0607495	-7.36683
3.31275	-0.061119	-7.3672
3.32273	-0.0614896	-7.36757
3.33271	-0.0618613	-7.36795
3.34269	-0.0622342	-7.36832
3.35266	-0.0626082	-7.36869
3.36264	-0.0629834	-7.36907
3.37262	-0.0633597	-7.36944
3.3826	-0.0637371	-7.36982
3.39257	-0.0641156	-7.3702
3.40255	-0.0644953	-7.37058
3.41253	-0.0648761	-7.37096
3.42251	-0.0652581	-7.37134
3.43248	-0.0656411	-7.37173
3.44246	-0.0660254	-7.37211
3.45244	-0.0664107	-7.37249
3.46242	-0.0667972	-7.37288
3.47239	-0.0671848	-7.37327
3.48237	-0.0675736	-7.37366
3.49235	-0.0679635	-7.37405
3.50233	-0.0683545	-7.37444
3.5123	-0.0687467	-7.37483
3.52228	-0.06914	-7.37522
3.53226	-0.0695345	-7.37562
3.54224	-0.06993	-7.37601
3.55221	-0.0703268	-7.37641
3.56219	-0.0707246	-7.37681
3.57217	-0.0711236	-7.37721
3.58215	-0.0715237	-7.37761
3.59212	-0.071925	-7.37801
3.6021	-0.0723274	-7.37841
3.61208	-0.072731	-7.37881
3.62206	-0.0731356	-7.37922
3.63203	-0.0735415	-7.37963
3.64201	-0.0739484	-7.38003
3.65199	-0.0743565	-7.38044
3.66197	-0.0747658	-7.38085
3.67194	-0.0751761	-7.38126
3.68192	-0.0755876	-7.38167
3.6919	-0.0760003	-7.38208
3.70188	-0.0764141	-7.3825
3.71185	-0.076829	-7.38291
3.72183	-0.0772451	-7.38333
3.73181	-0.0776623	-7.38375
3.74179	-0.0780807	-7.38416
3.75176	-0.0785002	-7.38458
3.76174	-0.0789208	-7.385
3.77172	-0.0793426	-7.38543
3.7817	-0.0797655	-7.38585
3.79167	-0.0801896	-7.38627
3.80165	-0.0806148	-7.3867
3.81163	-0.0810411	-7.38713
3.82161	-0.0814686	-7.38755
3.83158	-0.0818972	-7.38798
3.84156	-0.082327	-7.38841
3.85154	-0.0827579	-7.38884
3.86152	-0.08319	-7.38927
3.87149	-0.0836231	-7.38971
3.88147	-0.0840575	-7.39014
3.89145	-0.084493	-7.39058
3.90143	-0.0849296	-7.39101
3.9114	-0.0853674	-7.39145
3.92138	-0.0858063	-7.39189
3.93136	-0.0862463	-7.39233
3.94134	-0.0866875	-7.39277
3.95131	-0.0871299	-7.39321
3.96129	-0.0875734	-7.39366
3.97127	-0.088018	-7.3941
3.98125	-0.0884638	-7.39455
3.99122	-0.0889107	-7.39499
4.0012	-0.0893588	-7.39544
4.01118	-0.089808	-7.39589
4.02116	-0.0902584	-7.39634
4.03113	-0.0907099	-7.39679
4.04111	-0.0911626	-7.39725
4.05109	-0.0916164	-7.3977
4.06107	-0.0920713	-7.39816
4.07104	-0.0925274	-7.39861
4.08102	-0.0929846	-7.39907
4.091	-0.093443	-7.39953
4.10098	-0.0939026	-7.39999
4.11095	-0.0943632	-7.40045
4.12093	-0.0948251	-7.40091
4.13091	-0.0952881	-7.40137
