Freq_GHz	Norm_dB_model	Model_dBm_5mA
7.89242	-0.829593	-2.87093
7.9024	-0.831688	-2.87302
7.91238	-0.833787	-2.87512
7.92236	-0.835887	-2.87722
7.93233	-0.837991	-2.87932
7.94231	-0.840097	-2.88143
7.95229	-0.842206	-2.88354
7.96227	-0.844317	-2.88565
7.97224	-0.846431	-2.88776
7.98222	-0.848547	-2.88988
7.9922	-0.850666	-2.892
8.00218	-0.852788	-2.89412
8.01215	-0.854912	-2.89624
8.02213	-0.857039	-2.89837
8.03211	-0.859168	-2.9005
8.04209	-0.8613	-2.90263
8.05206	-0.863435	-2.90477
8.06204	-0.865572	-2.90691
8.07202	-0.867712	-2.90905
8.082	-0.869855	-2.91119
8.09197	-0.872	-2.91333
8.10195	-0.874147	-2.91548
