Freq_GHz	Norm_dB_model_hole
4.00296	-0.0239149
4.01294	-0.0240352
4.02292	-0.0241558
4.03291	-0.0242768
4.04289	-0.024398
4.05287	-0.0245196
4.06285	-0.0246415
4.07283	-0.0247636
4.08282	-0.0248861
4.0928	-0.0250089
4.10278	-0.0251321
4.11276	-0.0252555
4.12274	-0.0253792
4.13273	-0.0255032
4.14271	-0.0256276
4.15269	-0.0257523
4.16267	-0.0258772
4.17265	-0.0260025
4.18264	-0.0261281
4.19262	-0.026254
4.2026	-0.0263802
4.21258	-0.0265068
4.22256	-0.0266336
4.23255	-0.0267607
4.24253	-0.0268882
4.25251	-0.027016
4.26249	-0.0271441
4.27247	-0.0272725
4.28246	-0.0274012
4.29244	-0.0275302
4.30242	-0.0276595
4.3124	-0.0277891
4.32238	-0.0279191
4.33237	-0.0280493
4.34235	-0.0281799
4.35233	-0.0283108
4.36231	-0.028442
4.37229	-0.0285735
4.38228	-0.0287053
4.39226	-0.0288375
4.40224	-0.0289699
4.41222	-0.0291027
4.4222	-0.0292358
4.43219	-0.0293691
4.44217	-0.0295028
4.45215	-0.0296368
4.46213	-0.0297712
4.47211	-0.0299058
4.4821	-0.0300407
4.49208	-0.030176
4.50206	-0.0303116
4.51204	-0.0304475
4.52202	-0.0305837
4.53201	-0.0307202
4.54199	-0.030857
4.55197	-0.0309942
4.56195	-0.0311316
4.57193	-0.0312694
4.58192	-0.0314075
4.5919	-0.0315459
4.60188	-0.0316846
4.61186	-0.0318236
4.62184	-0.0319629
4.63183	-0.0321026
4.64181	-0.0322425
4.65179	-0.0323828
4.66177	-0.0325234
4.67175	-0.0326643
4.68174	-0.0328056
4.69172	-0.0329471
4.7017	-0.0330889
4.71168	-0.0332311
4.72166	-0.0333736
4.73165	-0.0335164
4.74163	-0.0336595
4.75161	-0.0338029
4.76159	-0.0339467
4.77157	-0.0340908
4.78156	-0.0342351
4.79154	-0.0343798
4.80152	-0.0345248
4.8115	-0.0346702
4.82148	-0.0348158
4.83147	-0.0349618
4.84145	-0.035108
4.85143	-0.0352546
4.86141	-0.0354015
4.87139	-0.0355487
4.88138	-0.0356963
4.89136	-0.0358441
4.90134	-0.0359923
4.91132	-0.0361408
4.9213	-0.0362896
4.93129	-0.0364387
4.94127	-0.0365881
4.95125	-0.0367379
4.96123	-0.036888
4.97121	-0.0370384
4.9812	-0.0371891
4.99118	-0.0373401
5.00116	-0.0374914
5.01114	-0.0376431
5.02112	-0.0377951
5.03111	-0.0379474
5.04109	-0.0381
5.05107	-0.0382529
5.06105	-0.0384062
5.07103	-0.0385597
5.08102	-0.0387136
5.091	-0.0388678
5.10098	-0.0390223
5.11096	-0.0391772
5.12094	-0.0393323
5.13093	-0.0394878
5.14091	-0.0396436
5.15089	-0.0397997
5.16087	-0.0399562
5.17085	-0.0401129
5.18084	-0.04027
5.19082	-0.0404274
5.2008	-0.0405851
5.21078	-0.0407431
5.22076	-0.0409015
5.23075	-0.0410602
5.24073	-0.0412192
5.25071	-0.0413785
5.26069	-0.0415381
5.27067	-0.0416981
5.28066	-0.0418583
5.29064	-0.0420189
5.30062	-0.0421798
5.3106	-0.0423411
5.32058	-0.0425026
5.33057	-0.0426645
5.34055	-0.0428267
5.35053	-0.0429892
5.36051	-0.0431521
5.37049	-0.0433152
5.38048	-0.0434787
5.39046	-0.0436425
5.40044	-0.0438066
5.41042	-0.0439711
5.4204	-0.0441358
5.43039	-0.0443009
5.44037	-0.0444663
5.45035	-0.0446321
5.46033	-0.0447981
5.47031	-0.0449645
5.4803	-0.0451312
5.49028	-0.0452982
5.50026	-0.0454656
5.51024	-0.0456332
