Freq_GHz	Norm_dB_model_hole
6.89774	-0.34011
6.90772	-0.341127
6.9177	-0.342147
6.92769	-0.343168
6.93767	-0.34419
6.94765	-0.345214
6.95763	-0.34624
6.96761	-0.347268
6.9776	-0.348297
6.98758	-0.349327
6.99756	-0.35036
7.00754	-0.351394
7.01752	-0.35243
7.02751	-0.353467
7.03749	-0.354506
7.04747	-0.355547
7.05745	-0.356589
7.06743	-0.357633
7.07742	-0.358679
7.0874	-0.359726
7.09738	-0.360775
7.10736	-0.361826
7.11734	-0.362878
7.12733	-0.363932
7.13731	-0.364988
7.14729	-0.366045
7.15727	-0.367104
7.16725	-0.368165
7.17724	-0.369227
7.18722	-0.370291
7.1972	-0.371357
7.20718	-0.372424
7.21716	-0.373493
7.22715	-0.374564
7.23713	-0.375636
7.24711	-0.37671
7.25709	-0.377785
7.26707	-0.378863
7.27706	-0.379942
7.28704	-0.381022
7.29702	-0.382105
7.307	-0.383189
7.31698	-0.384274
7.32697	-0.385362
7.33695	-0.386451
7.34693	-0.387541
7.35691	-0.388634
7.36689	-0.389728
7.37688	-0.390823
7.38686	-0.391921
7.39684	-0.39302
7.40682	-0.394121
7.4168	-0.395223
7.42679	-0.396327
7.43677	-0.397433
7.44675	-0.398541
7.45673	-0.39965
7.46671	-0.400761
7.4767	-0.401873
7.48668	-0.402987
7.49666	-0.404103
7.50664	-0.405221
7.51662	-0.40634
7.52661	-0.407461
7.53659	-0.408584
7.54657	-0.409708
7.55655	-0.410834
7.56653	-0.411962
7.57652	-0.413091
7.5865	-0.414222
7.59648	-0.415355
7.60646	-0.416489
7.61644	-0.417626
7.62643	-0.418763
7.63641	-0.419903
7.64639	-0.421044
7.65637	-0.422187
7.66635	-0.423332
7.67634	-0.424478
7.68632	-0.425626
7.6963	-0.426776
7.70628	-0.427927
7.71626	-0.429081
7.72625	-0.430235
7.73623	-0.431392
7.74621	-0.43255
7.75619	-0.43371
7.76617	-0.434872
7.77616	-0.436035
7.78614	-0.4372
7.79612	-0.438367
7.8061	-0.439535
7.81608	-0.440706
7.82607	-0.441878
7.83605	-0.443051
7.84603	-0.444226
7.85601	-0.445403
7.86599	-0.446582
7.87598	-0.447763
7.88596	-0.448945
7.89594	-0.450129
7.90592	-0.451314
7.9159	-0.452501
7.92589	-0.45369
7.93587	-0.454881
7.94585	-0.456074
7.95583	-0.457268
7.96581	-0.458464
7.9758	-0.459661
7.98578	-0.46086
7.99576	-0.462061
8.00574	-0.463264
8.01572	-0.464469
8.02571	-0.465675
8.03569	-0.466883
8.04567	-0.468092
8.05565	-0.469304
8.06563	-0.470517
8.07562	-0.471732
8.0856	-0.472948
8.09558	-0.474166
8.10556	-0.475386
8.11554	-0.476608
8.12553	-0.477831
8.13551	-0.479056
8.14549	-0.480283
8.15547	-0.481512
8.16545	-0.482742
8.17544	-0.483974
8.18542	-0.485208
8.1954	-0.486444
8.20538	-0.487681
8.21536	-0.48892
8.22535	-0.490161
8.23533	-0.491403
8.24531	-0.492647
8.25529	-0.493893
8.26527	-0.495141
8.27526	-0.49639
8.28524	-0.497641
8.29522	-0.498894
8.3052	-0.500149
8.31518	-0.501405
8.32517	-0.502663
8.33515	-0.503923
8.34513	-0.505185
8.35511	-0.506448
8.36509	-0.507713
8.37508	-0.50898
8.38506	-0.510248
8.39504	-0.511519
8.40502	-0.512791
8.415	-0.514065
8.42498	-0.51534
8.43497	-0.516617
8.44495	-0.517896
8.45493	-0.519177
8.46491	-0.52046
8.47489	-0.521744
8.48488	-0.52303
8.49486	-0.524318
8.50484	-0.525607
8.51482	-0.526899
8.5248	-0.528192
8.53479	-0.529486
8.54477	-0.530783
8.55475	-0.532081
8.56473	-0.533381
8.57471	-0.534683
8.5847	-0.535987
8.59468	-0.537292
8.60466	-0.538599
8.61464	-0.539908
8.62462	-0.541219
8.63461	-0.542531
8.64459	-0.543845
8.65457	-0.545161
8.66455	-0.546479
8.67453	-0.547798
8.68452	-0.549119
8.6945	-0.550442
8.70448	-0.551767
8.71446	-0.553093
8.72444	-0.554422
8.73443	-0.555752
8.74441	-0.557083
8.75439	-0.558417
8.76437	-0.559752
8.77435	-0.561089
8.78434	-0.562428
8.79432	-0.563769
8.8043	-0.565111
8.81428	-0.566455
8.82426	-0.567801
8.83425	-0.569149
8.84423	-0.570498
8.85421	-0.57185
8.86419	-0.573203
8.87417	-0.574558
8.88416	-0.575914
8.89414	-0.577273
8.90412	-0.578633
8.9141	-0.579995
8.92408	-0.581358
8.93407	-0.582724
8.94405	-0.584091
8.95403	-0.58546
8.96401	-0.586831
8.97399	-0.588204
8.98398	-0.589578
8.99396	-0.590954
9.00394	-0.592332
9.01392	-0.593712
9.0239	-0.595093
9.03389	-0.596477
9.04387	-0.597862
9.05385	-0.599249
9.06383	-0.600637
9.07381	-0.602028
9.0838	-0.60342
9.09378	-0.604814
9.10376	-0.60621
9.11374	-0.607608
9.12372	-0.609007
9.13371	-0.610408
9.14369	-0.611811
9.15367	-0.613216
9.16365	-0.614623
9.17363	-0.616031
9.18362	-0.617441
9.1936	-0.618853
9.20358	-0.620267
9.21356	-0.621682
9.22354	-0.6231
9.23353	-0.624519
9.24351	-0.62594
9.25349	-0.627363
9.26347	-0.628787
9.27345	-0.630214
9.28344	-0.631642
9.29342	-0.633072
9.3034	-0.634503
9.31338	-0.635937
9.32336	-0.637372
9.33335	-0.63881
9.34333	-0.640249
9.35331	-0.641689
9.36329	-0.643132
9.37327	-0.644576
9.38326	-0.646023
9.39324	-0.647471
9.40322	-0.64892
9.4132	-0.650372
9.42318	-0.651826
9.43317	-0.653281
9.44315	-0.654738
9.45313	-0.656197
9.46311	-0.657658
9.47309	-0.65912
9.48308	-0.660584
9.49306	-0.662051
9.50304	-0.663518
9.51302	-0.664988
9.523	-0.66646
9.53299	-0.667933
9.54297	-0.669408
9.55295	-0.670885
9.56293	-0.672364
9.57291	-0.673845
9.5829	-0.675328
9.59288	-0.676812
9.60286	-0.678298
9.61284	-0.679786
9.62282	-0.681276
9.63281	-0.682767
9.64279	-0.684261
9.65277	-0.685756
9.66275	-0.687253
9.67273	-0.688752
9.68272	-0.690253
9.6927	-0.691755
9.70268	-0.69326
9.71266	-0.694766
9.72264	-0.696274
9.73263	-0.697784
9.74261	-0.699295
9.75259	-0.700809
9.76257	-0.702324
9.77255	-0.703842
9.78254	-0.705361
9.79252	-0.706881
9.8025	-0.708404
9.81248	-0.709929
9.82246	-0.711455
9.83245	-0.712983
9.84243	-0.714513
9.85241	-0.716045
9.86239	-0.717579
9.87237	-0.719114
9.88236	-0.720652
9.89234	-0.722191
9.90232	-0.723732
9.9123	-0.725275
9.92228	-0.726819
9.93227	-0.728366
9.94225	-0.729914
9.95223	-0.731465
9.96221	-0.733017
9.97219	-0.734571
9.98218	-0.736126
9.99216	-0.737684
10.0021	-0.739244
10.0121	-0.740805
10.0221	-0.742368
10.0321	-0.743933
10.0421	-0.7455
10.0521	-0.747069
10.062	-0.748639
10.072	-0.750211
10.082	-0.751786
10.092	-0.753362
10.102	-0.75494
10.1119	-0.75652
10.1219	-0.758101
10.1319	-0.759685
10.1419	-0.76127
10.1519	-0.762857
10.1619	-0.764446
10.1718	-0.766037
10.1818	-0.76763
10.1918	-0.769224
10.2018	-0.770821
10.2118	-0.772419
10.2217	-0.774019
10.2317	-0.775621
10.2417	-0.777225
10.2517	-0.778831
10.2617	-0.780439
10.2717	-0.782048
10.2816	-0.78366
10.2916	-0.785273
10.3016	-0.786888
10.3116	-0.788505
10.3216	-0.790123
10.3315	-0.791744
10.3415	-0.793367
10.3515	-0.794991
10.3615	-0.796617
10.3715	-0.798245
10.3815	-0.799875
10.3914	-0.801507
10.4014	-0.803141
10.4114	-0.804776
10.4214	-0.806414
10.4314	-0.808053
10.4413	-0.809694
10.4513	-0.811337
10.4613	-0.812982
10.4713	-0.814629
10.4813	-0.816277
10.4913	-0.817928
10.5012	-0.81958
10.5112	-0.821235
10.5212	-0.822891
10.5312	-0.824549
10.5412	-0.826209
10.5512	-0.82787
10.5611	-0.829534
10.5711	-0.831199
10.5811	-0.832867
10.5911	-0.834536
10.6011	-0.836207
10.611	-0.83788
10.621	-0.839555
10.631	-0.841232
10.641	-0.84291
10.651	-0.844591
10.661	-0.846273
10.6709	-0.847958
10.6809	-0.849644
10.6909	-0.851332
10.7009	-0.853022
10.7109	-0.854713
10.7208	-0.856407
10.7308	-0.858103
10.7408	-0.8598
10.7508	-0.861499
10.7608	-0.863201
10.7708	-0.864904
10.7807	-0.866609
10.7907	-0.868316
10.8007	-0.870024
10.8107	-0.871735
10.8207	-0.873448
10.8306	-0.875162
10.8406	-0.876878
10.8506	-0.878596
10.8606	-0.880317
10.8706	-0.882039
10.8806	-0.883762
10.8905	-0.885488
10.9005	-0.887216
10.9105	-0.888945
10.9205	-0.890677
10.9305	-0.89241
10.9404	-0.894145
10.9504	-0.895882
10.9604	-0.897622
10.9704	-0.899362
10.9804	-0.901105
10.9904	-0.90285
11.0003	-0.904596
11.0103	-0.906345
11.0203	-0.908095
11.0303	-0.909848
11.0403	-0.911602
11.0503	-0.913358
11.0602	-0.915116
11.0702	-0.916876
11.0802	-0.918638
11.0902	-0.920401
11.1002	-0.922167
11.1101	-0.923934
11.1201	-0.925704
11.1301	-0.927475
11.1401	-0.929248
11.1501	-0.931023
11.1601	-0.9328
11.17	-0.934579
11.18	-0.93636
11.19	-0.938143
11.2	-0.939927
11.21	-0.941714
11.2199	-0.943502
11.2299	-0.945293
11.2399	-0.947085
11.2499	-0.948879
11.2599	-0.950675
11.2699	-0.952473
11.2798	-0.954273
11.2898	-0.956075
11.2998	-0.957878
11.3098	-0.959684
11.3198	-0.961491
11.3297	-0.963301
11.3397	-0.965112
11.3497	-0.966925
11.3597	-0.968741
11.3697	-0.970558
11.3797	-0.972377
11.3896	-0.974197
11.3996	-0.97602
11.4096	-0.977845
11.4196	-0.979672
11.4296	-0.9815
11.4395	-0.983331
11.4495	-0.985163
11.4595	-0.986997
11.4695	-0.988834
11.4795	-0.990672
11.4895	-0.992512
11.4994	-0.994354
11.5094	-0.996198
11.5194	-0.998043
11.5294	-0.999891
11.5394	-1.00174
11.5493	-1.00359
11.5593	-1.00545
11.5693	-1.0073
11.5793	-1.00916
11.5893	-1.01102
11.5993	-1.01288
11.6092	-1.01474
11.6192	-1.01661
11.6292	-1.01847
11.6392	-1.02034
11.6492	-1.02221
11.6592	-1.02409
11.6691	-1.02596
11.6791	-1.02784
11.6891	-1.02972
11.6991	-1.0316
11.7091	-1.03348
11.719	-1.03536
11.729	-1.03725
11.739	-1.03914
11.749	-1.04103
11.759	-1.04292
11.769	-1.04481
11.7789	-1.04671
